	CancerType	CellLineName	ExpressionArrayName	Gender	HistSubtype	Histology	PrimarySite	SNPArrayName	Source
00541965-d788-4120-bc6e-014f094a438f	LUSC	DMS 53	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A01_436578	M	small_cell_carcinoma	carcinoma	lung	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C06_464568	ATCC
00bc84f8-6053-440f-a27d-f2dbd6701eb2	LUSC	RERF-LC-Ad2	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_C08_436518	M	adenocarcinoma	carcinoma	lung	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_G01_437428	HSRRB
00cadf1a-480b-4404-b137-c875a77bd537	BLCA	Hs 172.T	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_B09_523490	M	NS	carcinoma	urinary_tract	SKATS_p_NCLE_DNAAffy13_GenomeWideSNP_6_A02_592978	ATCC
01928742-c5a4-4585-ad40-8d58e7c5e577	SKCM	WM983B	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_B11_569574		NS	malignant_melanoma	skin	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E01_542794	Academic Lab
019a131b-730e-436e-90a8-e7b07adf8055	SKCM	Hs 939.T	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_B11_454608	F	NS	malignant_melanoma	skin	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_D10_437420	ATCC
025cd659-08e0-442f-b7b1-1565ffbad59c	LGG	SNU-738	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_D08_587662	M	oligodendroglioma	glioma	central_nervous_system	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_A03_592670	KCLB
02f276dc-822d-4749-b7c6-b2cd40203b04	HNSC	SCC-4	CASED_p_NCLE_RNA4_HG-U133_Plus_2_G07_383650	M	squamous_cell_carcinoma	carcinoma	upper_aerodigestive_tract	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E11_410996	ATCC
035115a5-7d16-4ec4-8c4b-373bfdae3bde	BRCA	HCC1187	CASED_p_NCLE_RNA4_HG-U133_Plus_2_G09_383594	F	ductal_carcinoma	carcinoma	breast	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_B11_437316	ATCC
03efa391-7a94-4201-8211-1997f18b8cb9	BRCA	CAL-148	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D02_523558	F	ductal_carcinoma	carcinoma	breast	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_E11_698682	DSMZ
04778047-db4d-4b8c-b77c-b910fa8c9e12	MM	KMS-12-BM	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_F04_240976	F	plasma_cell_myeloma	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C06_246668	DSMZ
04ae78b3-1f09-4d55-ac56-8600d73ed8a5	SARC	TC-71	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_B02_436622	M	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_E08_464706	DSMZ
0534dd1a-0287-484d-939f-b2e5f37688c3	LGG	A172	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H02_241020	M	astrocytoma_Grade_IV	glioma	central_nervous_system	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A01_437348	ATCC
053e0f0e-f66e-4783-b569-da14ba7a2182	LGG	NB-1	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_B04_474582	M	NS	neuroblastoma	autonomic_ganglia	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_F10_542910	HSRRB
059c2a76-33a4-4d69-b290-630d17365f68	LCLL	HEL	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_B04_698780	M	acute_myeloid_leukaemia	haematopoietic_neoplasm	haematopoietic_and_lymphoid_tissue	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_C09_698706	DSMZ
05aabb2e-9f6e-46a2-b75d-cac92210e04f	LUSC	LCLC-97TM1	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E10_474630	M	large_cell_carcinoma	carcinoma	lung	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_B01_578428	DSMZ
05f45ed2-42a0-494c-9686-77bfe5b331a6	ESCA	KYSE-70	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B05_296022	M	squamous_cell_carcinoma	carcinoma	oesophagus	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_C11_293348	DSMZ
065642bb-d3b1-44f7-b823-af0bfacb3c5e	OV	EFO-27	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_C01_240898	F	mucinous_carcinoma	carcinoma	ovary	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_G05_246762	DSMZ
067cb65d-b578-4dd6-95db-60f2d2ae040e	ESCA	KYSE-270	CASED_p_NCLE_RNA4_HG-U133_Plus_2_F08_383674	M	squamous_cell_carcinoma	carcinoma	oesophagus	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_E03_411006	DSMZ
07531766-119e-4755-a67a-93aea344ac12	PAAD	SU.86.86	BITTS_p_NCLE_RNA12_HG-U133_Plus_2_B08_698806	F	ductal_carcinoma	carcinoma	pancreas	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_F09_437222	ATCC
08fe4802-b482-47f9-9100-9ab956bd7bc0	SARC	U-2 OS	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D10_383716	F	NS	osteosarcoma	bone	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_H10_335374	ATCC
094f1c97-45dd-405c-99ff-1e44ce52cbb9	LUSC	HOP-62							
095495fa-5647-4dbe-82a3-f639f19689f9	SKCM	UACC-62	BRAKE_p_NCLE_RNA2_HG-U133_Plus_2_E09_241154		NS	malignant_melanoma	skin	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_G07_256158	NCI/DCTD
09e0f6cd-ad0d-4c23-9aa2-6856b951b598	LCLL	LAMA-84	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_F04_523560	F	blast_phase_chronic_myeloid_leukaemia	haematopoietic_neoplasm	haematopoietic_and_lymphoid_tissue	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_E11_578318	DSMZ
09e71f96-7178-4090-808c-48c38db2f388	MM	NCI-H929	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_A07_454770	F	plasma_cell_myeloma	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E10_437396	ATCC
09eb060e-0871-454d-82b3-559bb278d6d0	LUSC	NCI-H1975	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H03_241022	F	non_small_cell_carcinoma	carcinoma	lung	ARLES_p_NCLE_DNAAffy2_S_GenomeWideSNP_6_B05_256034	ATCC
09f96b42-0cdf-419f-9110-83d724974ad0	LUSC	NCI-H1792	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D04_383692	M	adenocarcinoma	carcinoma	lung	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_F01_335308	ATCC
0a1843fe-cf73-4eab-9c32-9b36787bc50d	LUSC	NCI-H1755	MAKER_p_NCLE_RNA7_HG-U133_Plus_2_F08_454692	F	adenocarcinoma	carcinoma	lung	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_C12_464556	ATCC
0a3c3471-3882-4f5e-884d-66b8a842c5fa	SKCM	G-361	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_A08_296004	M	NS	malignant_melanoma	skin	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C07_246670	ATCC
0a3d5a24-325e-426a-b840-43335f8d16e4	LIHC	huH-1	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_H09_241034	M	hepatocellular_carcinoma	carcinoma	liver	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_G09_437360	HSRRB
0a4a1419-4c86-4422-8bcc-95df2a09d88e	PAAD	QGP-1	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_E05_296094		NS	carcinoma	pancreas	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A06_293290	HSRRB
0a601c7a-6715-4f42-8c81-ea80ea707f15	LGG	YH-13	CASED_p_NCLE_RNA4_HG-U133_Plus_2_F10_383682	M	astrocytoma_Grade_IV	glioma	central_nervous_system	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F02_410986	HSRRB
0a82b3c7-8584-4c01-b6e2-cca063943bb1	HNSC	PECA-PJ34 (clone C12)	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_F02_569502	M	squamous_cell_carcinoma	carcinoma	upper_aerodigestive_tract	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_H03_578390	ECACC
0a9e6313-cdb5-4744-b803-8ae653b56db4	LUSC	HCC-44	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_B04_302134	F	adenocarcinoma	carcinoma	lung	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_F01_293400	DSMZ
0ab4dac4-bbb9-4cd5-ae67-9469c6e8f21b	BRCA	MDA-MB-468	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_A02_257600	F	NS	carcinoma	breast	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_F07_246742	ATCC
0aefd782-d636-4308-b940-63054b37e7b0	BLCA	KMBC-2	BUNDS_p_NCLE_RNA5_HG-U133_Plus_2_C12_419720		NS	carcinoma	urinary_tract	PODIA_p_NCLE_DNAAffy7_GenomeWideSNP_6_E05_437406	HSRRB
0b586143-d8d5-4d87-8d27-54d2c04a3c69	LCLL	NALM-19	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_D03_523506	M	acute_lymphoblastic_B_cell_leukaemia	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_E11_542884	DSMZ
0b7835a9-9d92-4f7b-b8c4-9c837a3a7116	BLCA	UM-UC-3	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_A07_436590	M	transitional_cell_carcinoma	carcinoma	urinary_tract	BOWER_p_NCLE_DNAAffy8_GenomeWideSNP_6_B07_464588	ATCC
0b88578c-054e-4b0c-bb67-37fe0075ee66	ESCA	TE-15	NIECE_p_NCLE_RNA3_HG-U133_Plus_2_D11_296082	F	squamous_cell_carcinoma	carcinoma	oesophagus	HONEY_p_NCLE_DNAAffy3_S_GenomeWideSNP_6_A02_293282	RIKEN
0bac84b1-25da-4369-bf76-d7f0f68742dd	LIHC	JHH-6	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_E01_569420	F	hepatocellular_carcinoma	carcinoma	liver	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_G05_698646	HSRRB
0bbc226b-74d0-44da-8a82-63347a215995	PAAD	HUP-T4	PARES_p_NCLE_RNA_Redo_HG-U133_Plus_2_E04_257700	M	NS	carcinoma	pancreas	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_B10_335230	DSMZ
0be37d44-569e-43b4-87a5-60fc4618cf65	KIRC	Caki-1	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_E01_436550	M	clear_cell_renal_cell_carcinoma	carcinoma	kidney	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_D12_437234	ATCC
0c3e4017-6253-4b7e-9246-fa990d21cd80	SARC	CADO-ES1	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_D08_474656	F	NS	Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour	bone	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E12_490484	DSMZ
0c452ee1-dfe5-4fa6-b126-fdab672ffd19	LUSC	LK-2	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_D11_240942	M	squamous_cell_carcinoma	carcinoma	lung	LIMPS_p_NCLE_DNA2N_GenomeWideSNP_6_C02_246660	RIKEN
0c7a79cc-bbaf-4c6d-93e1-866f5f5f3d0d	COAD	NCI-H508	AGENT_p_NCLE_RNA6_HG-U133_Plus_2_F12_436508	M	adenocarcinoma	carcinoma	large_intestine	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_G08_410944	ATCC
0c8e200e-3783-4450-ba71-c5e3c65810e9	LUSC	NCI-H1339	CRAZY_p_NCLE_RNA10_HG-U133_Plus_2_D02_569406	F	small_cell_carcinoma	carcinoma	lung	VAULT_p_NCLE_DNAAffy14_GenomeWideSNP_6_F01_698604	ATCC
0cae0a05-20e5-4f3f-a0d0-2261f7770882	LUSC	LC-1F	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_F02_587572	M	squamous_cell_carcinoma	carcinoma	lung	MISTS_p_NCLE_DNAAffy11_GenomeWideSNP_6_F01_578430	RIKEN
0cc8c0cd-f54b-4d90-a097-b3265d7749a7	BLCA	SW-1710	SILOS_p_NCLE_RNA9_HG-U133_Plus_2_A09_523492	F	transitional_cell_carcinoma	carcinoma	urinary_tract	AWASH_p_NCLE_DNAAffy10_GenomeWideSNP_6_A05_542874	DSMZ
0d31f6c7-b0ca-4d09-837d-742257578138	SARC	GCT	CASED_p_NCLE_RNA4_HG-U133_Plus_2_D05_383696	M	NS	malignant_fibrous_histiocytoma-pleomorphic_sarcoma	soft_tissue	FASTS_p_NCLE_DNAAffy4_S_GenomeWideSNP_6_E12_335306	ATCC
0d7eb69e-4434-4a77-b0dd-17c0783c73e2	LUSC	RERF-LC-Sq1	METIS_p_NCLE_RNA1_Human_U133_Plus_2.0_E07_240958	F	squamous_cell_carcinoma	carcinoma	lung	LOBBY_p_NCLE_DNAAffy6_GenomeWideSNP_6_A09_437332	HSRRB
0dd4a7ff-72d5-4a59-9160-e3ee471b0c34	LCLL	MOLT-16	WATCH_p_NCLE_RNA8_HG-U133_Plus_2_E08_474644	F	acute_lymphoblastic_T_cell_leukaemia	lymphoid_neoplasm	haematopoietic_and_lymphoid_tissue	CHARY_p_NCLE_DNAAffy9_GenomeWideSNP_6_E09_490470	DSMZ
0e30aa7c-8411-4108-8dd0-226288b32327	COAD	SNU-81	GAZER_p_NCLE_Expr_P13_HG-U133_Plus_2_C10_779682	M	NS	carcinoma	large_intestine	QUAFF_p_NCLE_DNAAffy12_GenomeWideSNP_6_A11_592728	KCLB
0eedb08b-1788-4bbf-8671-f209876f4ed5	PAAD	T3M-4	GILDS_p_NCLE_RNA11_Redo_HG-U133_Plus_2_G06_587736	M	ductal_carcinoma	carcinoma	pancreas	FIEFS_p_NCLE_DNA_Affy5_GenomeWideSNP_6_F01_410984	RIKEN
