	Cell lines	ER	PR	HER2	Gene expression subtype	Transcriptional.subtype	Transcriptional.subtype...ERBB2.status	Bafilomycin	Bin_bafilomycin	Doxorubicin	Bin_Doxorubicin	Erlotinib	Bin_Erlotinib	MK2206	Bin_MK2206	Neratinib	Bin_Neratinib	Paclitaxel	Bin_Paclitaxel	UMI.77	Bin_UMI77	BKM120	Bin_BKM120	Carboplatin	Bin_Carboplatin	NAV.4471	Bin_NAV4471	Navitaclax	Bin_Nevitaclax	Obatoclax	Bin_Obatoclax	Palbo	Bin_Palbo	RA190	Bin_RA190	SAHA	Bin_SAHA	Sigma AKT1/2 inhibitor	Bin_Sigma_AKT1/2_inhibitor	Sorafinib	Bin_Sorafinib	Tramatinib	Bin_Trametinib
AU565	AU565	-	-	+	luminal/HER2 positive	Luminal	ERBB2-amp	8.410720779	1	6.965371543	1	6.425621436	1	7.221704009	1	8.410162057	1	-4.381151195	0	5.769014928	1	6.932185489	1	4.181773446	1	5.711504848	1	6.062131203	1	6.827689031	1	4.453579499	1	6.026825947	1	6.462558717	1	6.257274869	1	5.72859988	1	4.69400197	0
BT474	BT474	+	+	+	luminal/HER2 positive	Luminal	ERBB2-amp	8.424812155	1	5.741099443	1	NA	0	5.579202899	1	7.317493914	1	NA	0	0.381219975	0	5.374677258	1	NA	0	4.826519444	0	4.959393705	1	5.668754963	0	4.833863067	1	3.247183492	0	4.961773385	0	4.802165553	0	3.921542819	0	3.536554819	1
BT483	BT483	+	+	-	luminal 	Luminal	Luminal	7.773657913	1	6.13715334	1	3.24214858	0	5.856641649	1	NA	0	10	0	5.288690597	1	6.867420152	1	2.263364494	0	5.82620207	1	5.983760809	1	6.979638717	1	4.543936256	1	4.376646285	0	6.253833036	1	NA	1	5.365815045	1	4.20017648	0
BT549	BT549	-	-	-	claudin low	Claudin-low	Claudin-low	7.4867824	1	6.459545386	1	NA	0	5.237764207	1	NA	0	-4.33310454	0	5.220035741	1	5.659337801	1	NA	0	5.0484148	0	5.645296255	1	5.795581542	1	4.324495698	1	NA	0	5.194288502	1	4.412961758	0	5.084911618	1	NA	0
CAMA1	Cama-1	+	-	-	luminal	Luminal	Luminal	8.178355482	1	5.847681073	1	NA	0	5.826784585	1	2.450996726	0	NA	0	4.739926226	1	5.41216561	1	NA	0	5.104958872	1	5.533117558	1	6.507099989	1	4.429105797	1	5.832948641	0	5.665727243	1	4.984636053	0	5.077269353	1	NA	0
HCC1143	HCC1143	-	-	-	basal	Basal	Basal	6.940058112	1	5.992636346	1	6.113170995	1	5.613304888	1	4.460797146	0	-2.883207033	0	5.389648636	1	5.972202057	1	NA	0	5.412502307	1	7.465846926	1	5.950743203	1	4.22177565	1	5.947652401	0	5.470685165	1	4.36542097	0	5.862614236	1	4.181377614	0
HCC1395	HCC1395	-	-	-	Basal	Claudin-low	Claudin-low	7.592779107	1	6.375408541	1	5.083382893	0	6.582694417	1	3.059085213	0	NA	0	5.913960669	1	7.140621496	1	4.311935412	1	5.837405726	1	6.342084063	1	7.391046301	1	4.718964359	1	7.469288162	0	6.139362583	1	6.615825861	1	6.324313291	1	6.32385532	0
HCC1419	HCC1419	-	-	+	luminal/HER2 positive	Luminal	ERBB2-amp	7.904481958	1	5.522864269	0	4.524036959	0	5.964930656	1	7.210348791	1	-3.29578694	0	4.002351108	0	5.659932834	1	NA	0	5.432256287	1	5.237914402	1	5.849212869	1	4.265439378	1	NA	0	5.30067402	1	4.905874907	0	5.258367869	1	NA	0
HCC1569	HCC1569	-	-	+	basal/HER2 positive	Basal	ERBB2-amp	NA	1	5.286669092	1	4.408489079	1	5.55158743	1	NA	0	6.582528307	0	5.335818884	1	4.87321618	0	3.964970317	0	4.846792048	0	5.868670106	1	5.888703874	1	4.346883042	1	5.507086029	0	5.184614871	1	4.876471751	0	4.601190536	1	2.626903995	0
HCC1806	HCC1806	-	-	-	basal	Basal	Basal	8.53387413	1	6.456925765	1	6.211548793	1	5.978769342	1	5.769014928	0	NA	0	4.411615111	0	5.947267593	1	4.065551546	1	5.454680511	1	6.054236077	1	6.407601154	1	4.381323416	1	3.291324122	0	5.042723228	1	4.507517593	0	4.955848456	1	4.522009579	0
