""	"Corr"	"p_val"	"druglist[d]"	"current_best"
"igf1r_her2_erk.adap_adap_multi.her2__X17.AAG"	0.316279074028998	0.0416473676418192	"X17.AAG"	"igf1r_her2_erk/adap_adap_multi/her2"
"her2_igf1r.adap_adap_multi.her2__X5.FU"	0.304855648658689	0.0831516692978704	"X5.FU"	"her2_igf1r/adap_adap_multi/her2"
"igf1r_her2_erk.adap_adap_multi.her2__X5.FdUR"	0.240875516241462	0.107270829581651	"X5.FdUR"	"igf1r_her2_erk/adap_adap_multi/her2"
"igf1r_her2_erk.adapB_multi.erk__AG1478"	-0.258324416327924	0.145561320974701	"AG1478"	"igf1r_her2_erk/adapB_multi/erk"
"igf1r_her2_erk.adap_adap_multi.igf1r__Sigma.AKT1.2.inhibitor"	0.436600465094129	0.0139763986721542	"Sigma.AKT1.2.inhibitor"	"igf1r_her2_erk/adap_adap_multi/igf1r"
"her2_igf1r.adap_adap_multi.her2__Triciribine"	0.337036751037043	0.0496320232888776	"Triciribine"	"her2_igf1r/adap_adap_multi/her2"
"igf1r_her2_erk.adapB_multi.her2__AS.252424"	0.370588634630562	0.0312818012107743	"AS.252424"	"igf1r_her2_erk/adapB_multi/her2"
"igf1r_her2_erk.adap_adap_multi.erk__AZD6244"	0.461032009346371	0.00533323665974783	"AZD6244"	"igf1r_her2_erk/adap_adap_multi/erk"
"her2_igf1r.adap_adap_multi.igf1r__BEZ235"	0.262350205554171	0.147205824090879	"BEZ235"	"her2_igf1r/adap_adap_multi/igf1r"
"her2_akt.adap_adap_multi.her2__BIBW2992"	0.317399302444442	0.0971780506783921	"BIBW2992"	"her2_akt/adap_adap_multi/her2"
"igf1r_her2_erk.adap_adap_multi.her2__Baicalein"	-0.279426538376794	0.119774743854715	"Baicalein"	"igf1r_her2_erk/adap_adap_multi/her2"
"igf1r_her2_erk.adap_adap_multi.her2__Bortezomib"	0.0523147653990578	0.749914875310229	"Bortezomib"	"igf1r_her2_erk/adap_adap_multi/her2"
"igf1r_her2_erk.adap_adap_multi.erk__CGC.11047"	0.345581538363267	0.0479910693914325	"CGC.11047"	"igf1r_her2_erk/adap_adap_multi/erk"
"erk_bad.adapB_multi.bad__CGC.11144"	-0.192255131442656	0.142142757184529	"CGC.11144"	"erk_bad/adapB_multi/bad"
"igf1r_her2_erk.adap_adap_multi.erk__CPT.11"	0.261040889759212	0.124119848560726	"CPT.11"	"igf1r_her2_erk/adap_adap_multi/erk"
