	Corr	p_val
akt_100_gene_list.adapB_single.akt__X17.AAG	0.211108074	0.211712989
akt_100_gene_list.adapB_single.akt__X5.FU	0.145016903	0.44622122
akt_100_gene_list.adapB_single.akt__X5.FdUR	0.231573191	0.209948152
akt_100_gene_list.adapB_single.akt__AG1478	-0.140285887	0.481376391
akt_100_gene_list.adapB_single.akt__Sigma.AKT1.2.inhibitor	0.630219473	6.01E-06
akt_100_gene_list.adapB_single.akt__Triciribine	0.267300913	0.156946241
akt_100_gene_list.adapB_single.akt__AS.252424	0.345765567	0.029666876
akt_100_gene_list.adapB_single.akt__AZD6244	-0.291070717	0.0658568
akt_100_gene_list.adapB_single.akt__BEZ235	0.232116539	0.200169437
akt_100_gene_list.adapB_single.akt__BIBW2992	-0.009192713	0.98460113
akt_100_gene_list.adapB_single.akt__Baicalein	-0.163598913	0.333910345
akt_100_gene_list.adapB_single.akt__Bortezomib	-0.051329759	0.769103328
akt_100_gene_list.adapB_single.akt__CGC.11047	-0.467658672	0.001977613
akt_100_gene_list.adapB_single.akt__CGC.11144	0.115008862	0.544977395
akt_100_gene_list.adapB_single.akt__CPT.11	0.097411485	0.589051601
akt_100_gene_list.adapB_single.akt__Carboplatin	-0.133036353	0.441533127
akt_100_gene_list.adapB_single.akt__Cisplatin	-0.353227042	0.025549924
akt_100_gene_list.adapB_single.akt__Disulfiram	0.09231206	0.587801948
akt_100_gene_list.adapB_single.akt__Docetaxel	-0.459860103	0.008667296
akt_100_gene_list.adapB_single.akt__Doxorubicin	0.144516895	0.417196332
akt_100_gene_list.adapB_single.akt__ERKi.II..FR180304.	0.244948251	0.118170313
akt_100_gene_list.adapB_single.akt__Epirubicin	0.127695138	0.50656601
akt_100_gene_list.adapB_single.akt__Erlotinib	-0.193953863	0.27937414
akt_100_gene_list.adapB_single.akt__Etoposide	-0.139511982	0.412086546
akt_100_gene_list.adapB_single.akt__Everolimus	0.428025677	0.009936744
akt_100_gene_list.adapB_single.akt__FTase.inhibitor.I	0.137847846	0.366423905
akt_100_gene_list.adapB_single.akt__Fascaplysin	0.346450685	0.063832341
akt_100_gene_list.adapB_single.akt__GSK923295	0.082959398	0.619954419
akt_100_gene_list.adapB_single.akt__GSK1070916	-0.38699793	0.036209349
akt_100_gene_list.adapB_single.akt__GSK1120212	-0.454608647	0.003587649
akt_100_gene_list.adapB_single.akt__GSK1059868	0.299958734	0.106563569
akt_100_gene_list.adapB_single.akt__GSK1838705	0.004757326	0.978727053
akt_100_gene_list.adapB_single.akt__GSK461364	-0.274130008	0.091988939
akt_100_gene_list.adapB_single.akt__GSK2119563	0.289315183	0.083336351
akt_100_gene_list.adapB_single.akt__GSK2126458	0.338715396	0.040138168
akt_100_gene_list.adapB_single.akt__GSK2141795	0.396472943	0.036428166
akt_100_gene_list.adapB_single.akt__GSK1059615	0.244732675	0.154411521
akt_100_gene_list.adapB_single.akt__GSK650394	-0.036496974	0.840796856
akt_100_gene_list.adapB_single.akt__Lapatinib	0.172763297	0.321180464
akt_100_gene_list.adapB_single.akt__Geldanamycin	-0.188528337	0.278352163
akt_100_gene_list.adapB_single.akt__Gemcitabine	-0.012364591	0.941349207
akt_100_gene_list.adapB_single.akt__Glycyl.H1152	-0.198214106	0.272631285
akt_100_gene_list.adapB_single.akt__ICRF.193	0.127277748	0.493299772
akt_100_gene_list.adapB_single.akt__IKK.16	-0.076632113	0.650097079
akt_100_gene_list.adapB_single.akt__Ibandronate.sodium.salt	-0.125205213	0.454746636
akt_100_gene_list.adapB_single.akt__Imatinib	0.159416655	0.327250322
akt_100_gene_list.adapB_single.akt__Gefitinib	0.020893951	0.89193162
akt_100_gene_list.adapB_single.akt__Ixabepilone	-0.259504902	0.114967677
akt_100_gene_list.adapB_single.akt__LBH589	0.387383666	0.019590032
akt_100_gene_list.adapB_single.akt__Lestaurtinib.CEP.701.	-0.0543972	0.761144642
akt_100_gene_list.adapB_single.akt__MG.132	-0.262524468	0.192962739
akt_100_gene_list.adapB_single.akt__MLN4924	0.179599435	0.295948274
akt_100_gene_list.adapB_single.akt__Mebendazole	-0.022710212	0.896336653
akt_100_gene_list.adapB_single.akt__Methotrexate	0.148595158	0.374268768
akt_100_gene_list.adapB_single.akt__NSC663284	0.063276596	0.703978586
akt_100_gene_list.adapB_single.akt__NU6102	-0.202634561	0.218602361
akt_100_gene_list.adapB_single.akt__Nelfinavir	0.089962105	0.543629131
akt_100_gene_list.adapB_single.akt__Nutlin.3a	0.28373186	0.13231004
akt_100_gene_list.adapB_single.akt__Olomoucine.II	-0.091591418	0.604334179
akt_100_gene_list.adapB_single.akt__Oxaliplatin	0.154071976	0.344597041
akt_100_gene_list.adapB_single.akt__Oxamflatin	0.183360718	0.355188615
akt_100_gene_list.adapB_single.akt__PD98059	0.323509673	0.042960229
akt_100_gene_list.adapB_single.akt__PF.2341066	-0.226479137	0.180553853
akt_100_gene_list.adapB_single.akt__PF.3084014	0.256784399	0.089780925
akt_100_gene_list.adapB_single.akt__PF.3814735	-0.462679316	0.004358438
