	Corr	p_val
akt_150_gene_list.adap_adap_single.akt__ERp118	0.781232493	6.48E-06
akt_75_gene_list.adap_adap_single.akt__ERp118	0.778431373	4.76E-05
akt_200_gene_list.adap_adap_single.akt__ERp118	0.774229692	6.66E-05
akt_75_gene_list.adapB_single.akt__ERp118	0.771148459	6.20E-05
akt_250_gene_list.adap_adap_single.akt__ERp118	0.771148459	0.000177949
akt_100_gene_list.adap_adap_single.akt__ERp118	0.759943978	0.001037647
akt_300_gene_list.adap_adap_single.akt__ERp118	0.756022409	0.000368014
akt_100_gene_list.adapB_single.akt__ERp118	0.752661064	0.000148171
akt_150_gene_list.adapB_single.akt__ERp118	0.752380952	2.60E-05
akt_200_gene_list.adapB_single.akt__ERp118	0.746778711	9.79E-05
akt_100_gene_list.adap_adap_single.akt__ER	0.731932773	0.000286121
akt_250_gene_list.adapB_single.akt__ERp118	0.731652661	0.000546709
akt_75_gene_list.adap_adap_single.akt__ER	0.718767507	0.000221117
akt_100_gene_list.adapB_single.akt__ER	0.715406162	9.99E-05
akt_100_gene_list.adap_adap_single.akt__IGFBP2	0.712885154	1.05E-06
akt_75_gene_list.adap_adap_single.akt__IGFBP2	0.711204482	1.32E-06
akt_300_gene_list.adapB_single.akt__ERp118	0.707002801	0.000874539
akt_300_gene_list.adap_adap_single.akt__HER2p1248	0.698039216	0.000879693
akt_75_gene_list.adapB_single.akt__ER	0.69719888	0.000207108
akt_200_gene_list.adap_adap_single.akt__HER2p1248	0.694117647	0.000712819
akt_75_gene_list.adapB_single.akt__IGFBP2	0.687394958	3.41E-06
akt_250_gene_list.adap_adap_single.akt__HER2p1248	0.674509804	0.000598156
akt_100_gene_list.adapB_single.akt__IGFBP2	0.67394958	5.72E-06
akt_150_gene_list.adap_adap_single.akt__ER	0.668627451	0.000767842
akt_150_gene_list.adap_adap_single.akt__HER2p1248	0.666386555	0.001431176
akt_150_gene_list.adap_adap_single.akt__IGFBP2	0.66442577	2.46E-06
akt_75_gene_list.adap_adap_single.akt__PDK1p241	0.66302521	0.000164652
akt_250_gene_list.adapB_single.akt__HER2p1248	0.660504202	0.00133034
akt_200_gene_list.adapB_single.akt__HER2p1248	0.659943978	0.001416522
akt_200_gene_list.adap_adap_single.akt__IGFBP2	0.658263305	4.65E-06
akt_150_gene_list.adapB_single.akt__ER	0.655182073	0.001063923
akt_75_gene_list.adapB_single.akt__PDK1p241	0.649579832	0.000127955
akt_200_gene_list.adap_adap_single.akt__AR	0.646218487	7.41E-07
akt_300_gene_list.adap_adap_single.akt__HER2	0.646218487	0.000531455
akt_300_gene_list.adapB_single.akt__HER2p1248	0.642577031	0.001652977
akt_150_gene_list.adap_adap_single.akt__PDK1p241	0.642016807	0.000730791
akt_100_gene_list.adap_adap_single.akt__PDK1p241	0.641456583	0.000349178
akt_200_gene_list.adap_adap_single.akt__HER2	0.641176471	0.000561524
akt_150_gene_list.adap_adap_single.akt__AR	0.640056022	8.16E-07
akt_250_gene_list.adap_adap_single.akt__IGFBP2	0.640056022	4.79E-06
akt_250_gene_list.adap_adap_single.akt__AR	0.63697479	2.95E-06
akt_250_gene_list.adap_adap_single.akt__ER	0.63697479	0.005335879
akt_200_gene_list.adapB_single.akt__ER	0.63697479	0.005995714
akt_150_gene_list.adap_adap_single.akt__HER2	0.633333333	0.000922075
akt_150_gene_list.adapB_single.akt__HER2p1248	0.630812325	0.001172813
akt_200_gene_list.adap_adap_single.akt__ER	0.626890756	0.00461352
akt_150_gene_list.adapB_single.akt__PDK1p241	0.621568627	0.000393519
akt_250_gene_list.adap_adap_single.akt__HER2	0.621568627	0.000492986
akt_300_gene_list.adap_adap_single.akt__IGFBP2	0.620168067	4.79E-05
akt_300_gene_list.adap_adap_single.akt__AR	0.619327731	8.49E-06
akt_150_gene_list.adapB_single.akt__IGFBP2	0.619047619	1.89E-05
akt_75_gene_list.adapB_single.akt__HER2p1248	0.619047619	0.00286931
akt_100_gene_list.adapB_single.akt__PDK1p241	0.616806723	0.000223969
akt_200_gene_list.adapB_single.akt__AR	0.616246499	3.75E-05
akt_200_gene_list.adapB_single.akt__IGFBP2	0.616246499	0.000118269
akt_100_gene_list.adap_adap_single.akt__AR	0.615686275	4.81E-07
akt_75_gene_list.adap_adap_single.akt__PDK1	0.615406162	0.000255262
akt_200_gene_list.adapB_single.akt__HER2	0.609803922	0.001015097
akt_75_gene_list.adap_adap_single.akt__HER2p1248	0.606722689	0.002961372
akt_75_gene_list.adapB_single.akt__PDK1	0.606162465	0.000251171
akt_300_gene_list.adap_adap_single.akt__ER	0.603361345	0.00992072
akt_75_gene_list.adap_adap_single.akt__AR	0.60280112	5.93E-07
akt_250_gene_list.adapB_single.akt__HER2	0.60280112	0.000750022
akt_200_gene_list.adap_adap_single.akt__PDK1p241	0.601680672	0.000754753
akt_150_gene_list.adapB_single.akt__AR	0.596638655	6.61E-06
akt_200_gene_list.adapB_single.akt__PDK1p241	0.595518207	0.000402179
akt_250_gene_list.adap_adap_single.akt__PDK1p241	0.593557423	0.00028872
akt_100_gene_list.adap_adap_single.akt__p70S6.Kinase	0.591876751	0.000400474
akt_250_gene_list.adapB_single.akt__ER	0.591036415	0.008577757
akt_150_gene_list.adapB_single.akt__HER2	0.589915966	0.000989419
akt_300_gene_list.adapB_single.akt__HER2	0.587114846	0.001253248
akt_75_gene_list.adap_adap_single.akt__p70S6.Kinase	0.584593838	0.000995557
akt_250_gene_list.adapB_single.akt__IGFBP2	0.584033613	0.000321511
akt_100_gene_list.adap_adap_single.akt__PR	0.583753501	0.000145696
akt_300_gene_list.adap_adap_single.akt__PDK1p241	0.581512605	0.000296236
akt_75_gene_list.adapB_single.akt__AR	0.580952381	2.73E-06
akt_150_gene_list.adap_adap_single.akt__PDK1	0.578431373	0.000572878
akt_75_gene_list.adap_adap_single.akt__PR	0.578151261	0.00046074
akt_75_gene_list.adapB_single.akt__HER2	0.577871148	0.002987297
akt_300_gene_list.adapB_single.akt__ER	0.573669468	0.008382913
akt_75_gene_list.adap_adap_single.akt__HER2	0.573389356	0.003045759
akt_100_gene_list.adapB_single.akt__PR	0.57254902	0.000194499
akt_250_gene_list.adapB_single.akt__AR	0.571708683	0.0002237
akt_250_gene_list.adap_adap_single.akt__PDK1	0.571148459	0.000189561
akt_100_gene_list.adap_adap_single.akt__HER2p1248	0.564145658	0.002765698
