	Corr	p_val
akt_100_gene_list.adapB_single.akt__X17.AAG	0.211108073979909	0.218626356589856
akt_100_gene_list.adapB_single.akt__X5.FU	0.145016903270936	0.440718980520791
akt_100_gene_list.adapB_single.akt__X5.FdUR	0.231573190534726	0.207826344408172
akt_100_gene_list.adapB_single.akt__AG1478	-0.140285887089767	0.487820696481635
akt_100_gene_list.adapB_single.akt__Sigma.AKT1.2.inhibitor	0.630219473053897	4.70752074144265e-06
akt_100_gene_list.adapB_single.akt__Triciribine	0.267300912877458	0.152905128648084
akt_100_gene_list.adapB_single.akt__AS.252424	0.34576556663219	0.030607156608331
akt_100_gene_list.adapB_single.akt__AZD6244	-0.291070716653202	0.0676054997899331
akt_100_gene_list.adapB_single.akt__BEZ235	0.232116538743095	0.194517817740627
akt_100_gene_list.adapB_single.akt__BIBW2992	-0.00919271281434666	0.972768054662988
akt_100_gene_list.adapB_single.akt__Baicalein	-0.163598913394472	0.333171730004603
akt_100_gene_list.adapB_single.akt__Bortezomib	-0.0513297593559793	0.773770804426407
akt_100_gene_list.adapB_single.akt__CGC.11047	-0.467658672301785	0.00156390321208222
akt_100_gene_list.adapB_single.akt__CGC.11144	0.115008862200557	0.538921813621958
akt_100_gene_list.adapB_single.akt__CPT.11	0.097411485067379	0.579759347180362
akt_100_gene_list.adapB_single.akt__Carboplatin	-0.133036353205618	0.452204311913762
akt_100_gene_list.adapB_single.akt__Cisplatin	-0.353227042445196	0.0266599848340323
akt_100_gene_list.adapB_single.akt__Disulfiram	0.0923120596786498	0.569750805416903
akt_100_gene_list.adapB_single.akt__Docetaxel	-0.459860102619424	0.00841007742099786
akt_100_gene_list.adapB_single.akt__Doxorubicin	0.144516894910077	0.413069148148809
akt_100_gene_list.adapB_single.akt__ERKi.II..FR180304.	0.244948250717918	0.115328690604086
akt_100_gene_list.adapB_single.akt__Epirubicin	0.127695138002925	0.510331531117224
akt_100_gene_list.adapB_single.akt__Erlotinib	-0.193953863169207	0.28763343011146
akt_100_gene_list.adapB_single.akt__Etoposide	-0.139511981617245	0.436412240318122
akt_100_gene_list.adapB_single.akt__Everolimus	0.428025677369143	0.00960568676962015
akt_100_gene_list.adapB_single.akt__FTase.inhibitor.I	0.13784784615588	0.361902278721955
akt_100_gene_list.adapB_single.akt__Fascaplysin	0.346450684941362	0.0647125023615858
akt_100_gene_list.adapB_single.akt__GSK923295	0.0829593978503887	0.613912359613029
akt_100_gene_list.adapB_single.akt__GSK1070916	-0.38699792981395	0.0379815194150492
akt_100_gene_list.adapB_single.akt__GSK1120212	-0.454608647361163	0.00307072338503112
akt_100_gene_list.adapB_single.akt__GSK1059868	0.299958733980218	0.102193544364327
akt_100_gene_list.adapB_single.akt__GSK1838705	0.00475732578168854	0.964773523211824
akt_100_gene_list.adapB_single.akt__GSK461364	-0.274130008207425	0.0975783222266446
akt_100_gene_list.adapB_single.akt__GSK2119563	0.289315182765428	0.0877922859645741
akt_100_gene_list.adapB_single.akt__GSK2126458	0.338715395917817	0.0409898567091451
akt_100_gene_list.adapB_single.akt__GSK2141795	0.396472942963953	0.0352647598259166
akt_100_gene_list.adapB_single.akt__GSK1059615	0.244732674843438	0.163313681412923
akt_100_gene_list.adapB_single.akt__GSK650394	-0.0364969742753688	0.843238621810164
akt_100_gene_list.adapB_single.akt__Lapatinib	0.172763297185647	0.32344852931443
akt_100_gene_list.adapB_single.akt__Geldanamycin	-0.188528336649374	0.287083546824463
akt_100_gene_list.adapB_single.akt__Gemcitabine	-0.0123645913119597	0.941518152413801
akt_100_gene_list.adapB_single.akt__Glycyl.H1152	-0.198214106137963	0.277613937096246
akt_100_gene_list.adapB_single.akt__ICRF.193	0.127277748052486	0.49010099824765
akt_100_gene_list.adapB_single.akt__IKK.16	-0.0766321128427561	0.666452826639901
akt_100_gene_list.adapB_single.akt__Ibandronate.sodium.salt	-0.125205212586866	0.441902156079175
akt_100_gene_list.adapB_single.akt__Imatinib	0.159416654791352	0.336541506719044
akt_100_gene_list.adapB_single.akt__Gefitinib	0.0208939507074436	0.908173973269897
akt_100_gene_list.adapB_single.akt__Ixabepilone	-0.259504901628542	0.112294728484255
akt_100_gene_list.adapB_single.akt__LBH589	0.387383665565125	0.0219244669750995
akt_100_gene_list.adapB_single.akt__Lestaurtinib.CEP.701.	-0.0543972000881881	0.763384299524296
akt_100_gene_list.adapB_single.akt__MG.132	-0.26252446757306	0.193705532418039
akt_100_gene_list.adapB_single.akt__MLN4924	0.179599435187979	0.292499237812864
akt_100_gene_list.adapB_single.akt__Mebendazole	-0.0227102118102205	0.884497734094479
akt_100_gene_list.adapB_single.akt__Methotrexate	0.148595157559352	0.379537041573199
akt_100_gene_list.adapB_single.akt__NSC663284	0.0632765964352731	0.695111775608592
akt_100_gene_list.adapB_single.akt__NU6102	-0.202634560982176	0.227630914586538
akt_100_gene_list.adapB_single.akt__Nelfinavir	0.0899621046332635	0.562755440382639
akt_100_gene_list.adapB_single.akt__Nutlin.3a	0.283731859776585	0.133673112284986
akt_100_gene_list.adapB_single.akt__Olomoucine.II	-0.0915914175341089	0.6152777761761
