	Corr	p_val
akt_75_gene_list.adapB_single.akt__X17.AAG	0.233433655676073	0.162635139157493
akt_75_gene_list.adapB_single.akt__X5.FU	0.169680448553319	0.373989054742659
akt_75_gene_list.adapB_single.akt__X5.FdUR	0.178057457939509	0.320313254714736
akt_75_gene_list.adapB_single.akt__AG1478	-0.0973499034653229	0.632810654037449
akt_75_gene_list.adapB_single.akt__Sigma.AKT1.2.inhibitor	0.67958192222849	6.17198863128721e-07
akt_75_gene_list.adapB_single.akt__Triciribine	0.334898343734024	0.0612585720234338
akt_75_gene_list.adapB_single.akt__AS.252424	0.370918144382752	0.0255205302280781
akt_75_gene_list.adapB_single.akt__AZD6244	-0.231776310869003	0.170680464441028
akt_75_gene_list.adapB_single.akt__BEZ235	0.270518171991034	0.141225268540918
akt_75_gene_list.adapB_single.akt__BIBW2992	0.0710345990199515	0.718229646245191
akt_75_gene_list.adapB_single.akt__Baicalein	-0.171915783139262	0.31119610759352
akt_75_gene_list.adapB_single.akt__Bortezomib	0	0.991333637110235
akt_75_gene_list.adapB_single.akt__CGC.11047	-0.452070049891725	0.0042552595395029
akt_75_gene_list.adapB_single.akt__CGC.11144	0.0645912447922141	0.733364588865253
akt_75_gene_list.adapB_single.akt__CPT.11	0.0719093771789528	0.674353786412299
akt_75_gene_list.adapB_single.akt__Carboplatin	-0.100334114175622	0.554958397542069
akt_75_gene_list.adapB_single.akt__Cisplatin	-0.334801326846163	0.0404322896597551
akt_75_gene_list.adapB_single.akt__Disulfiram	-0.00620986688653272	0.97180810889346
akt_75_gene_list.adapB_single.akt__Docetaxel	-0.379224499272026	0.0305021640242791
akt_75_gene_list.adapB_single.akt__Doxorubicin	0.126852401602775	0.452519665370689
akt_75_gene_list.adapB_single.akt__ERKi.II..FR180304.	0.313919774384724	0.0527210815244556
akt_75_gene_list.adapB_single.akt__Epirubicin	0.141567777340939	0.483444328549381
akt_75_gene_list.adapB_single.akt__Erlotinib	-0.0925874494181426	0.615853567395053
akt_75_gene_list.adapB_single.akt__Etoposide	-0.159645475434949	0.379122193502926
akt_75_gene_list.adapB_single.akt__Everolimus	0.448960885437538	0.0076992816094712
akt_75_gene_list.adapB_single.akt__FTase.inhibitor.I	0.127974446706699	0.416380207370117
akt_75_gene_list.adapB_single.akt__Fascaplysin	0.409610888799551	0.031380218269033
akt_75_gene_list.adapB_single.akt__GSK923295	0.0742037885785799	0.667513257628411
akt_75_gene_list.adapB_single.akt__GSK1070916	-0.331837591401555	0.0880035580423302
akt_75_gene_list.adapB_single.akt__GSK1120212	-0.441299076473553	0.00463894953240174
akt_75_gene_list.adapB_single.akt__GSK1059868	0.276218430538966	0.13130755439086
akt_75_gene_list.adapB_single.akt__GSK1838705	0.0287463940850967	0.86816645060094
akt_75_gene_list.adapB_single.akt__GSK461364	-0.260998031766351	0.106540715483507
akt_75_gene_list.adapB_single.akt__GSK2119563	0.363415502494012	0.0282927013431873
akt_75_gene_list.adapB_single.akt__GSK2126458	0.410588656856745	0.0121761767852195
akt_75_gene_list.adapB_single.akt__GSK2141795	0.44126923651962	0.0117174286474666
akt_75_gene_list.adapB_single.akt__GSK1059615	0.287746959822629	0.0954116590634506
akt_75_gene_list.adapB_single.akt__GSK650394	-0.0160365493028136	0.931609021247805
akt_75_gene_list.adapB_single.akt__Lapatinib	0.275686112530288	0.107085286253048
akt_75_gene_list.adapB_single.akt__Geldanamycin	-0.139624369623784	0.415213958746793
akt_75_gene_list.adapB_single.akt__Gemcitabine	-0.0554765291607397	0.714927710298837
akt_75_gene_list.adapB_single.akt__Glycyl.H1152	-0.193902500203845	0.293171937578029
akt_75_gene_list.adapB_single.akt__ICRF.193	0.151829405786219	0.419338645772636
akt_75_gene_list.adapB_single.akt__IKK.16	-0.0940039263573845	0.587150001855076
akt_75_gene_list.adapB_single.akt__Ibandronate.sodium.salt	-0.195687867224927	0.273215552507978
akt_75_gene_list.adapB_single.akt__Imatinib	0.197194553290192	0.24134210947606
akt_75_gene_list.adapB_single.akt__Gefitinib	0.0887992905066353	0.651112237979598
akt_75_gene_list.adapB_single.akt__Ixabepilone	-0.268617442068093	0.0959968346269626
akt_75_gene_list.adapB_single.akt__LBH589	0.415011579270872	0.0112772136315089
akt_75_gene_list.adapB_single.akt__Lestaurtinib.CEP.701.	0.0155420571680537	0.927181378538225
akt_75_gene_list.adapB_single.akt__MG.132	-0.18853383172591	0.352020268916398
akt_75_gene_list.adapB_single.akt__MLN4924	0.136806394872013	0.430488776306222
akt_75_gene_list.adapB_single.akt__Mebendazole	0.0165165176801603	0.929514288448766
akt_75_gene_list.adapB_single.akt__Methotrexate	0.200209986431214	0.25047533184147
akt_75_gene_list.adapB_single.akt__NSC663284	0.0382068030379071	0.825433084178463
akt_75_gene_list.adapB_single.akt__NU6102	-0.16367715575877	0.359828697138807
akt_75_gene_list.adapB_single.akt__Nelfinavir	0.0835113335645992	0.584431158115346
akt_75_gene_list.adapB_single.akt__Nutlin.3a	0.338330743182361	0.0721668648067866
akt_75_gene_list.adapB_single.akt__Olomoucine.II	-0.0846891934854858	0.65845139909517
akt_75_gene_list.adapB_single.akt__Oxaliplatin	0.174824114988066	0.264476575387585
akt_75_gene_list.adapB_single.akt__Oxamflatin	0.214887814798968	0.260318224203545
akt_75_gene_list.adapB_single.akt__PD98059	0.357923130527091	0.0255184618363271
akt_75_gene_list.adapB_single.akt__PF.2341066	-0.211373229896294	0.23017007932483
akt_75_gene_list.adapB_single.akt__PF.3084014	0.310591274690244	0.0394451730070169
akt_75_gene_list.adapB_single.akt__PF.3814735	-0.434313969559685	0.00702371122639023
akt_75_gene_list.adapB_single.akt__PF.4691502	0.465091781871446	0.00356580937009965
akt_75_gene_list.adapB_single.akt__Paclitaxel	-0.277454334916116	0.132035634443553
akt_75_gene_list.adapB_single.akt__Pemetrexed	0.217504720694499	0.18944140563235
akt_75_gene_list.adapB_single.akt__Purvalanol.A	0.16820409641641	0.345957191553793
akt_75_gene_list.adapB_single.akt__L.779450	0.0389758152434287	0.822971333740972
akt_75_gene_list.adap_adap_single.akt__X17.AAG	0.210779756602024	0.22134555181359
akt_75_gene_list.adap_adap_single.akt__X5.FU	0.191853924360077	0.298297133120643
akt_75_gene_list.adap_adap_single.akt__X5.FdUR	0.207934339327023	0.227668428141805
akt_75_gene_list.adap_adap_single.akt__AG1478	-0.112795521336822	0.570740259983509
akt_75_gene_list.adap_adap_single.akt__Sigma.AKT1.2.inhibitor	0.658895663040024	7.15817671137486e-07
akt_75_gene_list.adap_adap_single.akt__Triciribine	0.323255903973139	0.0727589029978744
akt_75_gene_list.adap_adap_single.akt__AS.252424	0.387503468576355	0.0170794131217353
akt_75_gene_list.adap_adap_single.akt__AZD6244	-0.274026575719282	0.0834125238686119
akt_75_gene_list.adap_adap_single.akt__BEZ235	0.263569305022359	0.136721955263598
akt_75_gene_list.adap_adap_single.akt__BIBW2992	0.0695303369230584	0.72510290125455
akt_75_gene_list.adap_adap_single.akt__Baicalein	-0.203459033024991	0.218206133507059
akt_75_gene_list.adap_adap_single.akt__Bortezomib	-0.0667615206975424	0.71243206770873
akt_75_gene_list.adap_adap_single.akt__CGC.11047	-0.476870130998638	0.00123777514364809
akt_75_gene_list.adap_adap_single.akt__CGC.11144	0.0867628476284129	0.644542727147078
akt_75_gene_list.adap_adap_single.akt__CPT.11	0.00853718633174782	0.948503809059361
akt_75_gene_list.adap_adap_single.akt__Carboplatin	-0.146198245075276	0.381739207010796
akt_75_gene_list.adap_adap_single.akt__Cisplatin	-0.35717541007356	0.0168058485273972
akt_75_gene_list.adap_adap_single.akt__Disulfiram	0.0764291309111719	0.647175843845031
akt_75_gene_list.adap_adap_single.akt__Docetaxel	-0.443614400180316	0.00831784908392663
akt_75_gene_list.adap_adap_single.akt__Doxorubicin	0.122584470333897	0.481115535278404
akt_75_gene_list.adap_adap_single.akt__ERKi.II..FR180304.	0.276595678244045	0.0728754953635451
akt_75_gene_list.adap_adap_single.akt__Epirubicin	0.088250043017728	0.642696914540356
akt_75_gene_list.adap_adap_single.akt__Erlotinib	-0.158735924856904	0.37959376155104
akt_75_gene_list.adap_adap_single.akt__Etoposide	-0.171462960936645	0.343637521365325
akt_75_gene_list.adap_adap_single.akt__Everolimus	0.422677266548751	0.00880457739050255
akt_75_gene_list.adap_adap_single.akt__FTase.inhibitor.I	0.134683295050374	0.367078812251483
akt_75_gene_list.adap_adap_single.akt__Fascaplysin	0.423512701433849	0.0284559269799722
akt_75_gene_list.adap_adap_single.akt__GSK923295	0.0815366113437198	0.624406663391995
akt_75_gene_list.adap_adap_single.akt__GSK1070916	-0.3984896669832	0.028425184339107
akt_75_gene_list.adap_adap_single.akt__GSK1120212	-0.473473517401863	0.00241186591420561
akt_75_gene_list.adap_adap_single.akt__GSK1059868	0.345421415070216	0.0546734154980386
akt_75_gene_list.adap_adap_single.akt__GSK1838705	0.0138670985551347	0.934879699908927
akt_75_gene_list.adap_adap_single.akt__GSK461364	-0.327752245341812	0.0427501407464874
akt_75_gene_list.adap_adap_single.akt__GSK2119563	0.353090048105603	0.0427782803463961
akt_75_gene_list.adap_adap_single.akt__GSK2126458	0.40451486015768	0.0213398954293107
akt_75_gene_list.adap_adap_single.akt__GSK2141795	0.439724536741839	0.0197868633016838
akt_75_gene_list.adap_adap_single.akt__GSK1059615	0.288294215356715	0.102896143396334
akt_75_gene_list.adap_adap_single.akt__GSK650394	-0.0671876117342016	0.706240733927965
akt_75_gene_list.adap_adap_single.akt__Lapatinib	0.264941423016287	0.134317828713876
akt_75_gene_list.adap_adap_single.akt__Geldanamycin	-0.163418225215945	0.34740772003463
akt_75_gene_list.adap_adap_single.akt__Gemcitabine	-0.064230222124959	0.68832924819568
akt_75_gene_list.adap_adap_single.akt__Glycyl.H1152	-0.187435091302666	0.29509126511376
akt_75_gene_list.adap_adap_single.akt__ICRF.193	0.113841517451936	0.530346263426559
akt_75_gene_list.adap_adap_single.akt__IKK.16	-0.155785940550539	0.352997669696125
akt_75_gene_list.adap_adap_single.akt__Ibandronate.sodium.salt	-0.162963777571542	0.341054772955975
akt_75_gene_list.adap_adap_single.akt__Imatinib	0.196991990831753	0.242110206805602
