Signatures	Multi Pathway 	X17.AAG	X5.FU	X5.FdUR	AG1478	Sigma.AKT1.2.inhibitor	Triciribine	AS.252424	AZD6244	BEZ235	BIBW2992	Baicalein	Bortezomib	CGC.11047	CGC.11144	CPT.11	Carboplatin	Cisplatin	Disulfiram	Docetaxel	Doxorubicin	ERKi.II..FR180304.	Epirubicin	Erlotinib	Etoposide	Everolimus	FTase.inhibitor.I	Fascaplysin	GSK923295	GSK1070916	GSK1120212	GSK1059868	GSK1838705	GSK461364	GSK2119563	GSK2126458	GSK2141795	GSK1059615	GSK650394	Lapatinib	Geldanamycin	Gemcitabine	Glycyl.H1152	ICRF.193	IKK.16	Ibandronate.sodium.salt	Imatinib	Gefitinib	Ixabepilone	LBH589	Lestaurtinib.CEP.701.	MG.132	MLN4924	Mebendazole	Methotrexate	NSC663284	NU6102	Nelfinavir	Nutlin.3a	Olomoucine.II	Oxaliplatin	Oxamflatin	PD98059	PF.2341066	PF.3084014	PF.3814735	PF.4691502	Paclitaxel	Pemetrexed	Purvalanol.A	L.779450	Rapamycin	Vorinostat	SB.3CT	Ispinesib	Bosutinib	Sorafenib	Sunitinib.Malate	TCS.PIM.11	TCS2312.dihydrochloride	Topotecan	Tamoxifen	Temsirolimus	Trichostatin.A	Tykerb.IGF1R..1.1.	VX.680	Valproic.acid	Velcade	Vinorelbine	XRP44X	ZM447439
		HSP90	Pyrimidine analog	DNA	EGFR		"AKT, ZNF217"	PIK3CG	MEK	PI3K	"ERBB2, EGFR"	CYP2C9	"Proteasome, NFkB"	Polyamine analog	Polyamine analog	Topoisomerase I	DNA cross-linker		Aldehyde dehydrogenase			ERK1/ERK2		EGFR	Topoisomerase II	mTOR			CENPE	AUR1	MEK	PI3K	IGF1R	PLK1	PIK3CA	PIK3C A/B/D/G	AKT	PI3K	SGK	"ERBB2, EGFR"	HSP90	Pyrimidine animetabolite	Rho kinase	"PLK1, Topoisomerase II"	IkB	FDPS	BCR/ABL fusion		Microtubule	HDAC	"FLT-3, TRKA"	Proteasome	NAE			CDC25	CDK1/CCNB	Proteasome	MDM2	CDC2	DNA cross-linker	HDAC		Met/ALK	y-secretase		"PI3K, pan / mTOR"	Microtubule				mTOR		"MMP2, MMP9"		SRC	VEGFR	VEGFR	PIM-1	CHK1		ESR1	mTOR			Aurora kinase		"Proteasome, NFkB"		RAS-NET (ELK3)	
akt	AKT_BAD   	0.056771099	-0.232756902	-0.573168368	-0.311301176	0.601799942	-0.022477436	0.677281418	-0.333552218	0.297662611	0.150877065	-0.244182347	0.153449481	0.157122222	0.271772441	-0.387383941	-0.270946871	-0.469303894	-0.279820421	-0.570010589	-0.228674734	0.721311442	-0.256030976	-0.319567174	-0.541493939	0.363363479	0.123670852	0.679357832	-0.389187467	-0.170024462	-0.283955652	0.172308465	-0.130724466	-0.415689283	0.258028245	0.408456617	0.528970775	0.337936297	-0.417225598	0.468286967	-0.465352769	-0.579711692	-0.379597457	-0.265205602	0.042682277	0.426989835	0.316457998	-0.213318494	-0.153431665	0.512282962	0.417995661	-0.581989608	0.361474296	-0.122080998	-0.234266308	-0.258961618	-0.198081344	0.341716665	-0.442264281	-0.41220304	-0.485798273	0.463503127	0.059878488	-0.303282449	0.504464939	-0.16809588	0.495924458	-0.532664767	0.147945496	-0.14794501	0.332339993	0.715071514	0.81375128	-0.091608408	-0.523015978	-0.143587326	0.233096002	-0.163986872	0.102932057	0.253291454	-0.265353706	0.449923217	0.326699507	0.560924227	0.253603455	-0.303063401	0.633941834	0.227814529	-0.220833466	-0.121396352	0.048613337
akt	AKT_BAD_HER2   	0.080241838	-0.220910017	-0.513049102	-0.372250824	0.508284483	-0.013535263	0.535590068	-0.230706628	0.215451156	0.047986717	-0.285085596	0.243689224	0.259911394	0.3943564	-0.332070367	-0.225243844	-0.356507581	-0.286678895	-0.519408295	-0.130566296	0.720938977	-0.149855275	-0.27424162	-0.406330769	0.308556712	0.257999874	0.592819322	-0.322189184	-0.078362388	-0.166593454	0.012883512	0.021671972	-0.364440618	0.263778711	0.426293094	0.478925579	0.411657629	-0.332197349	0.395860428	-0.490881386	-0.497916806	-0.29570614	-0.203934812	0.160726029	0.437916247	0.397864444	-0.223141213	-0.105851705	0.396846824	0.434975185	-0.460382073	0.374505739	-0.079499074	-0.190245438	-0.202019499	-0.09512523	0.359731832	-0.364863629	-0.403638064	-0.488642665	0.383281877	0.070463866	-0.203250285	0.517492019	-0.046771638	0.47194176	-0.524307053	0.105293173	-0.056957618	0.271380308	0.673459112	0.765289775	-0.130918882	-0.458290376	-0.180452219	0.347468837	-0.051485118	0.17008004	0.21551738	-0.146020259	0.457792699	0.322596258	0.472918174	0.355719312	-0.174539045	0.518851558	0.299011466	-0.195236229	-0.10441619	0.131229718
akt	AKT_BAD_IGF1R   	0.152533807	-0.117246088	-0.434625481	-0.308585342	0.544140565	0.125800797	0.590709237	-0.179868873	0.234480355	0.093418296	-0.250023643	0.18521408	0.244185722	0.439775667	-0.313997842	-0.229808644	-0.428125884	-0.29633704	-0.513418233	-0.094187537	0.762604402	-0.193206499	-0.191484388	-0.381811265	0.311136175	0.252588112	0.666774423	-0.377385157	-0.137445762	-0.107979593	0.051836373	0.063305482	-0.437018378	0.276795761	0.441973684	0.408530622	0.459092715	-0.283281933	0.384528599	-0.399401838	-0.579030987	-0.390296174	-0.165732135	0.120926575	0.357784821	0.366242888	-0.143784556	-0.114434051	0.386283093	0.370938497	-0.442311099	0.483773169	-0.159233474	-0.155916925	-0.160970948	-0.078606415	0.452185937	-0.30691004	-0.38328908	-0.489362914	0.393558113	0.020147093	-0.299962637	0.47090158	-0.107257881	0.430022367	-0.555593914	0.088149426	-0.102816049	0.323668844	0.658998186	0.726735759	-0.082916945	-0.513341592	-0.174758388	0.293599018	-0.075657504	0.141414371	0.104254228	-0.129574279	0.509435237	0.30797023	0.472334642	0.387663704	-0.2480989	0.574914947	0.268994153	-0.207697814	-0.085565808	-0.00777283
akt	AKT_IGF1R   	0.189663664	-0.20547821	-0.420039337	-0.426446928	0.431833094	0.076056429	0.550856738	-0.150318563	0.222067537	-0.012884073	-0.038282886	0.25242736	0.380073804	0.554444733	-0.254084974	-0.188450022	-0.406209632	-0.183545592	-0.513465215	-0.005149711	0.738544891	-0.156963716	-0.305629346	-0.318644762	0.272112299	0.220336148	0.582100649	-0.303285751	-0.100858011	-0.114328239	0.089574279	0.030202684	-0.454698455	0.132824696	0.303417363	0.325194214	0.34779019	-0.185933148	0.324599949	-0.331722061	-0.565440583	-0.269554682	-0.090353686	0.190948191	0.370426581	0.352820938	-0.247372224	-0.086368747	0.441621868	0.439952984	-0.397331107	0.552249524	-0.129122785	-0.277633965	-0.064386928	-0.09589109	0.476497559	-0.366176338	-0.162921969	-0.397829542	0.465541378	0.012289167	-0.339448661	0.423417449	-0.157676466	0.266864674	-0.541292614	0.041571499	-0.182423087	0.181092482	0.596356957	0.778710228	0.103702727	-0.5251657	-0.130088455	0.269564707	-0.049739206	0.177240883	0.133933042	0.00804951	0.589655842	0.285008226	0.570708903	0.270100112	-0.128102018	0.597924863	0.44692709	-0.19435188	0.07035358	0.084307487
akt	Her2_AKT   	0.051340559	-0.395516363	-0.608501873	-0.483775088	0.465502337	-0.144850911	0.60292052	-0.353629578	0.233234792	0.010764105	-0.067182693	0.272466194	0.314631279	0.415485021	-0.341387081	-0.224638928	-0.404253915	-0.121617225	-0.580557912	-0.129977906	0.69047831	-0.191223473	-0.498740317	-0.472761369	0.340068464	0.094673323	0.556417995	-0.289523085	-0.132563223	-0.333953002	0.167453433	-0.180312629	-0.400411944	0.086287952	0.253486726	0.479525332	0.199391838	-0.367922483	0.41201187	-0.464961115	-0.516256766	-0.223002061	-0.240596786	0.110982529	0.509395667	0.307785346	-0.37828365	-0.116041855	0.583292433	0.520473519	-0.545941601	0.409698301	-0.034462644	-0.35338285	-0.147182267	-0.24839881	0.356258618	-0.542729135	-0.183007259	-0.417560015	0.536426693	0.06087521	-0.300688485	0.472459366	-0.204829998	0.361204461	-0.511347547	0.104510236	-0.240689968	0.125334772	0.653871784	0.880899769	0.089274932	-0.504436621	-0.125245525	0.225372194	-0.133042507	0.1150137	0.359159403	-0.126389265	0.498941147	0.319863079	0.647121169	0.112831881	-0.151254728	0.602922035	0.453612047	-0.20182996	0.017632441	0.229042173
akt	all_4   	0.193719128	-0.072014267	-0.335265827	-0.357110752	0.410792368	0.147876908	0.394244344	-0.042119158	0.112908034	-0.032505891	-0.303467465	0.271818037	0.346160754	0.562034532	-0.223999593	-0.144892108	-0.261274394	-0.294114062	-0.419903113	0.033380634	0.710830133	-0.051430694	-0.109011637	-0.185929522	0.231920002	0.40268668	0.539349852	-0.278689401	-0.023365217	0.051883991	-0.150420442	0.258879473	-0.347135112	0.283881757	0.45310819	0.320049647	0.524887012	-0.165733749	0.270253536	-0.389453545	-0.451657972	-0.288964126	-0.090521214	0.253625129	0.351095915	0.451530431	-0.142115564	-0.049164244	0.207076753	0.350094236	-0.267167884	0.484351344	-0.10872103	-0.091170977	-0.08831473	0.046206041	0.456229764	-0.194341606	-0.371704329	-0.451283337	0.252770539	0.031433644	-0.167017754	0.461721349	0.04412508	0.378528239	-0.514636289	0.040593525	0.021473427	0.247774916	0.563904576	0.61578382	-0.128878545	-0.409551253	-0.19829509	0.417604596	0.070870031	0.205826569	0.032876684	0.025448296	0.483059334	0.284609351	0.334035647	0.501748051	-0.095831999	0.392561571	0.328148911	-0.154159982	-0.070236844	0.072722793
akt	akt_s_a	0.121458488	-0.255592722	-0.532773549	-0.445678908	0.547101557	-0.104072588	0.675815563	-0.326776286	0.302169271	0.038262018	-0.04192987	0.091417551	0.227098704	0.326654146	-0.24899581	-0.178957202	-0.428872403	-0.149187914	-0.524300398	-0.137286413	0.690619565	-0.160264263	-0.451477705	-0.489637785	0.35236492	0.153715866	0.684345234	-0.235283756	-0.076799721	-0.334552257	0.254604637	-0.200989076	-0.329085305	0.236130981	0.262114336	0.426158359	0.221561105	-0.341813755	0.345072544	-0.370568092	-0.505664859	-0.266843305	-0.157291255	0.124690037	0.404702756	0.254849965	-0.332943024	-0.028067498	0.590061968	0.569360866	-0.559635541	0.425799852	-0.035243611	-0.365133568	-0.249019002	-0.157655502	0.26358776	-0.483728596	-0.276802484	-0.342097999	0.591075172	0.138804266	-0.241047607	0.572090368	-0.147810036	0.378694072	-0.431628356	0.179362507	-0.187669411	0.296971129	0.68215437	0.918786002	0.056811967	-0.469323689	-0.103160668	0.280414901	-0.077031045	0.162217776	0.359102298	-0.131629865	0.506753344	0.344726983	0.732717195	0.087393979	-0.162543889	0.708372256	0.316946032	-0.152493941	0.104410561	0.116544579
bad	AKT_BAD   	0.018038986	-0.161568566	0.204749859	-0.087773857	-0.256923353	-0.159585695	-0.251107703	0.273090952	0.160244778	-0.14604761	0.782576029	0.018155479	0.403431938	0.194619385	0.434302458	0.243317919	0.163133968	0.305412913	0.268181914	0.412198688	-0.107370736	0.210579165	-0.155844395	0.255459317	-0.029392476	-0.088398098	-0.406481002	0.366563038	0.195858011	0.145041082	0.218904612	-0.21486631	0.097698767	-0.287714246	-0.363512112	-0.27299611	-0.253766499	0.485306277	-0.203395908	0.456085333	0.228061362	0.506798182	0.511997842	0.235651951	-0.149367341	-0.277434665	-0.059239192	0.187279312	0.165900351	0.217923161	0.374235721	0.108512337	0.218418257	-0.225840274	0.335964668	0.137661507	-0.069908694	0.038869517	0.710953956	0.389790555	0.234846224	0.131904331	-0.01147879	-0.148560733	-0.021156816	-0.44476856	0.227169989	-0.119744896	-0.211532186	-0.29705449	-0.210545692	0.043263368	0.546272	0.164650713	0.326468414	-0.075891811	0.085360566	0.245837529	0.021532479	0.484168068	0.103523455	0.050324445	0.190372709	-0.38725392	0.439007195	0.120505366	0.434154654	0.191765366	0.571913968	0.138020257
bad	AKT_BAD_HER2   	-0.019049031	-0.142029678	0.063294939	0.05058202	-0.032331717	-0.129549397	0.058453577	0.057830807	0.292003524	0.067149156	0.756582465	-0.13894614	0.180065983	-0.051276342	0.283924031	0.145296997	-0.060728483	0.250875264	0.155596804	0.187201854	-0.095159703	-0.016853663	-0.193044054	-0.01766755	0.08478707	-0.313682538	-0.190761479	0.181889799	0.00851672	-0.069261108	0.469793843	-0.452167458	-0.02165557	-0.242663312	-0.330359643	-0.138606345	-0.330335705	0.270420408	-0.034931166	0.468713271	0.033865335	0.267851809	0.33577512	-0.001210698	-0.156608702	-0.384661207	-0.012940101	0.07803607	0.341707986	0.150740819	0.117187766	0.072450194	0.110814554	-0.289858729	0.194808137	-0.060718114	-0.089997785	-0.095555317	0.588516862	0.349955432	0.34185239	0.114788282	-0.198341977	-0.139461772	-0.231553628	-0.340133419	0.186446809	-0.037542231	-0.337424324	-0.120199605	-0.095358921	0.126919793	0.561321981	0.020449695	0.3695142	-0.26228519	-0.122211723	0.098555804	0.06171599	0.212207427	0.082710922	0.070207186	0.328215491	-0.499455027	0.134393201	0.319943129	0.243075114	0.125307595	0.451912418	-0.058464077
