	Corr	p_val
akt_bad/adapB_multi/bad__Sigma.AKT1.2.inhibitor	-0.417993776935191	0.0212413770633617
akt_bad/adapB_multi/bad__GSK2141795	-0.403552816945452	0.0570911688173112
akt_bad/adapB_multi/bad__GSK2119563	-0.325353043179876	0.0581087281610553
akt_bad/adapB_multi/bad__BIBW2992	0.138392112914164	0.475132880123396
akt_bad/adapB_multi/bad__Lapatinib	-0.191566503835149	0.229147388906319
akt_bad/adapB_multi/bad__GSK1838705	0.14322587193807	0.205612308933545
akt_bad/adapB_multi/bad__ERKi.II..FR180304.	-0.0665589395056219	0.63719773238927
akt_bad/adap_adap_multi/bad__Sigma.AKT1.2.inhibitor	-0.588956405783782	0.000137249953817919
akt_bad/adap_adap_multi/bad__GSK2141795	-0.542961971890245	0.00531466289137095
akt_bad/adap_adap_multi/bad__GSK2119563	-0.233031333354099	0.15814495991704
akt_bad/adap_adap_multi/bad__BIBW2992	0.0506434905954007	0.786426168081686
akt_bad/adap_adap_multi/bad__Lapatinib	-0.211783485420703	0.231612581079965
akt_bad/adap_adap_multi/bad__GSK1838705	0.195252796444195	0.292355390895567
akt_bad/adap_adap_multi/bad__ERKi.II..FR180304.	-0.219828992098525	0.297628916863203
akt_bad_erk/adapB_multi/bad__Sigma.AKT1.2.inhibitor	-0.574727761897536	0.00112529003327833
akt_bad_erk/adapB_multi/bad__GSK2141795	-0.465855707982645	0.0371275771213053
akt_bad_erk/adapB_multi/bad__GSK2119563	-0.333755128613581	0.0520189075976547
akt_bad_erk/adapB_multi/bad__BIBW2992	0.187364201179684	0.412605754958914
akt_bad_erk/adapB_multi/bad__Lapatinib	-0.165128912530962	0.324866675436284
akt_bad_erk/adapB_multi/bad__GSK1838705	0.114783136945421	0.477205498354917
akt_bad_erk/adapB_multi/bad__ERKi.II..FR180304.	-0.178389311212296	0.359721355391519
akt_bad_erk/adap_adap_multi/bad__Sigma.AKT1.2.inhibitor	-0.657363347544582	0.00037763491732945
akt_bad_erk/adap_adap_multi/bad__GSK2141795	-0.563429243945851	0.00624523480744932
akt_bad_erk/adap_adap_multi/bad__GSK2119563	-0.307232883027667	0.105533746370235
akt_bad_erk/adap_adap_multi/bad__BIBW2992	-0.0519806124593057	0.83803559518787
akt_bad_erk/adap_adap_multi/bad__Lapatinib	-0.287420444499525	0.0972028224950992
akt_bad_erk/adap_adap_multi/bad__GSK1838705	0.161445417484962	0.438415100104483
akt_bad_erk/adap_adap_multi/bad__ERKi.II..FR180304.	-0.266803424883943	0.179975932931011
akt_bad_her2_erk/adapB_multi/bad__Sigma.AKT1.2.inhibitor	-0.511355571050331	0.00332236622006343
akt_bad_her2_erk/adapB_multi/bad__GSK2141795	-0.402651742075079	0.0858490409832953
akt_bad_her2_erk/adapB_multi/bad__GSK2119563	-0.313509139616701	0.0567647488228682
akt_bad_her2_erk/adapB_multi/bad__BIBW2992	0.265418689985136	0.262629009036321
akt_bad_her2_erk/adapB_multi/bad__Lapatinib	-0.119463982096458	0.610782901043695
akt_bad_her2_erk/adapB_multi/bad__GSK1838705	0.0994989626255283	0.522605518162703
akt_bad_her2_erk/adapB_multi/bad__ERKi.II..FR180304.	-0.17853122792766	0.314297820847777
akt_bad_her2_erk/adap_adap_multi/bad__Sigma.AKT1.2.inhibitor	-0.641711839269711	0.000317720997085047
akt_bad_her2_erk/adap_adap_multi/bad__GSK2141795	-0.550299295834707	0.00441478923048333
akt_bad_her2_erk/adap_adap_multi/bad__GSK2119563	-0.298425877814024	0.0901225378356267
akt_bad_her2_erk/adap_adap_multi/bad__BIBW2992	-0.0095269932803229	0.968514544143445
akt_bad_her2_erk/adap_adap_multi/bad__Lapatinib	-0.250096786187733	0.172044220530449
akt_bad_her2_erk/adap_adap_multi/bad__GSK1838705	0.159319803837825	0.400050864713897
akt_bad_her2_erk/adap_adap_multi/bad__ERKi.II..FR180304.	-0.230756579181538	0.227812861257694
akt_bad_her2_igf1r/adapB_multi/bad__Sigma.AKT1.2.inhibitor	-0.467575128323419	0.00396807925458509
akt_bad_her2_igf1r/adapB_multi/bad__GSK2141795	-0.31202935511189	0.0710688699217565
akt_bad_her2_igf1r/adapB_multi/bad__GSK2119563	-0.369691759083045	0.0250823294276863
akt_bad_her2_igf1r/adapB_multi/bad__BIBW2992	0.0844058176590012	0.576720626121034
akt_bad_her2_igf1r/adapB_multi/bad__Lapatinib	-0.281482589768104	0.157646777833146
akt_bad_her2_igf1r/adapB_multi/bad__GSK1838705	0.111645326323457	0.583363180373457
