	Corr	p_val
akt_bad_erk/adapB_multi/erk__Sigma.AKT1.2.inhibitor	0.581075926092938	0.000107331970532032
akt_bad_erk/adapB_multi/erk__GSK2141795	0.464697183149308	0.0298662560919805
akt_bad_erk/adapB_multi/erk__GSK2119563	0.149314168851997	0.418690629464896
akt_bad_erk/adapB_multi/erk__BIBW2992	-0.173825842307646	0.355301967018005
akt_bad_erk/adapB_multi/erk__Lapatinib	0.0221962664960283	0.87489442932747
akt_bad_erk/adapB_multi/erk__GSK1838705	-0.074801356439741	0.654524291553785
akt_bad_erk/adapB_multi/erk__ERKi.II..FR180304.	0.108566287253307	0.610589820392733
akt_bad_erk/adap_adap_multi/erk__Sigma.AKT1.2.inhibitor	-0.154982767253268	0.314516336975225
akt_bad_erk/adap_adap_multi/erk__GSK2141795	-0.24058699038949	0.18833917008141
akt_bad_erk/adap_adap_multi/erk__GSK2119563	0.276458979752409	0.102010082316963
akt_bad_erk/adap_adap_multi/erk__BIBW2992	0.260738763461469	0.10626196989278
akt_bad_erk/adap_adap_multi/erk__Lapatinib	0.228607407159731	0.171821595080474
akt_bad_erk/adap_adap_multi/erk__GSK1838705	0.320461562230338	0.0622204819903414
akt_bad_erk/adap_adap_multi/erk__ERKi.II..FR180304.	0.096219533016656	0.543518029970558
akt_bad_her2_erk/adapB_multi/erk__Sigma.AKT1.2.inhibitor	0.555136013777243	0.000832420273847223
akt_bad_her2_erk/adapB_multi/erk__GSK2141795	0.50267105268644	0.0262465121707638
akt_bad_her2_erk/adapB_multi/erk__GSK2119563	0.109935720253063	0.603031462802905
akt_bad_her2_erk/adapB_multi/erk__BIBW2992	-0.181180012559123	0.39927526466354
akt_bad_her2_erk/adapB_multi/erk__Lapatinib	0.00607923222502685	0.902943860881072
akt_bad_her2_erk/adapB_multi/erk__GSK1838705	-0.133103902189796	0.513019915996767
akt_bad_her2_erk/adapB_multi/erk__ERKi.II..FR180304.	0.13595621331852	0.484312041450269
akt_bad_her2_erk/adap_adap_multi/erk__Sigma.AKT1.2.inhibitor	-0.576369528499795	0.000192085091307526
akt_bad_her2_erk/adap_adap_multi/erk__GSK2141795	-0.368282172019438	0.0683397703209181
akt_bad_her2_erk/adap_adap_multi/erk__GSK2119563	-0.246798605871978	0.116232214727552
akt_bad_her2_erk/adap_adap_multi/erk__BIBW2992	0.0600033436427355	0.668258145654196
akt_bad_her2_erk/adap_adap_multi/erk__Lapatinib	-0.109284802556878	0.598707414773932
akt_bad_her2_erk/adap_adap_multi/erk__GSK1838705	0.12622096276097	0.461895101516524
akt_bad_her2_erk/adap_adap_multi/erk__ERKi.II..FR180304.	-0.267229175030034	0.198313920241748
akt_bad_her2_igf1r_erk/adapB_multi/erk__Sigma.AKT1.2.inhibitor	0.563454297895356	0.000734433879920449
akt_bad_her2_igf1r_erk/adapB_multi/erk__GSK2141795	0.455042809538173	0.0204902595180232
akt_bad_her2_igf1r_erk/adapB_multi/erk__GSK2119563	0.175633954547942	0.302699607440868
akt_bad_her2_igf1r_erk/adapB_multi/erk__BIBW2992	-0.16279458693043	0.377735385968225
akt_bad_her2_igf1r_erk/adapB_multi/erk__Lapatinib	0.0665887994880848	0.734418071255045
akt_bad_her2_igf1r_erk/adapB_multi/erk__GSK1838705	-0.088567235297393	0.651237037244637
