	Corr	p_val
akt_bad_her2_igf1r/adapB_multi/igf1r__Sigma.AKT1.2.inhibitor	0.604279560738202	0.00011415505551482
akt_bad_her2_igf1r/adapB_multi/igf1r__GSK2141795	0.651605856260886	1.9316976560102e-05
akt_bad_her2_igf1r/adapB_multi/igf1r__GSK2119563	0.292453311059944	0.0827091895914869
akt_bad_her2_igf1r/adapB_multi/igf1r__BIBW2992	0.0574962401479137	0.772001392751879
akt_bad_her2_igf1r/adapB_multi/igf1r__Lapatinib	0.327430275189818	0.0789146159737775
akt_bad_her2_igf1r/adapB_multi/igf1r__GSK1838705	-0.405486108115836	0.0168295360452266
akt_bad_her2_igf1r/adapB_multi/igf1r__ERKi.II..FR180304.	0.11466870601395	0.457705474130888
akt_bad_her2_igf1r/adap_adap_multi/igf1r__Sigma.AKT1.2.inhibitor	0.349039579640305	0.0170559166629702
akt_bad_her2_igf1r/adap_adap_multi/igf1r__GSK2141795	0.285383283945157	0.0663016633943905
akt_bad_her2_igf1r/adap_adap_multi/igf1r__GSK2119563	0.0643822450100812	0.718822570478823
akt_bad_her2_igf1r/adap_adap_multi/igf1r__BIBW2992	-0.0762159462425832	0.498463216523099
akt_bad_her2_igf1r/adap_adap_multi/igf1r__Lapatinib	-0.0108860670076062	0.910169663647221
akt_bad_her2_igf1r/adap_adap_multi/igf1r__GSK1838705	-0.240498001218978	0.152257156058517
akt_bad_her2_igf1r/adap_adap_multi/igf1r__ERKi.II..FR180304.	0.129144210981057	0.490359561437519
akt_bad_her2_igf1r_erk/adapB_multi/igf1r__Sigma.AKT1.2.inhibitor	0.62606033099484	0.000716268728414349
akt_bad_her2_igf1r_erk/adapB_multi/igf1r__GSK2141795	0.67400400303872	2.1570840498919e-05
akt_bad_her2_igf1r_erk/adapB_multi/igf1r__GSK2119563	0.2804069476068	0.109255365486577
akt_bad_her2_igf1r_erk/adapB_multi/igf1r__BIBW2992	0.0829015555621081	0.67698712070484
akt_bad_her2_igf1r_erk/adapB_multi/igf1r__Lapatinib	0.341426647056741	0.0261638257955934
akt_bad_her2_igf1r_erk/adapB_multi/igf1r__GSK1838705	-0.406599524788146	0.0118060906724815
akt_bad_her2_igf1r_erk/adapB_multi/igf1r__ERKi.II..FR180304.	0.116371706598315	0.552006041723451
akt_bad_her2_igf1r_erk/adap_adap_multi/igf1r__Sigma.AKT1.2.inhibitor	0.338751175599481	0.058227237197324
akt_bad_her2_igf1r_erk/adap_adap_multi/igf1r__GSK2141795	0.268134136426595	0.11518315080518
akt_bad_her2_igf1r_erk/adap_adap_multi/igf1r__GSK2119563	0.0595232076508298	0.792064992694116
akt_bad_her2_igf1r_erk/adap_adap_multi/igf1r__BIBW2992	-0.103125523753671	0.464207799618538
akt_bad_her2_igf1r_erk/adap_adap_multi/igf1r__Lapatinib	-0.0407167181583194	0.888235887435127
akt_bad_her2_igf1r_erk/adap_adap_multi/igf1r__GSK1838705	-0.233716281487635	0.247305257511016
akt_bad_her2_igf1r_erk/adap_adap_multi/igf1r__ERKi.II..FR180304.	0.120629208059229	0.483013670049618
akt_bad_igf1r/adapB_multi/igf1r__Sigma.AKT1.2.inhibitor	0.601871636388221	0.000122600002457451
akt_bad_igf1r/adapB_multi/igf1r__GSK2141795	0.662547479686839	5.37479175097832e-05
akt_bad_igf1r/adapB_multi/igf1r__GSK2119563	0.312395610221872	0.070324826653646
akt_bad_igf1r/adapB_multi/igf1r__BIBW2992	0.0615076057396286	0.730120445477078
akt_bad_igf1r/adapB_multi/igf1r__Lapatinib	0.34086113708232	0.0479481949317186
akt_bad_igf1r/adapB_multi/igf1r__GSK1838705	-0.385849486804185	0.0561575316106475
akt_bad_igf1r/adapB_multi/igf1r__ERKi.II..FR180304.	0.125312459666235	0.524259132862519
akt_bad_igf1r/adap_adap_multi/igf1r__Sigma.AKT1.2.inhibitor	0.293000612949858	0.0443721185608696
akt_bad_igf1r/adap_adap_multi/igf1r__GSK2141795	0.272124610852531	0.0825297974731249
akt_bad_igf1r/adap_adap_multi/igf1r__GSK2119563	0.0067824063139551	0.929622751097305
akt_bad_igf1r/adap_adap_multi/igf1r__BIBW2992	-0.124018052877186	0.611295884808903
akt_bad_igf1r/adap_adap_multi/igf1r__Lapatinib	-0.0504717652170834	0.862897043585995
akt_bad_igf1r/adap_adap_multi/igf1r__GSK1838705	-0.2649931680098	0.136524262710562
akt_bad_igf1r/adap_adap_multi/igf1r__ERKi.II..FR180304.	0.101754284915844	0.558788624058785
akt_bad_igf1r_erk/adapB_multi/igf1r__Sigma.AKT1.2.inhibitor	0.610956078254056	0.000411179730837707
akt_bad_igf1r_erk/adapB_multi/igf1r__GSK2141795	0.663448554557212	3.89592207601375e-05
akt_bad_igf1r_erk/adapB_multi/igf1r__GSK2119563	0.304094754733151	0.0796423559335648
akt_bad_igf1r_erk/adapB_multi/igf1r__BIBW2992	0.0780544888054526	0.634940162262606
akt_bad_igf1r_erk/adapB_multi/igf1r__Lapatinib	0.357260926340532	0.0228276593802539
akt_bad_igf1r_erk/adapB_multi/igf1r__GSK1838705	-0.399615365661837	0.0148986020777155
akt_bad_igf1r_erk/adapB_multi/igf1r__ERKi.II..FR180304.	0.127157376965964	0.553474011612603
akt_bad_igf1r_erk/adap_adap_multi/igf1r__Sigma.AKT1.2.inhibitor	0.335686544608597	0.0542918159839183
akt_bad_igf1r_erk/adap_adap_multi/igf1r__GSK2141795	0.269678836204377	0.102228371956516
akt_bad_igf1r_erk/adap_adap_multi/igf1r__GSK2119563	0.0484891436475297	0.756448924280495
akt_bad_igf1r_erk/adap_adap_multi/igf1r__BIBW2992	-0.108808291675267	0.713379103028428
akt_bad_igf1r_erk/adap_adap_multi/igf1r__Lapatinib	-0.0390201882350561	0.699562779927395
akt_bad_igf1r_erk/adap_adap_multi/igf1r__GSK1838705	-0.239384584546668	0.298283455693764
akt_bad_igf1r_erk/adap_adap_multi/igf1r__ERKi.II..FR180304.	0.120629208059229	0.509193410817482
akt_her2_igf1r/adapB_multi/igf1r__Sigma.AKT1.2.inhibitor	0.604498462951836	8.88114700090537e-05
akt_her2_igf1r/adapB_multi/igf1r__GSK2141795	0.647872831797914	8.34823100075432e-05
akt_her2_igf1r/adapB_multi/igf1r__GSK2119563	0.310371011322184	0.165979522173393
akt_her2_igf1r/adapB_multi/igf1r__BIBW2992	0.0397793754511728	0.884680707071589
akt_her2_igf1r/adapB_multi/igf1r__Lapatinib	0.308202936059501	0.0670753893703142
akt_her2_igf1r/adapB_multi/igf1r__GSK1838705	-0.398704388384492	0.00663061034377477
akt_her2_igf1r/adapB_multi/igf1r__ERKi.II..FR180304.	0.12999571127324	0.531686788351213
akt_her2_igf1r/adap_adap_multi/igf1r__Sigma.AKT1.2.inhibitor	0.495922964989095	0.00468433914048805
akt_her2_igf1r/adap_adap_multi/igf1r__GSK2141795	0.401879392186189	0.0145969441318772
akt_her2_igf1r/adap_adap_multi/igf1r__GSK2119563	0.202864809748747	0.150172667573852
akt_her2_igf1r/adap_adap_multi/igf1r__BIBW2992	-0.0031756644267743	0.843628435544674
akt_her2_igf1r/adap_adap_multi/igf1r__Lapatinib	0.0988228680300877	0.479004653981586
akt_her2_igf1r/adap_adap_multi/igf1r__GSK1838705	-0.31054203187703	0.0901826947841626
akt_her2_igf1r/adap_adap_multi/igf1r__ERKi.II..FR180304.	0.175976727051111	0.392984749163032
akt_igf1r/adapB_multi/igf1r__Sigma.AKT1.2.inhibitor	0.59267774341557	0.00103677494186538
akt_igf1r/adapB_multi/igf1r__GSK2141795	0.61620648635339	0.000359398935958932
akt_igf1r/adapB_multi/igf1r__GSK2119563	0.3213038453805	0.0902855458721517
akt_igf1r/adapB_multi/igf1r__BIBW2992	0.0290824005399331	0.920622311839323
akt_igf1r/adapB_multi/igf1r__Lapatinib	0.311171863425212	0.0739985050757412
akt_igf1r/adapB_multi/igf1r__GSK1838705	-0.404473911141008	0.0250584266381411
akt_igf1r/adapB_multi/igf1r__ERKi.II..FR180304.	0.097638700170294	0.683614946583585
akt_igf1r/adap_adap_multi/igf1r__Sigma.AKT1.2.inhibitor	0.354293232767535	0.0457126070327998
akt_igf1r/adap_adap_multi/igf1r__GSK2141795	0.299543031908155	0.0552940854438511
akt_igf1r/adap_adap_multi/igf1r__GSK2119563	0.0714683411589895	0.557024119825532
akt_igf1r/adap_adap_multi/igf1r__BIBW2992	-0.0605047643416999	0.823211090416858
