	Corr	p_val
akt/adapB_single/akt__Sigma.AKT1.2.inhibitor	0.647512747931027	8.80137398961978e-07
akt/adapB_single/akt__GSK2141795	0.409216716130651	0.0133838479529726
akt/adapB_single/akt__GSK2119563	0.292959460784867	0.0991673275233029
akt/adapB_single/akt__BIBW2992	-0.015209761201919	0.990339842570001
akt/adapB_single/akt__Lapatinib	0.241472759077811	0.259829242204073
akt/adapB_single/akt__GSK1838705	-0.0869477201376692	0.56699329324162
akt/adapB_single/akt__ERKi.II..FR180304.	0.158662887776728	0.262216349435684
akt/adap_adap_single/akt__Sigma.AKT1.2.inhibitor	0.622010640042601	1.60768189589877e-05
akt/adap_adap_single/akt__GSK2141795	0.519405300279075	0.00554961438655943
akt/adap_adap_single/akt__GSK2119563	0.229893205059583	0.144136442007003
akt/adap_adap_single/akt__BIBW2992	0.0137054991050259	0.776710286993421
akt/adap_adap_single/akt__Lapatinib	0.280492947312867	0.105872640491849
akt/adap_adap_single/akt__GSK1838705	-0.0831013716333253	0.53510901864369
akt/adap_adap_single/akt__ERKi.II..FR180304.	0.195845067202043	0.311747598270098
akt_bad/adapB_multi/akt__Sigma.AKT1.2.inhibitor	0.674656622421713	1.90461867144442e-06
akt_bad/adapB_multi/akt__GSK2141795	0.426337138667731	0.0123869790909414
akt_bad/adapB_multi/akt__GSK2119563	0.307334112972652	0.0757417395943225
akt_bad/adapB_multi/akt__BIBW2992	-0.028915260306945	0.979909592458278
akt_bad/adapB_multi/akt__Lapatinib	0.257165660867996	0.16281299565903
akt_bad/adapB_multi/akt__GSK1838705	-0.0750037958347065	0.703618637525504
akt_bad/adapB_multi/akt__ERKi.II..FR180304.	0.190594148733583	0.299237181906741
akt_bad/adap_adap_multi/akt__Sigma.AKT1.2.inhibitor	0.615005769206295	7.2630591678724e-06
akt_bad/adap_adap_multi/akt__GSK2141795	0.439338361797393	0.0111431217342914
akt_bad/adap_adap_multi/akt__GSK2119563	0.299033257483931	0.108328188884034
akt_bad/adap_adap_multi/akt__BIBW2992	-0.0292495407729212	0.853091542210952
akt_bad/adap_adap_multi/akt__Lapatinib	0.250945051149364	0.136559106669408
akt_bad/adap_adap_multi/akt__GSK1838705	-0.0708537882379144	0.795310294031714
akt_bad/adap_adap_multi/akt__ERKi.II..FR180304.	0.17370605960529	0.339312944858589
akt_bad_erk/adapB_multi/akt__Sigma.AKT1.2.inhibitor	0.685273379782989	3.58759600804781e-06
akt_bad_erk/adapB_multi/akt__GSK2141795	0.436120237260348	0.00385753616212958
akt_bad_erk/adapB_multi/akt__GSK2119563	0.287493043755709	0.0914310780598824
akt_bad_erk/adapB_multi/akt__BIBW2992	-0.0407822168491016	0.674535784637525
akt_bad_erk/adapB_multi/akt__Lapatinib	0.239917606648153	0.198842382655228
akt_bad_erk/adapB_multi/akt__GSK1838705	-0.0862391822552901	0.573726406244308
akt_bad_erk/adapB_multi/akt__ERKi.II..FR180304.	0.206488820854328	0.202208772639204
akt_bad_erk/adap_adap_multi/akt__Sigma.AKT1.2.inhibitor	0.628468255344821	7.30320026676168e-10
akt_bad_erk/adap_adap_multi/akt__GSK2141795	0.38630366942689	0.0488771367978087
akt_bad_erk/adap_adap_multi/akt__GSK2119563	0.340132615147599	0.0631882192311906
akt_bad_erk/adap_adap_multi/akt__BIBW2992	-0.0307538028698143	0.925945938711854
akt_bad_erk/adap_adap_multi/akt__Lapatinib	0.2411900040906	0.210732141354501
akt_bad_erk/adap_adap_multi/akt__GSK1838705	-0.0207500379839606	0.981341594806478
akt_bad_erk/adap_adap_multi/akt__ERKi.II..FR180304.	0.195845067202043	0.228479922174583
akt_bad_her2_erk/adapB_multi/akt__Sigma.AKT1.2.inhibitor	0.633612457365233	3.43824460014019e-08
akt_bad_her2_erk/adapB_multi/akt__GSK2141795	0.398661267649144	0.0155678484594794
akt_bad_her2_erk/adapB_multi/akt__GSK2119563	0.290226252270288	0.114482372118209
akt_bad_her2_erk/adapB_multi/akt__BIBW2992	-0.0686946357581178	0.615313908951989
akt_bad_her2_erk/adapB_multi/akt__Lapatinib	0.22804189718531	0.230266470690594
akt_bad_her2_erk/adapB_multi/akt__GSK1838705	-0.0783440458516367	0.582466347322126
akt_bad_her2_erk/adapB_multi/akt__ERKi.II..FR180304.	0.199960651947593	0.23965106477801
akt_bad_her2_erk/adap_adap_multi/akt__Sigma.AKT1.2.inhibitor	0.633940810685685	1.13363617404438e-06
akt_bad_her2_erk/adap_adap_multi/akt__GSK2141795	0.448220385519638	0.00697542829105102
akt_bad_her2_erk/adap_adap_multi/akt__GSK2119563	0.328491171474392	0.0692522618904359
akt_bad_her2_erk/adap_adap_multi/akt__BIBW2992	-0.0106969749112398	0.914196361087049
akt_bad_her2_erk/adap_adap_multi/akt__Lapatinib	0.28218947723613	0.15286142977843
akt_bad_her2_erk/adap_adap_multi/akt__GSK1838705	-0.0636671897166402	0.648237668969283
akt_bad_her2_erk/adap_adap_multi/akt__ERKi.II..FR180304.	0.149580217993445	0.402385877545639
akt_bad_her2_igf1r/adapB_multi/akt__Sigma.AKT1.2.inhibitor	0.59869755429052	7.77754327603297e-05
akt_bad_her2_igf1r/adapB_multi/akt__GSK2141795	0.308811230574845	0.0859214150458061
akt_bad_her2_igf1r/adapB_multi/akt__GSK2119563	0.283646305846301	0.055026577146885
