	Corr	p_val
akt/adapB_single/akt__Sigma.AKT1.2.inhibitor	0.647512747931027	8.80137398961978e-07
akt/adapB_single/akt__GSK2141795	0.409216716130651	0.0133838479529726
akt/adapB_single/akt__GSK2119563	0.292959460784867	0.0991673275233029
akt/adapB_single/akt__BIBW2992	-0.015209761201919	0.990339842570001
akt/adapB_single/akt__Lapatinib	0.241472759077811	0.259829242204073
akt/adapB_single/akt__GSK1838705	-0.0869477201376692	0.56699329324162
akt/adapB_single/akt__ERKi.II..FR180304.	0.158662887776728	0.262216349435684
akt/adap_adap_single/akt__Sigma.AKT1.2.inhibitor	0.622010640042601	1.60768189589877e-05
akt/adap_adap_single/akt__GSK2141795	0.519405300279075	0.00554961438655943
akt/adap_adap_single/akt__GSK2119563	0.229893205059583	0.144136442007003
akt/adap_adap_single/akt__BIBW2992	0.0137054991050259	0.776710286993421
akt/adap_adap_single/akt__Lapatinib	0.280492947312867	0.105872640491849
akt/adap_adap_single/akt__GSK1838705	-0.0831013716333253	0.53510901864369
akt/adap_adap_single/akt__ERKi.II..FR180304.	0.195845067202043	0.311747598270098
akt_bad/adapB_multi/akt__Sigma.AKT1.2.inhibitor	0.674656622421713	1.90461867144442e-06
akt_bad/adapB_multi/akt__GSK2141795	0.426337138667731	0.0123869790909414
akt_bad/adapB_multi/akt__GSK2119563	0.307334112972652	0.0757417395943225
akt_bad/adapB_multi/akt__BIBW2992	-0.028915260306945	0.979909592458278
akt_bad/adapB_multi/akt__Lapatinib	0.257165660867996	0.16281299565903
akt_bad/adapB_multi/akt__GSK1838705	-0.0750037958347065	0.703618637525504
akt_bad/adapB_multi/akt__ERKi.II..FR180304.	0.190594148733583	0.299237181906741
akt_bad/adapB_multi/bad__Sigma.AKT1.2.inhibitor	-0.417993776935191	0.0212413770633617
akt_bad/adapB_multi/bad__GSK2141795	-0.403552816945452	0.0570911688173112
akt_bad/adapB_multi/bad__GSK2119563	-0.325353043179876	0.0581087281610553
akt_bad/adapB_multi/bad__BIBW2992	0.138392112914164	0.475132880123396
akt_bad/adapB_multi/bad__Lapatinib	-0.191566503835149	0.229147388906319
akt_bad/adapB_multi/bad__GSK1838705	0.14322587193807	0.205612308933545
akt_bad/adapB_multi/bad__ERKi.II..FR180304.	-0.0665589395056219	0.63719773238927
akt_bad/adap_adap_multi/akt__Sigma.AKT1.2.inhibitor	0.615005769206295	7.2630591678724e-06
akt_bad/adap_adap_multi/akt__GSK2141795	0.439338361797393	0.0111431217342914
akt_bad/adap_adap_multi/akt__GSK2119563	0.299033257483931	0.108328188884034
akt_bad/adap_adap_multi/akt__BIBW2992	-0.0292495407729212	0.853091542210952
akt_bad/adap_adap_multi/akt__Lapatinib	0.250945051149364	0.136559106669408
akt_bad/adap_adap_multi/akt__GSK1838705	-0.0708537882379144	0.795310294031714
akt_bad/adap_adap_multi/akt__ERKi.II..FR180304.	0.17370605960529	0.339312944858589
akt_bad/adap_adap_multi/bad__Sigma.AKT1.2.inhibitor	-0.588956405783782	0.000137249953817919
akt_bad/adap_adap_multi/bad__GSK2141795	-0.542961971890245	0.00531466289137095
akt_bad/adap_adap_multi/bad__GSK2119563	-0.233031333354099	0.15814495991704
akt_bad/adap_adap_multi/bad__BIBW2992	0.0506434905954007	0.786426168081686
akt_bad/adap_adap_multi/bad__Lapatinib	-0.211783485420703	0.231612581079965
akt_bad/adap_adap_multi/bad__GSK1838705	0.195252796444195	0.292355390895567
akt_bad/adap_adap_multi/bad__ERKi.II..FR180304.	-0.219828992098525	0.297628916863203
akt_bad_erk/adapB_multi/akt__Sigma.AKT1.2.inhibitor	0.685273379782989	3.58759600804781e-06
akt_bad_erk/adapB_multi/akt__GSK2141795	0.436120237260348	0.00385753616212958
akt_bad_erk/adapB_multi/akt__GSK2119563	0.287493043755709	0.0914310780598824
akt_bad_erk/adapB_multi/akt__BIBW2992	-0.0407822168491016	0.674535784637525
akt_bad_erk/adapB_multi/akt__Lapatinib	0.239917606648153	0.198842382655228
akt_bad_erk/adapB_multi/akt__GSK1838705	-0.0862391822552901	0.573726406244308
akt_bad_erk/adapB_multi/akt__ERKi.II..FR180304.	0.206488820854328	0.202208772639204
akt_bad_erk/adapB_multi/bad__Sigma.AKT1.2.inhibitor	-0.574727761897536	0.00112529003327833
akt_bad_erk/adapB_multi/bad__GSK2141795	-0.465855707982645	0.0371275771213053
akt_bad_erk/adapB_multi/bad__GSK2119563	-0.333755128613581	0.0520189075976547
akt_bad_erk/adapB_multi/bad__BIBW2992	0.187364201179684	0.412605754958914
akt_bad_erk/adapB_multi/bad__Lapatinib	-0.165128912530962	0.324866675436284
akt_bad_erk/adapB_multi/bad__GSK1838705	0.114783136945421	0.477205498354917
akt_bad_erk/adapB_multi/bad__ERKi.II..FR180304.	-0.178389311212296	0.359721355391519
akt_bad_erk/adapB_multi/erk__Sigma.AKT1.2.inhibitor	0.581075926092938	0.000107331970532032
akt_bad_erk/adapB_multi/erk__GSK2141795	0.464697183149308	0.0298662560919805
akt_bad_erk/adapB_multi/erk__GSK2119563	0.149314168851997	0.418690629464896
akt_bad_erk/adapB_multi/erk__BIBW2992	-0.173825842307646	0.355301967018005
akt_bad_erk/adapB_multi/erk__Lapatinib	0.0221962664960283	0.87489442932747
akt_bad_erk/adapB_multi/erk__GSK1838705	-0.074801356439741	0.654524291553785
