	Corr	p_val
akt.adapB_single.akt__X17.AAG	0.123775651462559	0.451167111134325
akt.adapB_single.akt__X5.FU	0.175609185400046	0.337212636076604
akt.adapB_single.akt__X5.FdUR	0.203337896036636	0.256651103271499
akt.adapB_single.akt__AG1478	-0.0862970759976443	0.635690669690378
akt.adapB_single.akt__Sigma.AKT1.2.inhibitor	0.647512747931027	9.57766494558143e-07
akt.adapB_single.akt__Triciribine	0.249124450801791	0.167760025184682
akt.adapB_single.akt__AS.252424	0.306883415873678	0.0596867829013481
akt.adapB_single.akt__AZD6244	-0.351325355729452	0.0244060359305631
akt.adapB_single.akt__BEZ235	0.270640081937853	0.156869784884263
akt.adapB_single.akt__BIBW2992	-0.015209761201919	0.945082726405662
akt.adapB_single.akt__Baicalein	-0.183072559626176	0.29946338808378
akt.adapB_single.akt__Bortezomib	-0.0380869003323684	0.829920655194498
akt.adapB_single.akt__CGC.11047	-0.452272499533414	0.00487228670406803
akt.adapB_single.akt__CGC.11144	0.117134906308137	0.539765406936527
akt.adapB_single.akt__CPT.11	0.0016417666022592	0.982716705730138
akt.adapB_single.akt__Carboplatin	-0.170294631728957	0.30497638052907
akt.adapB_single.akt__Cisplatin	-0.314350807335148	0.0454705609340949
akt.adapB_single.akt__Disulfiram	0.0962529367412571	0.586172882630244
akt.adapB_single.akt__Docetaxel	-0.428317351898236	0.023872559160943
akt.adapB_single.akt__Doxorubicin	0.106935389014676	0.522860747822343
akt.adapB_single.akt__ERKi.II..FR180304.	0.158662887776728	0.293840445089748
akt.adapB_single.akt__Epirubicin	0.0526491733912582	0.77980012093141
akt.adapB_single.akt__Erlotinib	-0.23029469226828	0.208099625161126
akt.adapB_single.akt__Etoposide	-0.149359886201991	0.414215048937221
akt.adapB_single.akt__Everolimus	0.512072133118172	0.00136975080903956
akt.adapB_single.akt__FTase.inhibitor.I	0.180632577102334	0.218947178224085
akt.adapB_single.akt__Fascaplysin	0.456789481282877	0.0168155845548092
akt.adapB_single.akt__GSK923295	0.187807818880299	0.226600310573732
akt.adapB_single.akt__GSK1070916	-0.435591561272489	0.0141749655183152
akt.adapB_single.akt__GSK1120212	-0.490833827255268	0.00123247371745361
akt.adapB_single.akt__GSK1059868	0.365719374512486	0.0354420037727978
akt.adapB_single.akt__GSK1838705	-0.0869477201376692	0.604549085765494
akt.adapB_single.akt__GSK461364	-0.255088642367868	0.146704782703917
akt.adapB_single.akt__GSK2119563	0.292959460784867	0.105547057644059
akt.adapB_single.akt__GSK2126458	0.338917855807786	0.0451939382369677
akt.adapB_single.akt__GSK2141795	0.409216716130651	0.0172236099113319
akt.adapB_single.akt__GSK1059615	0.263996069643279	0.161062298352647
akt.adapB_single.akt__GSK650394	-0.100643171486623	0.582084355616513
akt.adapB_single.akt__Lapatinib	0.241472759077811	0.19476184974316
akt.adapB_single.akt__Geldanamycin	-0.235306044239068	0.171760708480818
akt.adapB_single.akt__Gemcitabine	-0.0432213590108327	0.798707144408197
akt.adapB_single.akt__Glycyl.H1152	-0.118090095862255	0.502913868604653
akt.adapB_single.akt__ICRF.193	0.105413336438863	0.579179912268222
akt.adapB_single.akt__IKK.16	-0.154665178388305	0.317599593964458
akt.adapB_single.akt__Ibandronate.sodium.salt	-0.0918244522380952	0.601602601848488
akt.adapB_single.akt__Imatinib	0.17339346442363	0.294428463020431
akt.adapB_single.akt__Gefitinib	0.0406007451246915	0.881278927688151
