"","bad"
"BAD",4.79261168308982
"HSPA6",-4.50903893206619
"INHBA",-4.74024329629931
"CXCL5",-5.15118979157833
"CRYAB",-4.34032476209515
"DNAJA4",-4.07493036741763
"IL8",-4.1997737542411
"ETS1",-4.10093754342326
"DLC1",-3.36304219299169
"FOXQ1",-4.1352736255086
"SAA2",-3.62303131959321
"HSPA1A",-3.03408848377708
"PTGES",3.47840214099249
"DNER",-3.09906975987587
"TNFAIP2",-2.92446211046731
"MYO5C",-3.16282156216401
"MGAT4A",-3.16878433731247
"HSPB8",-3.17323820850072
"CXCL2",-2.68938902694189
"PDZD2",-2.61172117867167
"LDHB",2.50842321668434
"DUSP6",-2.7875115332015
"CCL20",-2.72165005335059
"SFRP1",3.10600477121244
"NFKBIZ",-2.53402537014926
"IL11",-2.66421109123373
"SLC34A2",-3.06268771817193
"NETO2",2.45500737134538
"EGR3",-2.49396260769299
"CFB",-2.36961514619487
"COTL1",2.39829861257678
"HSPA1B",-2.311189564326
"LGALS1",2.23859813992501
"LTF",-2.43658656424918
"ERRFI1",-2.58603269894075
"PEG10",2.21824780231871
"RBM47",-2.59927651907444
"KLF2",2.45728901550597
"ZC3H12A",-2.34279696512294
"RHOB",2.09241356517586
"DAPK1",-2.51592310413135
"MYL9",2.29966404569485
"CLDN4",-2.52058798916071
"HMOX1",-2.29239754470811
"WWC3",-2.37255973764264
"AKAP12",-2.18556920928536
"BIRC3",-2.31411415406185
"HSPA7",-2.12956033912008
"PLEKHG4B",-2.21210804956001
"SATB1",-2.71237445553335
"GCNT2",-2.35764077225293
"PRLR",-2.92559553422831
"FYN",-2.18199708997569
"GAB2",-2.39330259501519
"FOS",-2.72348890418263
"LINC00162",2.16512286011751
"NPM3",1.91907283008542
"GPX1",2.04668761332297
"LIX1L",2.27050207630408
"BOC",-2.211074789631
"DNAJB4",-2.26578381318632
"PLEKHA6",-2.18590414143998
"TLR2",-2.24471433438853
"TGFBR2",2.24310807755686
"COBL",-2.45064256951984
"NME4",1.95988029002439
"SNCG",2.08899017959056
"RBBP8",1.9583426638872
"TUBB6",1.95579403148036
"GSDMB",-2.72347164983598
"PRKCDBP",2.83902513356065
"ARHGAP23",-2.75962838088144
"LIF",-2.36252403838504
"MEST",2.03127805284904
"S100A2",1.55640064004454
"MT1E",2.24026708220365
"LHFP",2.10414092553116
"IL7R",-2.27229453552367
"GFPT2",-2.28023346699055
"GSDMC",-2.29196589590268
"MYO1D",-2.0447179082952
"DFNB31",-2.0429209688373
"NAV2",-1.99285743531054
"ACN9",1.91115693847976
"CXCL3",-2.27648335041425
"MT1G",2.0699112587873
"UNC5A",-2.12929407189185
"CXCL6",-1.97769577889348
"LIMCH1",-1.99960470269074
"C1orf226",-2.14736241238361
"ALDH1A3",-2.32518549018621
"PTPRM",-2.53730724393526
"SLIT2",-2.14574905083062
"FAM214A",-2.45709329204991
"NYNRIN",-2.00578398767783
"CASZ1",-2.23104814880542
"ANKRD33B",-2.00287878363452
"BCORL1",-1.89140960519072
"FOSL1",-2.61736471309837
"ECHDC1",1.82221275019902
"FAM126A",1.78220726461521
"FLNC",-2.41526827707825
"PIK3R3",1.79196547079136
"IL17RB",-2.28927763197766
"RAB11FIP1",-1.88694117744126
"LPAR1",1.79725332494121
"NEO1",-2.06104735132106
"MT1X",1.7868257680034
"CACHD1",-2.03627695417544
"SGK1",-1.98496472722029
"PGM1",1.69258358608157
"GPRC5A",-1.89793563278499
"FBXL20",-2.01610939931041
"ZNF217",-1.80575746557099
"RAB36",1.77650283582496
"NXN",1.80402194208331
"DLEU1",1.76971659569124
"STAMBPL1",1.7312431276996
"PLA2G4C",-2.13318978288534
"SIGMAR1",1.53801534137956
"TCF7L1",-2.04099462208494
"MT1L",2.36745003208944
"KLHL2",-2.06128775342835
"IFRD1",-1.77223593301798
"CBR1",1.63050705103765
"ATHL1",-1.96628720893231
"STAC",1.88819136801856
"NEURL1B",-2.17844696876869
"SGPP2",-2.07417069017042
"ACAT2",1.66370794625819
"IL34",-1.81110187643123
"RFC3",1.64326957800312
"DUSP1",-1.95341099894286
"PRNP",1.45744150446465
"KIAA1467",-2.0186163814329
"OSBPL3",-1.8711023657212
"SPINK6",1.65762091031537
"TP53INP1",-2.20588012957517
"PIM1",-2.30979578418562
"OLFML2A",-1.92434020140411
"PPM1H",-2.06863730659876
"TPD52L1",1.67765238936848
"CAV1",1.60463334818445
"SAMD9",-2.41012868073089
"C6orf141",-2.05296553268847
"NPNT",-2.47910610644206
"ZNF469",-2.02635995422139
"RHPN2",-1.9175190602374
"CCDC117",-1.87301750844075
"HSPH1",-1.70991632475103
"CCDC64",-2.22193590102096
"LOC100499467",1.74443796267029
"MAP7D3",1.70689903839371
"CYFIP2",-2.08611307282853
"KRT80",-1.94883574114739
"CYLD",-1.71881981865892
"GM2A",-1.76637617466148
