"","egfr"
"S100A9",4.0511373738576
"IFI27",4.42318629750273
"MT2A",3.59919154969909
"MT1E",4.13891952659041
"IFI6",3.5692128433128
"BST2",3.60446215255524
"DUSP6",3.3576733017021
"CTGF",3.4262717280701
"IFITM1",3.55226164602052
"ETS1",3.04067854924815
"INHBA",3.09360165491375
"CRYAB",-3.13074141646962
"NT5E",2.93791799764294
"MT1X",2.7907404231036
"SPARC",2.85566892895253
"TNC",2.84325720763663
"PEG10",2.6832138720697
"EGR1",2.64107238883687
"TNFSF10",2.67541867293329
"MT1G",2.99035273841389
"S100A8",2.51309163817231
"SYT12",2.69974335004504
"EPGN",-2.88226595377345
"PLEK2",2.47853362323114
"ID2",-2.5860020018231
