"","erk"
"MAPK3",6.43053918254404
"IL8",-4.03319665741819
"DNAJA4",-3.5952181969309
"CAV1",3.69923241889872
"HSPA6",-3.20422450360446
"CXCL5",-3.74768766763884
"GDF15",-3.37762530831749
"CRYAB",-3.2493483519412
"HS3ST1",-2.98102024981768
"SYT12",3.0619810080704
"MYL9",2.7536788090705
"MGP",3.01652172965187
"CXCL2",-2.70538284856556
"MT1E",3.05900952596856
"LGALS1",2.30218366009179
"TAGLN",2.31101160764647
"LDHB",2.21310994128093
"NNMT",2.49946468573812
"UCP2",3.32498038893047
"ECHDC1",2.42285317485938
"TNFAIP3",-2.578473013187
"C1R",-2.9647209691073
"CXCL3",-2.77031020613706
"PLAU",-2.49103373216358
"DNER",-2.99984239983923
"CAV2",2.32963260664126
"CPT1C",-2.39547547583247
"HSPA1A",-2.24246030237957
"S100A6",1.7593295395763
"CLDN4",-2.99311747346651
"HSPB8",-3.09734859325557
"PTRF",2.34682294040826
"TLR2",-2.34190422171258
"CD274",-2.6168333004455
"MB21D1",-2.65095583999009
"NR4A1",-2.37909001492798
"NME4",2.10449235135222
"TNFRSF14",-2.77993143673244
"CCL20",-2.43643980735764
"COTL1",2.17475488014727
"HSPA7",-2.07377348769133
"ANKRD1",-2.40564188183798
"C6orf141",-2.71845652620546
"INPP5D",-2.30648076419391
"SYTL2",-2.35400504199002
"POPDC3",2.19121999393122
"GGT1",-2.48377168681105
"TBX3",-2.00437473213903
"SLCO3A1",-2.26673774178401
"MT1F",2.54934509594413
"C1S",-3.21876092639029
"DLC1",-2.02179228694561
"GSDMC",-2.28209351651245
"DUSP1",-2.08031427294763
"GSTP1",1.84512655955733
"SP6",-2.17685488182647
"ARHGDIB",2.21252446791808
"GDPD3",-2.62528960588701
"KLK6",1.96531558189174
"RUNX3",-2.43323010775503
"RASD1",-2.61015106424868
"DFNB31",-1.95194094643004
"LOC728643",1.88012548477411
"DUOX1",-2.16211551631355
"ADCY7",-2.21533608257954
"HAS3",-2.08167736402143
"PLXNA2",-2.17559211819597
"TPM2",1.76908274780943
"G0S2",1.78111222178068
"SHROOM2",1.86047386094696
"SHISA2",-2.3206028558372
"MT2A",1.6581134954467
"PRSS8",-2.37674288898467
"PDZD2",-1.99700188769545
"BMP2",-1.92642262881595
"LXN",1.87758941581042
"MYLK",1.9524957302138
"FOXQ1",-2.29924769061837
"TRIM22",-2.06985926272211
"MT1G",2.13098279100196
"ZNF577",-2.06494199588597
"TPD52L1",1.77039820879029
"AUTS2",-1.97228866223378
"DUSP6",-2.09358063197454
"BTG3",-2.1448880828862
"RBBP8",1.70301116580563
"IL20",-2.20346829094549
"GYPC",1.99306937125606
"RAET1L",-1.83755206979537
"LOC440335",1.70955578364803
"C12orf75",1.80564891895678
"ST6GAL1",-2.01978529017485
"MMP28",-1.9710228805044
"ABCG1",-2.14368195449991
"SEMA7A",-2.16151976511817
"DUSP8",-1.96616763688451
"IL6",-1.94046482431242
"FDCSP",-2.28131531332989
"HSPA1B",-1.73645320782989
"PMAIP1",-1.89695218699652
"MXRA7",1.67887480156553
"FHL2",1.59532716601795
"DNAJB4",-1.75505625449213
"GCHFR",1.90501643942122
"GSDMB",-2.44963474082012
"MAN1A1",-1.88133865949951
"IL7R",-2.29977709941569
"ATHL1",-2.13547161991453
"ERRFI1",-2.02339607623242
"MMP9",-1.94146731148686
"MCOLN3",-1.82942919429074
"NYNRIN",-1.77958961253643
"DDX60L",-2.00092518614779
"IGSF9",-2.04868518649209
"GALNT6",-2.2096176871445
"ODF3B",-2.06526955840279
"PAPLN",-1.73860993317272
"ZC3H12A",-1.7607872174169
"MIR100HG",-1.93512929160444
"MT1X",1.81334839636514
"PLAUR",-1.88876434657598
"EPS8L2",-2.04490659021709
"CCDC165",-1.96079499134955
"ZNF862",-1.87468538246417
"ACN9",1.53463745670491
"DSEL",-1.98770495105516
"OXTR",-2.00894794852395
"VANGL2",-2.08375595614768
"EIF4A2",-1.85876991528597
"FAM84B",-1.77957152165542
"TFCP2L1",1.71887086955161
"GGT7",-1.9223369128086
"DGKA",-1.82024363135516
"PROM2",-2.23924598101136
"C19orf66",-1.70592723088543
"FKBP1A",1.42761432323082
"NFKBIZ",-1.64332467591386
"FOXC1",-1.94458484277632
"FCHSD1",-1.89588228837506
"ABTB2",-1.69532191332101
"SPRY4",-1.8233663373789
"ZNF266",-1.91530808339145
"SEL1L3",-1.81146501568178
"FAM131A",-1.95620404429814
"SNORA3",-2.11407620615162
"PCDHGB5",-1.79934697718438
"TNFRSF25",-1.81979671132811
"PPAPDC1A",1.75529187247591
"ST3GAL5",1.56217784590562
"AVPI1",1.4886100916135
"HLA-B",-2.19325521944192
"SAA2",-1.92616755824337
"GDF6",-1.63169650633852
"PRIC285",-1.90304290502759
"CYFIP2",-1.81151428942969
"GAB2",-1.83338923454072
"TRIM3",-2.07870607144751
"FOS",-1.91523021260351
"SNHG5",1.27882506627173
"IFRD1",-1.56239900944826
"PLK3",-1.81301118253604
"FAM101B",1.55384984499267
"DEPTOR",1.54687452523
"C11orf96",-1.87944734994426
"N4BP2L2",-1.71234377587046
"ARRDC3",-1.77520551831106
"UBA7",-2.04330926103278
"SGK1",-1.76215709772346
"GPR172B",-1.58839875628981
"ZNF558",-1.91021528528879
"LOC100507127",1.86405511499816
"FHIT",1.59550587605332
"ZNF606",-1.73603427634019
"VEGFC",-1.8735968180843
"TMEM184A",-1.93220647999961
"TMSB10",1.31687331161208
"TMEM62",-1.80695263155388
"ZNF254",-1.5034743877446
"ANKRD33B",-1.54575463299968
"MANBA",-1.55084217978268
"ZNF404",-1.51363725914332
"GSTM2",-1.60675958630343
"CPE",-1.96674051595071
"TM7SF2",-1.5866136809366
"ZNF211",-1.56271092593024
"RAB11FIP1",-1.62937776636813
"SNORD18C",-1.98041637715156
"FKBP5",1.48570465336195
"LOC100131096",-1.79351255737342
"MRPL47",1.38451086815179
"ST14",-1.98874050163793
"SH3BP5",1.41795418463717
"STXBP2",-1.62316151980669
"SLC12A6",-1.50079789831344
"MOB3B",1.44030347820032
"TNNT1",1.37723230098649
"SH2D2A",-1.6688074594554
"ZNF217",-1.51019056148979
"ARSJ",-1.73441785560327
"HEATR6",-1.68690866136035
"GHDC",-1.77025659734441
"ZFP36L1",-1.47457269641421
"ZDHHC13",-1.5944318190774
"CISD3",1.35590746006228
"TUBB6",1.35330575931985
"RPL19",1.04806132169302
"SMYD3",1.39169122146715
"SERPINE2",1.3616749933573
"ZNF600",-1.53198751909644
"C1orf226",-1.80065239971903
"F11R",-1.81145275358412
"RASSF10",-1.48911830772175
"TRIM45",-1.55408891182345
"NOTCH1",-1.52082534558191
"LOC440434",-1.5965538565311
"LRRC56",-1.52312868990226
"ZNF841",-1.45848664011059
"B3GNT1",-1.45416612254936
"CETN2",1.3798913829428
"KLK9",1.58317833811097
"SFMBT2",-1.4547542002369
"ZNF761",-1.57161587825813
"GOLGA8A",-2.13836403766246
"KLHL3",-1.37534287082457
"ZNF701",-1.45266678352883
"HERC2P3",-1.56030362269191
"ZNF513",-1.48989192976383
"IER3",-1.44023205908871
"HSP90AA1",-1.48020212988364
"PSMB3",1.2301232178948
"LOC401397",1.42394361577688
"KLF8",-1.66254896525
"PLEKHG5",-1.49498140710836
"ABHD15",-1.43704659377737
"ARHGEF4",-1.55739360560088
"PLK2",-1.68215275148541
"WSB1",-1.60102877575856
"GPR37",-1.55363561742409
"HSPH1",-1.40798223469437
"A4GALT",-1.69268458862664
"ABHD3",-1.61397220167035
"GBAS",1.29690162556038
"DAPK1",-1.61280086653945
"CHORDC1",-1.56342845560784
"OSBPL3",-1.52732794863208
"FGF2",-1.58793791683806
"FMNL2",-1.56411840377945
"DMXL1",-1.41249610344736
"GEM",-1.56380368544188
"AHSA2",-1.48756514575989
