"","sigProtein"
"KLK6",4.76841277519813
"TGM2",4.85465516168039
"ANPEP",4.712926255887
"NT5E",4.21303322875148
"S100P",4.36982860626625
"MGP",4.18651894297562
"G0S2",4.18683308039575
"EEF1A2",4.12005458752635
"ANGPTL4",4.21146600229382
"AGR2",4.79141623337268
"ANO1",3.84968375359968
"GJB3",3.89916332845216
"FAM83A",3.85324720050098
"FGFBP1",3.85794154260433
"HSPA6",-4.70767032289392
"KRT19",4.11628956505452
"LY6D",3.71337902410924
"PI3",3.89547637637614
"EMP3",3.77242674668763
"EMP1",3.71353662368995
"DUSP6",3.60667293814757
"CEACAM6",3.81452998674303
"DNAJA4",-3.5862413034928
"SERPINE2",3.5276895000543
"FOSL1",3.5618955225256
"KRT8",3.50350297438681
"CALB2",3.59907901304975
"TMEM45B",3.59416125906567
"ALDH1A3",3.52124671685385
"CXCL1",3.46883949826232
"S100A6",3.17686254512217
"AKAP12",3.41344701768131
"LAMA3",3.32922802605195
"GPR110",3.34299907289294
"AXL",3.42206303354884
"SCGB2A2",4.87790761656525
"MAL",3.28198284014471
"SLC16A3",3.33299076989713
"KRT18",3.22483180069901
"COL6A2",3.69049544465822
"CLDN7",3.40568851059341
"TNS4",3.24447126307697
"TNFAIP2",-3.48256504802215
"TIMP3",3.25923901221879
"C17orf28",3.54998610927594
"PLAU",3.16841817004194
"VIM",3.07525169344689
"PLEK2",3.1006449299669
"TCN1",3.19191476483401
"PRSS22",3.1847752073168
"MT2A",2.81518384674914
"S100A7",3.12008121746978
"AREG",3.16853600058674
"FERMT1",3.09382023891929
"RAC2",3.07594110755932
"HMGA2",3.16673554790703
"LIF",3.11700769931811
"THBS1",3.05846858635749
"TNFRSF10D",3.13190995185614
"CAV1",3.03466318231725
"DUSP4",3.01459431624517
"STC1",3.00250440223849
"S100A1",3.14271406385613
"FST",2.89261705543829
"KCNN4",2.91916828155575
"UCA1",3.21715195793473
"LAMB3",2.83361196352038
"TGFBR2",2.95353045394525
"TSPAN1",2.8827613192506
"SERPINB2",2.90903622556487
"CLMP",2.87371471010946
"GAS6",2.80201755687907
"EREG",2.94331391290458
"SLC34A2",-3.22161547323818
"CYFIP2",-3.09692776512879
"CYB5R2",2.8670793945168
"PDGFB",2.91210295170618
"NPNT",-3.33443189889311
"ZBED2",2.90591595542476
"CCL2",-3.23910277022201
"ITGB4",2.69407061220233
"C2orf54",2.96347633303426
"KRAS",2.80079638764646
"GAL",2.91967974216681
"MLPH",2.91454015763775
"AQP3",2.80545387513926
"S100A16",2.71970053597696
"TM4SF1",2.78390325679463
"ALOX15B",2.94603230321888
"SULT2B1",2.85959147132595
"CD44",2.64406134302303
"HBEGF",2.76250802068873
"KRT7",2.59932187825383
"ATP6V0A4",2.85436182837925
"HSPA1A",-2.96879231143546
"SRMS",2.79282268380181
"LCE3D",2.6805520787556
"F3",2.64236934408313
"SERPINB5",2.60716489975995
"S100A4",2.64808417000815
"PLAUR",2.63718829381412
"SERPINB1",2.63589949028415
"SLC40A1",-3.35852828183402
"CBLC",2.74149578103659
"NTSR1",2.67401442006146
"KRT81",2.46079491523843
"CEACAM1",2.64595997830592
"COL6A1",2.62222978484403
"CXCL3",2.67482342397497
"ACTG2",2.84795463915981
"DOK7",2.66440042555109
"TGFA",2.6236608916678
"GJB5",2.69026610368888
"PROCR",2.59267429278645
"PTHLH",2.6367180551632
"SPRR2D",2.63380477518107
"IL1A",2.55217258432041
"MAPK13",2.73789366548699
"SPRY4",2.62478618347347
"PLAC2",-2.76580012372161
"DCBLD2",2.59061685827635
"ID4",-2.62212292643245
"CDH11",2.58195619988862
"GBP1",-2.73519257944931
"LTBP2",2.57721137622477
"SCNN1G",2.64897505060747
"PRSS3",2.84860716987089
"SEMA7A",2.57877939187101
"AGPAT9",2.54762592532402
"ETV4",2.54262055199413
"DHRS9",2.50761457231321
"ABCC3",2.56300589006947
"PPP1R1B",2.73168448248641
"S100A9",2.14281826502329
"MALL",2.69667848808988
"ADAM19",2.50074528599189
"CXCL17",2.9775356038739
"A4GALT",2.61117567265584
"SERPINB3",2.46106286356098
"TINAGL1",2.42471087310227
"EGR1",2.46735360300818
"CA2",-3.04086689358511
"CAPS",2.71424914651348
"CCNA1",2.5010871130418
"CALB1",2.64219808904858
"LAD1",2.44896917449385
"CDCP1",2.43408838488621
"LGALS1",2.24224354976576
"NRP2",2.47807515768809
"KRT15",2.47369636194558
"OSR1",2.55620321607392
"FBP1",2.8775908476819
"CDA",2.56271176068785
"HSPA1B",-2.50335470390509
"ST6GALNAC4",2.48875462774966
"MIR622",2.42451039911665
"TMPRSS4",2.55363267596521
"NID1",-2.77393164354975
"CDKN2B",-2.64694645366262
"CMTM7",2.52279218709762
"PTK6",2.40784840031564
"SLC9A3R2",2.42881135440515
"KRT86",2.70057443948906
"AKR1B1",-3.0369221404132
"FAM176A",2.37438435780268
"SOCS1",2.48773729979722
"KRT75",2.38189765302347
"SLCO4A1",2.51943287016777
"CACNG4",-3.11979138005909
"MAOA",2.46318580743808
"MDFI",2.3293992695954
"FSCN1",2.88753254444924
"EGR3",2.37150139269459
"FXYD5",2.31876712085581
"IVL",2.52716443985899
"TRIM22",-2.70793784111855
"HAS2",2.38426918664204
"C16orf74",2.34721625823695
"METTL7A",-2.66355299061141
"GRAMD2",-2.5517894896982
"BEX1",-2.69311657528235
"ADORA2B",2.35773120211237
"SERPINA3",2.37869385131091
"LAMP3",-2.50202480565406
"HSPA7",-2.34049364405035
"MST1R",2.28737647300202
"WNT9A",2.29077529003343
"KLK10",2.56591499468517
"CSRP2",-2.51027930028447
"AFAP1L1",2.32583226933004
"SLC5A1",2.31425627844362
"SECTM1",-2.81144492057115
"PMP22",2.33472128249991
"XDH",2.32012546696101
"CHAC1",-2.43753282673394
"EPGN",-3.15611949015057
"FOS",2.28097577256933
"MMP14",2.19808901711395
"C1R",-2.84793709010741
"LIMCH1",-2.52096304934461
"AQP5",2.24886941253883
"MAP7",-2.30008793815787
"TMEM229B",-2.56478472106283
"KIAA0040",2.24770874956068
"SH2D5",2.27086838564515
"FAM129A",-2.69325964762087
"WNT5B",2.28584118340377
"SPRR1A",2.28053013037265
"IGFBP6",2.1177996733853
"LOC100131726",2.23352389591856
"ANXA2P3",2.21287034966231
"OXTR",-2.25001867613665
"DAPK1",-2.42730473543855
"ST3GAL5",2.24132607531465
"SLITRK6",2.22923792260259
"C10orf10",2.34332815942116
"ITGA2",2.31710489351004
"C10orf116",1.94628330663515
"LYPD3",2.2191233235794
"MBP",-2.36016540411746
"SLC16A14",-2.39919123914572
"TTC39A",2.55507548499464
"CTNNAL1",2.24455875266393
"LAMC2",2.07730094924362
"C15orf52",2.15682174292948
"PLAT",2.32893380152343
"ADAM8",2.22213791430934
"L1CAM",2.22475159172905
"IL1R2",2.36075325100141
"TAGLN",2.16650659533155
"TUBB6",2.00896447057223
"PAPL",2.17685238891889
"ESR1",-2.73760264678062
"PCSK9",2.23552751940615
"UPP1",2.15580993272726
"FZD8",2.16279740292221
"GJA5",2.19524512131525
"MTAP",2.11288562469717
"NTN4",-2.5141656508558
"CASP14",-2.7079074887546
"NCCRP1",2.23937344981916
"COL1A1",-2.86795470942025
"KCNK6",2.17421464273761
"MFI2",2.08475700209656
"WNK2",2.19036772428515
"ISG20",2.24870416442453
"LOX",2.31074550255809
"ATF3",-2.50305820465728
"SH3TC1",2.26192837997907
"KCNK5",2.15437049434003
"GPRC5A",2.12639637350584
"ELK3",2.17715706426424
"ST6GAL1",-2.26992252156385
"CSF1",-2.36288953186535
"SMOC1",2.16003954626485
"NRG1",2.16705202170915
"GJA1",-2.94239334906598
"BAIAP2L2",2.11254099578263
"LOC100507127",2.25177446553264
"DNAJB4",-2.18936468867145
"PBX1",-2.39543210337032
"BNC1",2.12966299082839
"GRHL3",-2.43605770971933
"CORO1A",2.14704283224759
"FIBCD1",2.37596401482354
"CPT1C",-2.1979107437574
"ARL4D",-2.24407954794817
"CPA4",1.90457550351999
"CGN",2.13401996924805
"PRODH",2.49034750811286
"MARVELD3",-2.30416126954046
"MME",-2.6607138478996
"CFB",-2.16911335663949
"LOC645638",-2.57523659603361
"KRT6B",2.05583114928048
"RPSAP52",2.08836098487312
"FABP5",-2.31367692097587
"LTBP1",2.08249857765945
"FUT3",2.31719627206505
"SMOX",2.16378831103945
"SPRY2",2.10811221846143
"GLRX",2.1414922067249
"GABRE",-3.05868506507213
"ANXA2P2",2.00416363351062
"SH2D2A",2.15370457588677
"SLC37A2",2.1082772298429
"SFN",1.87680605974862
"NRCAM",2.16189020283527
"B3GNT3",2.09502505362221
"CYP1B1",-2.19487561894354
"BMP7",-2.58736651089716
"ITGA5",1.97663277834694
"INPP5D",-2.21887950550972
"ANXA6",2.09926985967693
"EN1",-2.43491812295521
"APOL6",-2.34776179184285
"TFCP2L1",2.22452508078898
"GLYATL2",-2.36439583264527
"SLC9A2",2.14568009281785
"INPP4B",2.06222617564563
