"","erk"
"X184A1",0.0603196033632379
"X184B5",0.128285264739106
"X21MT1",0.0641000230127386
"X21MT2",0.0435456337725269
"X21NT",0.0680972904200608
"X21PT",0.0572990733942618
"X600MPE",0.721039124537494
"AU565",0.945513863583991
"BT474",0.974872598612078
"BT483",0.933122584350334
"BT549",0.0400343620365669
"CAMA1",0.96328614848267
"EFM192A",0.956562596392006
"EFM192B",0.932814391530095
"EFM192C",0.977434881555522
"HCC1143",0.0743577601229556
"HCC1395",0.188026075434278
"HCC1419",0.969737394657322
"HCC1428",0.881046020957936
"HCC1569",0.295942640363353
"HCC1599",0.720260730716303
"HCC1806",0.10067184662764
"HCC1937",0.079269885157637
"HCC1954",0.250913382463403
"HCC202",0.747436774627137
"HCC2218",0.969239935243205
"HCC3153",0.125478914564204
"HCC38",0.0335291095700675
"HCC70",0.220939624764348
"HS578T",0.0310978558305468
"JIMT1",0.121185527146859
"LY2",0.866938210050773
"MB157",0.0103930658706039
"MCF10A",0.0284020693845798
"MCF10F",0.0093627437135597
"MCF12A",0.0358873605734507
"MCF7",0.958645989665531
"MDAMB134VI",0.960051045327815
"MDAMB175",0.868875476735541
"MDAMB231",0.0531650678894136
"MDAMB361",0.954313091010572
"MX1",0.164484229758233
"SKBR3",0.925170272487926
"SUM1315",0.161194113061831
"SUM149PT",0.0480957415206135
"SUM225CWN",0.687205396391876
"SUM229PE",0.115651049530452
"SUM52PE",0.591513661432962
"T47D",0.957149038559111
"T47D.Kbluc",0.909600755176007
"UACC812",0.957340954446286
"UACC893",0.970897070974799
"ZR751",0.95415902937606
"ZR7530",0.967996090864357
"ZR75B",0.964541903069299
