"","erk"
"GFP.1",-0.00539159123062207
"GFP.2",-0.0112302622600016
"GFP.3",-0.00794462231519328
"GFP.4",-1.83638168445308e-05
"GFP.5",0.0118824903122035
"GFP.6",0.00441377802352993
"GFP.7",-0.0085110751463118
"GFP.8",-0.013012807715078
"GFP.9",-0.0172896791938621
"GFP.10",-0.010246502206498
"GFP.11",0.116718410014788
"GFP.12",0.097333262803398
"ERK.1",0.989443312626067
"ERK.2",0.987221726180091
"ERK.3",0.966715632322177
"ERK.4",0.979313195885127
"ERK.5",0.996121549017542
"ERK.6",0.971711304299236
