"","erk"
"X184A1",0.30065410062513
"X184B5",0.31728426063665
"X21MT1",0.258332807818539
"X21MT2",0.207098694909146
"X21NT",0.277230289483225
"X21PT",0.278144700643826
"X600MPE",0.319562748371447
"AU565",0.410349745429514
"BT474",0.572782509859238
"BT483",0.389169275682642
"BT549",0.390752718135108
"CAMA1",0.561290785627
"EFM192A",0.505352463460752
"EFM192B",0.472767687535014
"EFM192C",0.439133159625561
"HCC1143",0.286198512453313
"HCC1395",0.412344904787409
"HCC1419",0.528000654334229
"HCC1428",0.574573576698951
"HCC1569",0.228850748362912
"HCC1599",0.308121296313541
"HCC1806",0.272570302522777
"HCC1937",0.242194434499122
"HCC1954",0.34573145362605
"HCC202",0.226060530381683
"HCC2218",0.408850623609077
"HCC3153",0.328269636516615
"HCC38",0.349849580756573
"HCC70",0.297133586995186
"HS578T",0.311898869622495
"JIMT1",0.374059592904232
"LY2",0.545386335751884
"MB157",0.080285757794376
"MCF10A",0.326833043880703
"MCF10F",0.0340761708827886
"MCF12A",0.285344501126065
"MCF7",0.566032095751991
"MDAMB134VI",0.382270614177096
"MDAMB175",0.323264900927218
"MDAMB231",0.340654498102155
"MDAMB361",0.468689678409533
"MX1",0.131247227720184
"SKBR3",0.458536808220077
"SUM1315",0.364880338258642
"SUM149PT",0.261774176508492
"SUM225CWN",0.353752561966917
"SUM229PE",0.346544743571117
"SUM52PE",0.511008801162485
"T47D",0.545715113562676
"T47D.Kbluc",0.485848533291733
"UACC812",0.502332115747104
"UACC893",0.457764499318046
"ZR751",0.460358864082558
"ZR7530",0.53145881459262
"ZR75B",0.490462441488915
