"","erk"
"GFP.1",-0.00103037531775199
"GFP.2",-0.0119549811038197
"GFP.3",-0.00125691357435033
"GFP.4",0.00153339575166121
"GFP.5",0.0126189892147827
"GFP.6",0.00934332583875995
"GFP.7",-0.00709981901200307
"GFP.8",-0.00978249701785784
"GFP.9",-0.0149762518303316
"GFP.10",-0.0115906802699154
"GFP.11",0.0567935772363529
"GFP.12",0.0133420655700817
"ERK.1",0.987217262437742
"ERK.2",0.986741538919388
"ERK.3",0.970971880991686
"ERK.4",0.988144981167135
"ERK.5",0.994537610238337
"ERK.6",0.984851889317449
