"","erk"
"X184A1",0.320903791843818
"X184B5",0.269821293178947
"X21MT1",0.145726101816368
"X21MT2",0.0823027958522508
"X21NT",0.169994650808663
"X21PT",0.168080702067553
"X600MPE",0.372748439049528
"AU565",0.499095360944801
"BT474",0.566455738907525
"BT483",0.421725654254108
"BT549",0.324206091706917
"CAMA1",0.53786662452238
"EFM192A",0.561894043594692
"EFM192B",0.526960627365478
"EFM192C",0.52263840289792
"HCC1143",0.189603217903769
"HCC1395",0.40423175570139
"HCC1419",0.502334727965364
"HCC1428",0.576969491566276
"HCC1569",0.165087709293286
"HCC1599",0.321883005614238
"HCC1806",0.203016960162936
"HCC1937",0.2303641006071
"HCC1954",0.274303727751536
"HCC202",0.296689486557205
"HCC2218",0.454686042752779
"HCC3153",0.270278176084089
"HCC38",0.311361229904719
"HCC70",0.279790327180341
"HS578T",0.220007883914724
"JIMT1",0.29111376761995
"LY2",0.602437311942741
"MB157",0.0287791513985228
"MCF10A",0.246130643780537
"MCF10F",0.0194433546695722
"MCF12A",0.200338352629185
"MCF7",0.588432191623885
"MDAMB134VI",0.385387133457677
"MDAMB175",0.26295188135585
"MDAMB231",0.266040575574017
"MDAMB361",0.399008168983286
"MX1",0.0993304827560234
"SKBR3",0.508283197137034
"SUM1315",0.375381900043876
"SUM149PT",0.249924198876434
"SUM225CWN",0.31407164452732
"SUM229PE",0.310806065233438
"SUM52PE",0.491612209282455
"T47D",0.571764200561709
"T47D.Kbluc",0.499999227705552
"UACC812",0.491277864462296
"UACC893",0.53943788467904
"ZR751",0.454444877702287
"ZR7530",0.504129287656091
"ZR75B",0.478685240614411
