"","erk"
"GFP.1",-0.00273625100155187
"GFP.2",-0.0110994317439906
"GFP.3",-0.00408482552432959
"GFP.4",0.000899186501490773
"GFP.5",0.015331393294025
"GFP.6",0.00800268674675424
"GFP.7",-0.00902882677186515
"GFP.8",-0.0125137453595872
"GFP.9",-0.0173605389224008
"GFP.10",-0.0113102639688819
"GFP.11",0.0982175574020136
"GFP.12",0.0354196572148387
"ERK.1",0.987634207774177
"ERK.2",0.984438548480954
"ERK.3",0.966084145064393
"ERK.4",0.987146965070268
"ERK.5",0.994951179677485
"ERK.6",0.982784662994637
