	X17.AAG	X5.FU	X5.FdUR	AG1478	Sigma.AKT1.2.inhibitor	Triciribine	AS.252424	AZD6244	BEZ235	BIBW2992	Baicalein	Bortezomib	CGC.11047	CGC.11144	CPT.11	Carboplatin	Cisplatin	Disulfiram	Docetaxel	Doxorubicin	ERKi.II..FR180304.	Epirubicin	Erlotinib	Etoposide	Everolimus	FTase.inhibitor.I	Fascaplysin	GSK923295	GSK1070916	GSK1120212	GSK1059868	GSK1838705	GSK461364	GSK2119563	GSK2126458	GSK2141795	GSK1059615	GSK650394	Lapatinib	Geldanamycin	Gemcitabine	Glycyl.H1152	ICRF.193	IKK.16	Ibandronate.sodium.salt	Imatinib	Gefitinib	Ixabepilone	LBH589	Lestaurtinib.CEP.701.	MG.132	MLN4924	Mebendazole	Methotrexate	NSC663284	NU6102	Nelfinavir	Nutlin.3a	Olomoucine.II	Oxaliplatin	Oxamflatin	PD98059	PF.2341066	PF.3084014	PF.3814735	PF.4691502	Paclitaxel	Pemetrexed	Purvalanol.A	L.779450	Rapamycin	Vorinostat	SB.3CT	Ispinesib	Bosutinib	Sorafenib	Sunitinib.Malate	TCS.PIM.11	TCS2312.dihydrochloride	Topotecan	Tamoxifen	Temsirolimus	Trichostatin.A	Tykerb.IGF1R..1.1.	VX.680	Valproic.acid	Velcade	Vinorelbine	XRP44X	ZM447439
	HSP90	Pyrimidine analog	DNA	EGFR	AKT	"AKT, ZNF217"	PIK3CG	MEK	PI3K	"ERBB2, EGFR"	CYP2C9	"Proteasome, NFkB"	Polyamine analog	Polyamine analog	Topoisomerase I	DNA cross-linker	DNA cross-linker	Aldehyde dehydrogenase	"TUBB1, BCL2"	Topoisomerase II	ERK1/ERK2	Topoisomerase II	EGFR	Topoisomerase II	mTOR			CENPE	AUR1	MEK	PI3K	IGF1R	PLK1	PIK3CA	PIK3C A/B/D/G	AKT	PI3K	"SGK, glucocorticoid- and serum-regulated kinase"	"ERBB2, EGFR"	HSP90	Pyrimidine animetabolite	Rho kinase	"PLK1, Topoisomerase II"	IkB	FDPS	BCR/ABL fusion	EGFR	Microtubule	HDAC	"FLT-3, TRKA"	Proteasome	NAE	Anthelmintic	DHFR	CDC25	CDK1/CCNB	Proteasome	MDM2	CDC2	DNA cross-linker	HDAC	MEK	Met/ALK	y-secretase	"AURKA, AURKB"	"PI3K, pan / mTOR"	Microtubule	DNA synthesis/ repair	CDK1		mTOR	HDAC	"MMP2, MMP9"	mitotic kinesin KSP (Eg5) inhibitor	SRC	VEGFR	VEGFR	PIM-1 (cell cycle)	CHK1	topoisomerase 	ESR1	mTOR	HDAC	IGFR	Aurora kinase	HDAC	"Proteasome, NFkB"	Microtubule	RAS-NET (ELK3)	AURKA
ERK100/adap_adap_multi/pathway_activity_testset.csv	-0.190909091	-0.545454545	-0.836363636	-0.139572632	0.636363636	-0.141553987	0.824963633	-0.421329358	0.400026426	0.327272727	-0.173121178	0.309795792	0.054545455	0	-0.464693689	-0.3	-0.590909091	-0.241925895	-0.527272727	-0.490909091	0.75799877	-0.463636364	-0.200456101	-0.718181818	0.436363636	-0.422115882	0.554545455	-0.3	-0.487472791	-0.514869798	0.473805329	-0.572727273	-0.327272727	0.163636364	0.336363636	0.67426143	0.2	-0.685896891	0.562542928	-0.5	-0.309090909	-0.357813224	-0.178996959	-0.414579663	0.427272727	0.218181818	-0.072727273	0	0.701596353	0.374433127	-0.701596353	0.38724474	0.072727273	-0.30732259	-0.254545455	-0.54338466	0.068493865	-0.451026227	-0.227791024	-0.333336808	0.492028611	0	-0.57403338	0.589861101	-0.709090909	0.563636364	-0.490909091	0.175291964	-0.390919662	0.127855214	0.618181818	0.842826788	-0.111130168	-0.496584432	0.09567223	-0.372727273	-0.569477559	-0.023896381	0.327272727	-0.618181818	0.244357819	0.363636364	0.490909091	0.009132515	-0.481818182	0.645454545	0.177676999	-0.218181818	-0.123007153	-0.090909091
ERK100/adap_multi/pathway_activity_testset.csv	0.272727273	-0.163636364	-0.518181818	-0.274492842	0.590909091	0.196349079	0.755832602	-0.28253851	0.262086279	0.045454545	0.182232819	0.241458485	0.3	0.290909091	-0.150342076	-0.145454545	-0.509090909	0.037219368	-0.4	-0.154545455	0.643842329	-0.236363636	-0.127562973	-0.454545455	0.372727273	-0.140705294	0.590909091	-0.218181818	-0.346242356	-0.286038777	0.396356381	-0.254545455	-0.236363636	0.127272727	0.1	0.250570126	0.272727273	-0.397621386	0.095346259	-0.1	-0.281818182	-0.412861412	-0.063175397	-0.19590028	0.281818182	0.063636364	-0.181818182	0.127272727	0.633259046	0.383565643	-0.455582048	0.528475175	0.109090909	-0.376718014	0	-0.301373005	0.278541717	-0.29157251	0.031890743	-0.127855214	0.615035764	0.05778856	-0.66970561	0.565077021	-0.572727273	0.254545455	-0.327272727	0.013483997	-0.352781158	0.328770551	0.554545455	0.833715147	0.361173046	-0.405468022	0.118451332	-0.245454545	-0.223235203	0.033454933	0.109090909	-0.209090909	0.402471702	0.4	0.663636364	0.018265031	-0.290909091	0.736363636	0.318907433	-0.145454545	0.145786255	-0.245454545
ERK100/nonadap_multi/pathway_activity_testset.csv	0.272727273	-0.163636364	-0.518181818	-0.274492842	0.590909091	0.196349079	0.755832602	-0.28253851	0.262086279	0.045454545	0.182232819	0.241458485	0.3	0.290909091	-0.150342076	-0.145454545	-0.509090909	0.037219368	-0.4	-0.154545455	0.643842329	-0.236363636	-0.127562973	-0.454545455	0.372727273	-0.140705294	0.590909091	-0.218181818	-0.346242356	-0.286038777	0.396356381	-0.254545455	-0.236363636	0.127272727	0.1	0.250570126	0.272727273	-0.397621386	0.095346259	-0.1	-0.281818182	-0.412861412	-0.063175397	-0.19590028	0.281818182	0.063636364	-0.181818182	0.127272727	0.633259046	0.383565643	-0.455582048	0.528475175	0.109090909	-0.376718014	0	-0.301373005	0.278541717	-0.29157251	0.031890743	-0.127855214	0.615035764	0.05778856	-0.66970561	0.565077021	-0.572727273	0.254545455	-0.327272727	0.013483997	-0.352781158	0.328770551	0.554545455	0.833715147	0.361173046	-0.405468022	0.118451332	-0.245454545	-0.223235203	0.033454933	0.109090909	-0.209090909	0.402471702	0.4	0.663636364	0.018265031	-0.290909091	0.736363636	0.318907433	-0.145454545	0.145786255	-0.245454545
ERK150/adap_adap_multi/pathway_activity_testset.csv	0.145454545	0.527272727	0.845454545	0.148877474	-0.618181818	0.168951533	-0.792702485	0.386631646	-0.427614456	-0.336363636	0.19134446	-0.328019074	-0.081818182	-0.027272727	0.487472791	0.290909091	0.581818182	0.241925895	0.572727273	0.5	-0.767131285	0.436363636	0.18678864	0.745454545	-0.463636364	0.422115882	-0.536363636	0.290909091	0.496584432	0.467196669	-0.428247125	0.554545455	0.318181818	-0.136363636	-0.381818182	-0.683373071	-0.181818182	0.685896891	-0.572077554	0.527272727	0.318181818	0.33028913	0.178996959	0.396356381	-0.490909091	-0.263636364	0.081818182	0.063636364	-0.687928892	-0.301373005	0.687928892	-0.441914586	0	0.252797615	0.209090909	0.575348464	-0.127855214	0.519363534	0.200456101	0.324204293	-0.423691304	0.077051413	0.583145021	-0.545249757	0.718181818	-0.590909091	0.545454545	-0.175291964	0.390919662	-0.127855214	-0.627272727	-0.842826788	0.185216947	0.528475175	-0.168565358	0.390909091	0.5785892	-0.014337828	-0.309090909	0.581818182	-0.172487872	-0.354545455	-0.481818182	-0.009132515	0.490909091	-0.627272727	-0.241458485	0.236363636	0.145786255	0.063636364
ERK150/adap_multi/pathway_activity_testset.csv	0.3	-0.136363636	-0.545454545	-0.241925895	0.554545455	0.210047852	0.751223867	-0.28253851	0.23449825	0.027272727	0.277905049	0.305239972	0.345454545	0.263636364	-0.173121178	-0.118181818	-0.436363636	-0.032566947	-0.345454545	-0.154545455	0.515987114	-0.254545455	-0.082004769	-0.454545455	0.336363636	-0.190957185	0.481818182	-0.245454545	-0.264237588	-0.257434899	0.359909818	-0.254545455	-0.281818182	0.054545455	0.036363636	0.255125947	0.254545455	-0.357859248	0.104880885	-0.045454545	-0.336363636	-0.37616262	-0.105292329	-0.10022805	0.254545455	0.081818182	-0.172727273	0.090909091	0.546698457	0.305939263	-0.423691304	0.423691304	0.081818182	-0.485767965	0.027272727	-0.31050552	0.219180367	-0.305239972	0.09111641	-0.063927607	0.546698457	0.125208546	-0.678817251	0.545249757	-0.545454545	0.163636364	-0.263636364	-0.067419986	-0.305108029	0.347035581	0.554545455	0.806380224	0.41673813	-0.437358766	0.164009537	-0.254545455	-0.19134446	0.081247694	0.054545455	-0.181818182	0.359349734	0.4	0.718181818	-0.009132515	-0.281818182	0.709090909	0.305239972	-0.181818182	0.109339691	-0.245454545
ERK150/nonadap_multi/pathway_activity_testset.csv	0.3	-0.136363636	-0.545454545	-0.241925895	0.554545455	0.210047852	0.751223867	-0.28253851	0.23449825	0.027272727	0.277905049	0.305239972	0.345454545	0.263636364	-0.173121178	-0.118181818	-0.436363636	-0.032566947	-0.345454545	-0.154545455	0.515987114	-0.254545455	-0.082004769	-0.454545455	0.336363636	-0.190957185	0.481818182	-0.245454545	-0.264237588	-0.257434899	0.359909818	-0.254545455	-0.281818182	0.054545455	0.036363636	0.255125947	0.254545455	-0.357859248	0.104880885	-0.045454545	-0.336363636	-0.37616262	-0.105292329	-0.10022805	0.254545455	0.081818182	-0.172727273	0.090909091	0.546698457	0.305939263	-0.423691304	0.423691304	0.081818182	-0.485767965	0.027272727	-0.31050552	0.219180367	-0.305239972	0.09111641	-0.063927607	0.546698457	0.125208546	-0.678817251	0.545249757	-0.545454545	0.163636364	-0.263636364	-0.067419986	-0.305108029	0.347035581	0.554545455	0.806380224	0.41673813	-0.437358766	0.164009537	-0.254545455	-0.19134446	0.081247694	0.054545455	-0.181818182	0.359349734	0.4	0.718181818	-0.009132515	-0.281818182	0.709090909	0.305239972	-0.181818182	0.109339691	-0.245454545
ERK200/adap_adap_multi/pathway_activity_testset.csv	-0.190909091	-0.545454545	-0.836363636	-0.139572632	0.636363636	-0.141553987	0.824963633	-0.421329358	0.400026426	0.327272727	-0.173121178	0.309795792	0.054545455	0	-0.464693689	-0.3	-0.590909091	-0.241925895	-0.527272727	-0.490909091	0.75799877	-0.463636364	-0.200456101	-0.718181818	0.436363636	-0.422115882	0.554545455	-0.3	-0.487472791	-0.514869798	0.473805329	-0.572727273	-0.327272727	0.163636364	0.336363636	0.67426143	0.2	-0.685896891	0.562542928	-0.5	-0.309090909	-0.357813224	-0.178996959	-0.414579663	0.427272727	0.218181818	-0.072727273	0	0.701596353	0.374433127	-0.701596353	0.38724474	0.072727273	-0.30732259	-0.254545455	-0.54338466	0.068493865	-0.451026227	-0.227791024	-0.333336808	0.492028611	0	-0.57403338	0.589861101	-0.709090909	0.563636364	-0.490909091	0.175291964	-0.390919662	0.127855214	0.618181818	0.842826788	-0.111130168	-0.496584432	0.09567223	-0.372727273	-0.569477559	-0.023896381	0.327272727	-0.618181818	0.244357819	0.363636364	0.490909091	0.009132515	-0.481818182	0.645454545	0.177676999	-0.218181818	-0.123007153	-0.090909091
ERK200/adap_multi/pathway_activity_testset.csv	0.272727273	-0.163636364	-0.518181818	-0.274492842	0.590909091	0.196349079	0.755832602	-0.28253851	0.262086279	0.045454545	0.182232819	0.241458485	0.3	0.290909091	-0.150342076	-0.145454545	-0.509090909	0.037219368	-0.4	-0.154545455	0.643842329	-0.236363636	-0.127562973	-0.454545455	0.372727273	-0.140705294	0.590909091	-0.218181818	-0.346242356	-0.286038777	0.396356381	-0.254545455	-0.236363636	0.127272727	0.1	0.250570126	0.272727273	-0.397621386	0.095346259	-0.1	-0.281818182	-0.412861412	-0.063175397	-0.19590028	0.281818182	0.063636364	-0.181818182	0.127272727	0.633259046	0.383565643	-0.455582048	0.528475175	0.109090909	-0.376718014	0	-0.301373005	0.278541717	-0.29157251	0.031890743	-0.127855214	0.615035764	0.05778856	-0.66970561	0.565077021	-0.572727273	0.254545455	-0.327272727	0.013483997	-0.352781158	0.328770551	0.554545455	0.833715147	0.361173046	-0.405468022	0.118451332	-0.245454545	-0.223235203	0.033454933	0.109090909	-0.209090909	0.402471702	0.4	0.663636364	0.018265031	-0.290909091	0.736363636	0.318907433	-0.145454545	0.145786255	-0.245454545
ERK200/nonadap_multi/pathway_activity_testset.csv	0.272727273	-0.163636364	-0.518181818	-0.274492842	0.590909091	0.196349079	0.755832602	-0.28253851	0.262086279	0.045454545	0.182232819	0.241458485	0.3	0.290909091	-0.150342076	-0.145454545	-0.509090909	0.037219368	-0.4	-0.154545455	0.643842329	-0.236363636	-0.127562973	-0.454545455	0.372727273	-0.140705294	0.590909091	-0.218181818	-0.346242356	-0.286038777	0.396356381	-0.254545455	-0.236363636	0.127272727	0.1	0.250570126	0.272727273	-0.397621386	0.095346259	-0.1	-0.281818182	-0.412861412	-0.063175397	-0.19590028	0.281818182	0.063636364	-0.181818182	0.127272727	0.633259046	0.383565643	-0.455582048	0.528475175	0.109090909	-0.376718014	0	-0.301373005	0.278541717	-0.29157251	0.031890743	-0.127855214	0.615035764	0.05778856	-0.66970561	0.565077021	-0.572727273	0.254545455	-0.327272727	0.013483997	-0.352781158	0.328770551	0.554545455	0.833715147	0.361173046	-0.405468022	0.118451332	-0.245454545	-0.223235203	0.033454933	0.109090909	-0.209090909	0.402471702	0.4	0.663636364	0.018265031	-0.290909091	0.736363636	0.318907433	-0.145454545	0.145786255	-0.245454545
ERK25/adap_adap_multi/pathway_activity_testset.csv	-0.172727273	-0.527272727	-0.881818182	-0.083743579	0.6	-0.182650306	0.801919956	-0.431242989	0.44140847	0.390909091	-0.164009537	0.309795792	0.036363636	-0.072727273	-0.537586816	-0.290909091	-0.563636364	-0.283797684	-0.590909091	-0.545454545	0.666673617	-0.481818182	-0.200456101	-0.772727273	0.436363636	-0.552770798	0.436363636	-0.327272727	-0.487472791	-0.476731295	0.47836115	-0.618181818	-0.354545455	0.054545455	0.345454545	0.706152174	0.081818182	-0.685896891	0.629285309	-0.5	-0.363636364	-0.33028913	-0.231643123	-0.38268892	0.481818182	0.272727273	-0.081818182	-0.118181818	0.660593969	0.187216564	-0.719819635	0.391800561	-0.054545455	-0.327149854	-0.227272727	-0.657541102	0.105023926	-0.592256662	-0.168565358	-0.260276686	0.346242356	-0.05778856	-0.651482328	0.505595229	-0.763636364	0.509090909	-0.545454545	0.175291964	-0.409988913	0.082192638	0.563636364	0.779045301	-0.194477794	-0.5785892	0.236902665	-0.463636364	-0.619591585	-0.014337828	0.263636364	-0.627272727	0.086243936	0.318181818	0.518181818	-0.059361349	-0.536363636	0.590909091	0.200456101	-0.245454545	-0.19134446	-0.072727273
