	ERK100/adap_adap_multi/output.rda
MAPK3	4.94390744098229
DNAJA4	-4.29095830577514
IL8	-4.38077549192746
GDF15	-4.70228505105132
CRYAB	-4.76836123259071
CXCL5	-4.61608853519721
CAV1	3.58875137641149
CXCL2	-3.30183032143051
KLK6	3.37292982299173
MYL9	3.46103254695825
HSPA6	-2.85916618365436
PLAU	-3.75152556515708
CXCL3	-3.35762992649883
HSPB8	-4.13169423661483
CCL20	-3.57170159045364
HSPA1A	-2.65244586715834
GABRE	-3.64578294296194
NME4	2.4595456901737
DNER	-3.22508318149125
MGP	3.50581956450447
HS3ST1	-2.76483455112568
COTL1	2.61747375642875
C1R	-3.08059019871321
BMP2	-2.65512905131139
TAGLN	2.82210042170371
SYT12	2.87975758407791
S100A2	2.46219519767017
UCP2	3.33830365906169
MT1E	2.88926970755562
PLAUR	-2.99231946407835
LXN	2.61215786026536
MT2A	2.11792470149667
HAS3	-2.66014332698527
LGALS1	2.24507664438292
TRIM22	-2.57612357840139
NNMT	2.58728861579731
ATF3	-2.63565186294462
PMAIP1	-2.56330460273749
S100A6	2.02762309492792
TNFAIP3	-2.75217326682428
TLR2	-2.73549238483579
CPT1C	-2.48184309120275
DLC1	-2.52577775389317
IL6	-2.5409616489647
SYTL2	-2.6068738518371
ECHDC1	2.38486563137162
TBX3	-2.46619759683746
MIR622	2.13247040367731
C1S	-3.03721835512598
DUSP1	-2.37540593235782
CAV2	2.30806778539518
MB21D1	-2.5897869880601
ANKRD1	-2.67988032146672
NR4A1	-2.54979655262889
DNAJB4	-2.31109669236535
LDHB	2.01120310686786
S100A14	2.19375678592911
PLA2G16	2.87267459328298
PAPL	-2.28924803787986
LIF	-3.27380680033987
DAPK1	-2.57216840564638
MYLK	2.33222982216366
GSDMC	-2.72240874693702
OXTR	-2.60337700888282
ADM2	-2.47478532596034
GPRC5A	-2.38413694349001
C6orf141	-2.5029257706323
GYPC	2.39263707937538
PTRF	2.0586223797829
RAET1L	-2.18751282822943
PDZD2	-2.24630573046379
POPDC3	2.38402890430323
TNFRSF14	-2.48663316084504
CD274	-2.40433679334714
GGT1	-2.68924284164986
ARHGEF4	-2.17678155417116
FAM101B	2.29293329315881
RASD1	-3.31515528089871
TNFRSF11B	-2.1618402078685
PTPRM	-2.58789377939043
ERRFI1	-2.41864043452043
MT1F	2.53886124268674
PLEKHA6	-2.12884866115922
DFNB31	-2.07536807194818
RUNX3	-2.7299938932498
HSPA1B	-1.97977137477596
GALNT6	-2.56145275139747
SHROOM2	1.92267056095245
IL7R	-2.50127540346127
BTG3	-2.30034345902353
TNFAIP2	-3.20596613538536
G0S2	2.57639457932124
NFKBIZ	-2.01787697451981
FOXQ1	-2.83885300018656
INPP4B	1.89020043805196
SPRY4	-2.72172555506846
IRAK2	-2.44491705137238
MXRA8	-2.36559079599116
SFN	1.48042914324105
MT1X	1.99395712639133
	ERK100/adap_multi/output.rda
MAPK3	4.94390744098229
DNAJA4	-4.29095830577514
IL8	-4.38077549192746
GDF15	-4.70228505105132
CRYAB	-4.76836123259071
CXCL5	-4.61608853519721
CAV1	3.58875137641149
CXCL2	-3.30183032143051
KLK6	3.37292982299173
MYL9	3.46103254695825
HSPA6	-2.85916618365436
PLAU	-3.75152556515708
CXCL3	-3.35762992649883
HSPB8	-4.13169423661483
CCL20	-3.57170159045364
HSPA1A	-2.65244586715834
GABRE	-3.64578294296194
NME4	2.4595456901737
DNER	-3.22508318149125
MGP	3.50581956450447
HS3ST1	-2.76483455112568
COTL1	2.61747375642875
C1R	-3.08059019871321
BMP2	-2.65512905131139
TAGLN	2.82210042170371
SYT12	2.87975758407791
S100A2	2.46219519767017
UCP2	3.33830365906169
MT1E	2.88926970755562
PLAUR	-2.99231946407835
LXN	2.61215786026536
MT2A	2.11792470149667
HAS3	-2.66014332698527
LGALS1	2.24507664438292
TRIM22	-2.57612357840139
NNMT	2.58728861579731
ATF3	-2.63565186294462
PMAIP1	-2.56330460273749
S100A6	2.02762309492792
TNFAIP3	-2.75217326682428
TLR2	-2.73549238483579
CPT1C	-2.48184309120275
DLC1	-2.52577775389317
IL6	-2.5409616489647
SYTL2	-2.6068738518371
ECHDC1	2.38486563137162
TBX3	-2.46619759683746
MIR622	2.13247040367731
C1S	-3.03721835512598
DUSP1	-2.37540593235782
CAV2	2.30806778539518
MB21D1	-2.5897869880601
ANKRD1	-2.67988032146672
NR4A1	-2.54979655262889
DNAJB4	-2.31109669236535
LDHB	2.01120310686786
S100A14	2.19375678592911
PLA2G16	2.87267459328298
PAPL	-2.28924803787986
LIF	-3.27380680033987
DAPK1	-2.57216840564638
MYLK	2.33222982216366
GSDMC	-2.72240874693702
OXTR	-2.60337700888282
ADM2	-2.47478532596034
GPRC5A	-2.38413694349001
C6orf141	-2.5029257706323
GYPC	2.39263707937538
PTRF	2.0586223797829
RAET1L	-2.18751282822943
PDZD2	-2.24630573046379
POPDC3	2.38402890430323
TNFRSF14	-2.48663316084504
CD274	-2.40433679334714
GGT1	-2.68924284164986
ARHGEF4	-2.17678155417116
FAM101B	2.29293329315881
RASD1	-3.31515528089871
TNFRSF11B	-2.1618402078685
PTPRM	-2.58789377939043
ERRFI1	-2.41864043452043
MT1F	2.53886124268674
PLEKHA6	-2.12884866115922
DFNB31	-2.07536807194818
RUNX3	-2.7299938932498
HSPA1B	-1.97977137477596
GALNT6	-2.56145275139747
SHROOM2	1.92267056095245
IL7R	-2.50127540346127
BTG3	-2.30034345902353
TNFAIP2	-3.20596613538536
G0S2	2.57639457932124
NFKBIZ	-2.01787697451981
FOXQ1	-2.83885300018656
INPP4B	1.89020043805196
SPRY4	-2.72172555506846
IRAK2	-2.44491705137238
MXRA8	-2.36559079599116
SFN	1.48042914324105
MT1X	1.99395712639133
	ERK100/nonadap_multi/output.rda
MAPK3	4.94390744098229
DNAJA4	-4.29095830577514
IL8	-4.38077549192746
GDF15	-4.70228505105132
CRYAB	-4.76836123259071
CXCL5	-4.61608853519721
CAV1	3.58875137641149
CXCL2	-3.30183032143051
KLK6	3.37292982299173
MYL9	3.46103254695825
HSPA6	-2.85916618365436
PLAU	-3.75152556515708
CXCL3	-3.35762992649883
HSPB8	-4.13169423661483
