	A_no_bat_NonAdap	A_no_bat_Adap	A_combat_cov_NonAdap	A_combat_cov_adap	A_combat_wo_cov_NonAdap	A_combat_wo_cov_adap	A_combat_wo_cov_NonAdap_nofilter	A_combat_wo_cov_adap_no_filter	B_dwd_bild_f	B_dwd_bild	B_combat_wo_cov_f	B_combat_cov_f	A_dwd_bild_NonAdaptive_f	A_dwd_bild_Adaptive_f
TCGA-A1-A0SB-01A-11R-A144-07	0.716518828	0.70287393	0.044255693	0.50028304	0.344016891	0.339779485	0.336617102	0.359156281	0.2355043	0.23505	0.38257	0.266555	0.13330075	0.575435161
TCGA-A1-A0SD-01A-11R-A115-07	0.502070476	0.390772276	0.080419131	0.469316446	0.413939492	0.402149719	0.371738008	0.397438722	0.2123845	0.2122916	0.5781254	0.1654989	0.0523904	0.401475354
TCGA-A1-A0SE-01A-11R-A084-07	0.603489446	0.478517441	0.075887081	0.43987563	0.324443561	0.304246736	0.326370983	0.345561876	0.1079593	0.108293	0.3977529	0.134532	0.081413325	0.471487472
TCGA-A1-A0SF-01A-11R-A144-07	0.612678259	0.51698551	0.093886982	0.489047989	0.346638142	0.313218984	0.344853894	0.36400599	0.2497194	0.2492686	0.5300041	0.209367	0.111756068	0.512876032
TCGA-A1-A0SG-01A-11R-A144-07	0.522161687	0.451935832	0.145080354	0.483822865	0.361917176	0.344607162	0.372093673	0.392754862	0.2479867	0.2452678	0.6451402	0.1830163	0.116445773	0.517722931
TCGA-A1-A0SH-01A-11R-A084-07	0.770937274	0.692980275	0.122354144	0.487836179	0.411998415	0.412368729	0.402227648	0.428124176	0.4082902	0.40543	0.712137	0.4843445	0.210381613	0.619811955
TCGA-A1-A0SI-01A-11R-A144-07	0.482413462	0.469443277	0.116055702	0.478846257	0.304893891	0.306928426	0.249212111	0.259374035	0.05036	0.0495635	0.4854346	0.1018499	0.052586261	0.362743369
TCGA-A1-A0SJ-01A-11R-A084-07	0.693078289	0.596003943	0.16292168	0.540240774	0.415139322	0.395523048	0.427238564	0.446165908	0.3382282	0.337276	0.6598486	0.2344731	0.141041956	0.625772428
TCGA-A1-A0SK-01A-12R-A084-07	0.439198112	0.349651533	0.023831464	0.197621501	0.163131456	0.169900773	0.230458703	0.199528344	0.1039059	0.1026136	0.7197105	0.0412619	0.02860312	0.192438877
TCGA-A1-A0SM-01A-11R-A084-07	0.780956916	0.819626452	0.166905561	0.545847921	0.542947024	0.495948868	0.500193185	0.529352923	0.7442203	0.7438481	0.8097899	0.7346473	0.196920744	0.652397939
TCGA-A1-A0SN-01A-11R-A144-07	0.767403759	0.708235957	0.177636301	0.530653313	0.353323459	0.34692182	0.334618659	0.341721491	0.6524529	0.6508772	0.7419947	0.7056869	0.145912734	0.564014914
TCGA-A1-A0SO-01A-22R-A084-07	0.785477576	0.680604045	0.076040459	0.419572298	0.154509625	0.163032989	0.200910893	0.168321025	0.2640002	0.2613609	0.4250528	0.2187796	0.249003232	0.674223374
TCGA-A1-A0SP-01A-11R-A084-07	0.43011054	0.438972028	0.041216077	0.421712601	0.26598755	0.260174051	0.28453069	0.278834668	0.0478391	0.0470566	0.606724	0.0910895	0.033033619	0.312594375
TCGA-A1-A0SQ-01A-21R-A144-07	0.733477057	0.56624221	0.114690015	0.438030091	0.360064838	0.331240321	0.376053532	0.372351368	0.3782787	0.3763254	0.7948867	0.1662812	0.150954637	0.543028973
TCGA-A2-A04N-01A-11R-A115-07	0.439258218	0.339222523	0.131969837	0.461376274	0.341480103	0.32757464	0.333365077	0.360295823	0.1048085	0.1031709	0.6120188	0.0907444	0.064318655	0.399652535
TCGA-A2-A04P-01A-31R-A034-07	0.217088123	0.218336529	0.09416304	0.470804457	0.322303114	0.296646134	0.25543228	0.299873086	0.1338201	0.1342651	0.6679089	0.1482371	0.049247516	0.341728091
TCGA-A2-A04Q-01A-21R-A034-07	0.24580482	0.198749929	0.093517777	0.451759399	0.179718318	0.192002461	0.155718795	0.154952512	0.0866322	0.0871331	0.2502651	0.0684485	0.030890331	0.206783447
TCGA-A2-A04R-01A-41R-A109-07	0.67748815	0.514736632	0.154816627	0.494422896	0.325264297	0.307125442	0.315775938	0.344082857	0.1757562	0.1732619	0.6086244	0.1465627	0.168424241	0.624885445
