	Lapatinib	Sigma.akt.1.2.inhibitor
AKT_BAD/adap_multi//akt	0.384615311	0.685178791
AKT_BAD/adap_multi//bad	-0.219156602	-0.411976004
AKT_BAD/nonadap_multi//akt	0.36889463	0.699449858
AKT_BAD/nonadap_multi//bad	-0.181411001	-0.362577423
AKT_BAD_HER2/adap_multi//akt	0.393920142	0.631193813
AKT_BAD_HER2/adap_multi//bad	-0.232693089	-0.287631048
AKT_BAD_HER2/adap_multi//her2	0.06524447	-0.263555768
AKT_BAD_HER2/nonadap_multi//akt	0.375044203	0.641643081
AKT_BAD_HER2/nonadap_multi//bad	-0.188405019	-0.260435167
AKT_BAD_HER2/nonadap_multi//her2	-0.015865558	-0.37267575
AKT_BAD_IGF1R/adap_multi//akt	0.351763452	0.637622871
AKT_BAD_IGF1R/adap_multi//bad	-0.31021443	-0.504198537
AKT_BAD_IGF1R/adap_multi//igf1r	0.451656883	0.635338903
AKT_BAD_IGF1R/nonadap_multi//akt	0.317828629	0.622799236
AKT_BAD_IGF1R/nonadap_multi//bad	-0.277370276	-0.46470459
AKT_BAD_IGF1R/nonadap_multi//igf1r	0.458188377	0.65550696
AKT_IGF1R/adap_multi//akt	0.314596599	0.571373642
AKT_IGF1R/adap_multi//igf1r	0.412782966	0.574608783
AKT_IGF1R/nonadap_multi//akt	0.305903532	0.557773709
AKT_IGF1R/nonadap_multi//igf1r	0.413138355	0.58696565
BAD_IGF1R/adap_multi//bad	-0.254970076	-0.263488431
BAD_IGF1R/adap_multi//igf1r	0.420599245	0.593815
BAD_IGF1R/nonadap_multi//bad	-0.25231524	-0.265396106
BAD_IGF1R/nonadap_multi//igf1r	0.417374014	0.594988923
Her2_AKT/adap_multi//akt	0.361823491	0.624558877
Her2_AKT/adap_multi//her2	-0.292627495	-0.571441711
Her2_AKT/nonadap_multi//akt	0.361977685	0.62821239
Her2_AKT/nonadap_multi//her2	-0.306538312	-0.592942754
Her2_BAD/adap_multi//bad	-0.341204071	-0.370612207
Her2_BAD/adap_multi//her2	0.482578279	0.596162021
Her2_BAD/nonadap_multi//bad	-0.307938584	-0.306286631
Her2_BAD/nonadap_multi//her2	0.500591679	0.610816079
Her2_IGF1R/adap_multi//igf1r	0.325745063	0.54544139
Her2_IGF1R/adap_multi//her2	0.561683712	0.485253652
Her2_IGF1R/nonadap_multi//igf1r	0.314498614	0.536002148
Her2_IGF1R/nonadap_multi//her2	0.619393206	0.43241463
IGF1R_BAD_HER2/adap_multi//igf1r	0.410126437	0.627956462
IGF1R_BAD_HER2/adap_multi//bad	-0.272656147	-0.292521245
IGF1R_BAD_HER2/adap_multi//her2	0.177600124	0.031253458
IGF1R_BAD_HER2/nonadap_multi//igf1r	0.407489042	0.627221269
IGF1R_BAD_HER2/nonadap_multi//bad	-0.248582363	-0.27143575
IGF1R_BAD_HER2/nonadap_multi//her2	0.151343676	-0.026811813
all_4/adap_multi//akt	0.33873931	0.560262698
all_4/adap_multi//bad	-0.314607813	-0.407104958
all_4/adap_multi//her2	0.074747146	-0.202625374
all_4/adap_multi//igf1r	0.450536203	0.616746377
all_4/nonadap_multi//akt	0.305128781	0.550412427
all_4/nonadap_multi//bad	-0.271547364	-0.359737331
all_4/nonadap_multi//her2	-0.024663235	-0.346076476
all_4/nonadap_multi//igf1r	0.456820206	0.629582278
akt_s_a	0.345251718	0.683635647
bad_s_a	0.034840702	0.18949605
her2_s_a	0.447712294	0.294197718
igf1r_s_a	0.27504825	0.269037676
