	Lapatinib	Sigma.akt.1.2.inhibitor	Temsirolimus	Everolimus
AKT_BAD/adap_multi//akt	0.384615311463997	0.685178790758732	0.366294985014509	0.553278420409712
AKT_BAD/adap_multi//bad	-0.219156602432053	-0.411976004103215	-0.20642835638731	-0.310306603070373
AKT_BAD/nonadap_multi//akt	0.368894630233794	0.699449857867586	0.366820178914412	0.580145904491384
AKT_BAD/nonadap_multi//bad	-0.181411000646287	-0.362577422847249	-0.18558116057068	-0.278446816844148
AKT_BAD_HER2/adap_multi//akt	0.39392014205933	0.631193813295725	0.346483084187537	0.502025151526174
AKT_BAD_HER2/adap_multi//bad	-0.232693088988779	-0.287631047948329	-0.169901030255227	-0.200728870711628
AKT_BAD_HER2/adap_multi//her2	0.0652444701328286	-0.26355576833502	-0.0623582773025454	-0.264253544658013
AKT_BAD_HER2/nonadap_multi//akt	0.375044202625086	0.641643080943182	0.344293542522325	0.532469272387764
AKT_BAD_HER2/nonadap_multi//bad	-0.188405019445746	-0.260435166543743	-0.150407152124069	-0.203113981033508
AKT_BAD_HER2/nonadap_multi//her2	-0.0158655584484456	-0.372675749674276	-0.121601118371993	-0.324868078720723
AKT_BAD_IGF1R/adap_multi//akt	0.351763451926038	0.637622870845256	0.373770495297244	0.521697640292683
AKT_BAD_IGF1R/adap_multi//bad	-0.310214429844131	-0.504198536649051	-0.221923680667604	-0.379722513314897
AKT_BAD_IGF1R/adap_multi//igf1r	0.451656882816806	0.635338902550514	0.180388024298889	0.447159288668789
AKT_BAD_IGF1R/nonadap_multi//akt	0.317828628723601	0.622799236036979	0.356526543928837	0.528229870637222
AKT_BAD_IGF1R/nonadap_multi//bad	-0.277370276145221	-0.464704590400158	-0.187680961579444	-0.349428210610097
AKT_BAD_IGF1R/nonadap_multi//igf1r	0.458188376732098	0.655506959771188	0.175701787696108	0.445411495856074
AKT_IGF1R/adap_multi//akt	0.314596598763223	0.571373642190759	0.35997968120194	0.483668686332929
AKT_IGF1R/adap_multi//igf1r	0.412782965810982	0.574608783466543	0.104818857252168	0.37719920895981
AKT_IGF1R/nonadap_multi//akt	0.305903531533278	0.557773709455119	0.346979136184668	0.474468174247454
AKT_IGF1R/nonadap_multi//igf1r	0.413138354690571	0.58696564998266	0.0888003600113779	0.369649966903872
BAD_IGF1R/adap_multi//bad	-0.254970076014032	-0.263488430631234	-0.0480367138063542	-0.169345052906508
BAD_IGF1R/adap_multi//igf1r	0.420599245456594	0.593815000450943	0.112192378348631	0.39522069028988
BAD_IGF1R/nonadap_multi//bad	-0.25231523996278	-0.265396106214459	-0.0466924150512159	-0.16975748186995
BAD_IGF1R/nonadap_multi//igf1r	0.417374013778713	0.59498892319316	0.0965672896359481	0.383818078954414
Her2_AKT/adap_multi//akt	0.361823490901838	0.624558876967137	0.323074187738824	0.506707634155183
Her2_AKT/adap_multi//her2	-0.292627494532433	-0.571441711454987	-0.380933255157136	-0.512478506169069
Her2_AKT/nonadap_multi//akt	0.361977685226131	0.628212389531383	0.32463654076561	0.51275007955118
