	bad
CXCL5	-4.99566081336008
DNAJA4	-4.35325553059164
CRYAB	-5.12049595266149
IL8	-4.39451891287184
INHBA	-4.39620015477585
BAD	3.66923196729623
HSPA6	-3.58994388110504
TNFAIP2	-4.09320188805719
AKAP12	-3.68302362488355
ETS1	-3.84121301001391
SAA2	-3.72688859948686
PTGES	3.49921156279983
CCL20	-3.77328120390037
CXCL2	-3.29455898189859
DNER	-3.38371786731634
SLC34A2	-3.63782000820162
HSPA1A	-2.81617411966533
FOXQ1	-3.44073712737461
DLC1	-2.80567608488373
IGFBP5	3.00607221617624
MYO5C	-3.01917758189832
COTL1	2.75714059885517
LIMCH1	-2.8245440505166
PLEKHA6	-2.79259635015037
DAPK1	-3.18132605691068
BIRC3	-2.67570724567367
ATF3	-2.70874941076541
NME4	2.32649285171413
LIF	-3.46805775766554
EGR3	-2.69157471427168
HMOX1	-2.5766653831929
TLR2	-2.64852959583062
CFB	-2.59260918527546
GPRC5A	-2.63330066609903
HSPB8	-4.17277181583998
LGALS1	2.19781899879143
PDZD2	-2.48925917874495
LTF	-2.54133601863695
COBL	-2.73556247437259
ABCG1	-3.26333948501503
KLF2	2.56048634729567
ERRFI1	-2.59827438168659
MGAT4A	-2.63641582167362
DNAJB4	-2.39213871392656
IL11	-2.46783535898759
PRLR	-2.63456881983847
GABRE	-3.66999182963443
PEG10	2.36329968482249
PRSS22	-3.44485267731897
DUSP6	-3.72023858731074
NAV2	-2.37780920558336
PLEKHG4B	-2.22829199079919
IL7R	-2.60909839085142
HSPA1B	-2.12373397639691
DDIT4	2.08184895531322
NFKBIZ	-2.20921372548387
RHOB	2.09013890599572
PIK3R3	2.10924093503242
BOC	-2.28517336134464
SFRP1	2.70623001223889
GSDMC	-2.6782888185697
CYFIP2	-2.36892187318817
FOS	-2.40880042200629
GCNT2	-2.32314852456811
GSDMB	-2.92783246296668
RBM47	-2.49642254104615
SLC6A14	-2.41843642101932
FOSL1	-3.34694242904545
TGFBR2	2.35623390166498
MEST	2.22519861965919
MAFF	-2.23963600587482
ACN9	2.22377435624197
CXCL6	-2.20976937685758
MT1X	2.00968505815508
MYO1D	-2.17694402091577
TNFRSF11B	-2.16436827237892
ADRB2	-2.52012333790628
KRT23	-4.60867404506199
PAPL	-2.28266853956328
FGF2	-2.48551825083089
SYNM	-2.31668171112683
SATB1	-2.36466729967507
KRT80	-2.43341911963639
NETO2	2.25446394628394
FAM198B	2.14197503996382
CAV1	1.70778713631022
GAB2	-2.25288820189477
ACSS1	-2.693306136552
GFPT2	-3.02484003122518
FYN	-2.17944084054013
C1orf226	-2.1980494558371
CBR1	2.03256855259043
SPINK6	2.14985617801128
NPM3	1.96816637719409
UNC5A	-2.22526638040031
DNAJC6	-2.02023815023483
DUSP1	-2.34072749428358
MT1E	2.17303144786458
SOD2	-2.2723095126754
MT1G	2.53618552233844
ABCA1	-2.17709454917914
COL1A1	-2.93256143652766
BMP2	-2.22102006347652
DFNB31	-2.08938340545181
ZC3H12A	-2.11349086146152
LIX1L	2.20010456734791
IL17RB	-2.35155404207435
RAB11FIP1	-2.05256174779576
SNCG	2.07279963087375
IER3	-2.00481510827984
DOCK4	-1.9425663915311
PRKCDBP	2.81734014824426
TTC9	-2.49401104942221
MYH14	-3.25865994948941
RRAD	-2.18645515161309
ADM2	-2.29297969195858
LIPH	-2.49545867368883
ANKRD1	-2.36351985378789
LPL	-2.13967974312367
LINC00162	2.06948179977479
HSP90AA1	-1.96981371334816
ZNF217	-1.94884780909752
DAB2	-2.12778487213185
NEURL1B	-2.08742526149422
C10orf10	-2.27226791080179
SLIT2	-2.25486020884281
CYP27A1	-1.97669203969415
CALB2	2.2481175050257
ECHDC1	1.88918973636921
IFRD1	-1.87096153545048
DOCK8	-1.96827168965371
ANKRD33B	-2.02944149689622
BMP4	-2.24295242655225
PPM1H	-2.20812242464169
GSTM2	-1.8647002485346
NPY1R	-2.42300878774021
PRNP	1.66604417030363
RUNX3	-2.39710087290764
HSPH1	-1.87016214921948
GLYATL2	-2.37131828523526
GM2A	-2.06707873488582
LOC100499467	1.95779219655752
BMF	-2.18037861877434
CAV2	1.82117759524533
DDIT3	-1.8945736426883
SLC16A9	1.91036170240564
ARHGAP23	-2.39792369719996
SOCS3	-2.16262314928211
DCTD	1.77119397172549
RB1CC1	-1.92237348213727
