	akt
IGFBP5	6.44122616283908
EPGN	4.49899583490671
CA9	4.17859964626628
AKAP12	-3.90844306089986
TNFAIP2	-4.10231445793752
CXCL5	-4.40746887382567
BEX1	3.39270239973063
C10orf10	-3.27634182939775
DDIT4	2.99130581466582
LIF	-3.73221483688341
ABCG1	-3.51101363773448
ALDOC	2.89556976724834
IGFBP2	3.10460398428051
ESR1	2.9488487027054
LBH	-3.12286142524798
PPP1R3C	2.9771189848032
GJA1	3.19165919947363
KRT14	2.87024417480226
PSAT1	2.87823432496937
INHBA	-3.3510928901615
TUBA4A	2.83975332872748
PTGES	3.26529077140323
CRYAB	3.16548412945023
HAS3	2.72525887344902
AKT3	-2.81469107992321
TLR2	-2.88281243185614
KRT16	3.88168076411364
ADAM19	-3.01439892878009
NEDD9	-2.97217937792218
ADM	2.79857968994031
KRT5	3.0064726559336
SOCS1	2.88827526867641
GPC4	-3.37180575320046
CXCL2	-3.13105086091963
SPRR2A	3.09606486140702
SECTM1	3.07211765015308
IFITM10	2.69585584271071
MT1X	2.42181945472012
SERPINB7	2.81940761691438
GLUL	-2.86405734648881
MAMLD1	-2.58029691598876
GALNT6	2.67189742754567
CA2	3.08842686168411
PGF	2.51841566069527
ICAM1	-3.68213142344196
LPAR3	2.60430867117225
SLC6A11	2.63975359976983
KRT17	2.39771783604851
EGR3	-2.54682202264864
PLA2G4A	2.54936551458572
F2R	-2.69915789984957
SNAI2	-2.89062764041809
LOC100499467	2.58720263972737
AFAP1L2	-2.4850243806126
PAK6	2.51363493554527
COBL	2.30982362227434
ETV4	-2.60597964312807
CASP14	2.99900530168841
TGFB1I1	-2.8444697135174
ITGB3	-2.39872805703741
SLC1A6	2.52892763865777
PRSS22	-3.42583599095263
SFN	2.29721877634911
CXCL12	2.72297043832229
RCAN1	2.3578649870667
IGFBP3	3.91002862178925
TMEM139	-2.66197006079586
CXCL14	2.6653322508361
CXCL3	-3.25199406958279
MYADM	-2.53071863371779
SPOCD1	-2.42708931240575
NPNT	3.28941210963276
IGF2BP2	-2.27436277660887
KHDRBS3	-2.46018021664728
WNT5B	-2.9993428964873
CKB	2.37579064320304
CDK14	-2.42934632334118
MAP1B	-3.01250088446992
WISP2	2.43665717791554
FAM83A	2.63423940371436
PLAT	-3.13916554036561
SIPA1L2	2.23222244594123
BGN	2.80445134376149
TGFB3	2.81992702251106
HSD17B11	-2.57477997597472
KRT6B	2.59374352123577
RHOB	2.21425475831734
LOX	2.63991339415858
SPRY2	-2.5942675446003
MAFF	-2.32489701566306
CCL2	-3.08980780988263
AKT1	2.11669007667768
IL11	-2.23257017169013
RAI14	-2.27515568762679
SEC14L2	-2.18594527403474
NTN4	-2.74963717705703
SLC37A2	-2.28013237566971
SPTLC3	2.18352561388253
SOD2	-2.34407216225897
CCL20	-2.99473466180214
MAOA	-2.32061788937249
SERPINB2	2.802830757293
ARL4D	2.12133829396569
AKR1B10	3.1165745396753
MATN2	2.21788519648395
STC1	2.39291827647251
C1QTNF1	-2.49139580259913
HOXB2	-2.95836943993743
GJB2	2.24284647758516
SLC16A9	2.12600591865261
FGFR3	2.42384080191858
MFAP3L	-2.34914316077334
DAB2	-2.39579133954476
ARRDC4	-2.17845480265069
NPAS2	-2.25155363597378
ZDHHC2	-2.24712341870873
FAM210B	-2.29726698209669
UGDH	-2.1665534824062
RASA3	-2.23698668993513
TMEM158	2.30370535960837
UBASH3B	-2.44551178796059
C14orf132	-2.69307883438376
PARP4	-2.32172261333042
LOC100216001	-2.20521928911997
PLSCR4	-2.10266417750237
PODXL	-2.66244650799949
TP53INP1	-2.43122221668202
CBR1	1.98457352133677
SOX7	-2.21790610693987
NID1	2.38841728849396
IRAK2	-2.42171695369446
PKP1	2.4790585951011
MAFB	2.18068544787082
RRAS2	-2.0650648245966
PER1	2.05218346215735
CHST2	2.04302841212207
APOBEC3G	-2.14491663525875
FAM198B	1.98412218196669
LOC400043	-2.18534904406892
PGM2L1	-2.07591446091425
KLHL5	-2.10933550408834
BIRC3	-2.28684231968018
RGS16	2.38176428083449
ARHGEF40	-2.05207489474896
TCP11L2	-1.97728478791541
MYBL1	-2.28035688414543
VLDLR	2.04330017466332
ST14	1.96346751153221
RNASE7	-1.99651694240601
OLFM4	-2.16986159911274
