	X17.AAG	X5.FU	X5.FdUR	AG1478	Sigma.AKT1.2.inhibitor	Triciribine	AS.252424	AZD6244	BEZ235	BIBW2992	Baicalein	Bortezomib	CGC.11047	CGC.11144	CPT.11	Carboplatin	Cisplatin	Disulfiram	Docetaxel	Doxorubicin	ERKi.II..FR180304.	Epirubicin	Erlotinib	Etoposide	Everolimus	FTase.inhibitor.I	Fascaplysin	GSK923295	GSK1070916	GSK1120212	GSK1059868	GSK1838705	GSK461364	GSK2119563	GSK2126458	GSK2141795	GSK1059615	GSK650394	Lapatinib	Geldanamycin	Gemcitabine	Glycyl.H1152	ICRF.193	IKK.16	Ibandronate.sodium.salt	Imatinib	Gefitinib	Ixabepilone	LBH589	Lestaurtinib.CEP.701.	MG.132	MLN4924	Mebendazole	Methotrexate	NSC663284	NU6102	Nelfinavir	Nutlin.3a	Olomoucine.II	Oxaliplatin	Oxamflatin	PD98059	PF.2341066	PF.3084014	PF.3814735	PF.4691502	Paclitaxel	Pemetrexed	Purvalanol.A	L.779450	Rapamycin	Vorinostat	SB.3CT	Ispinesib	Bosutinib	Sorafenib	Sunitinib.Malate	TCS.PIM.11	TCS2312.dihydrochloride	Topotecan	Tamoxifen	Temsirolimus	Trichostatin.A	Tykerb.IGF1R..1.1.	VX.680	Valproic.acid	Velcade	Vinorelbine	XRP44X	ZM447439
AKT_BAD.adap_multi.pathway_activity_testset.csv.akt	0.0976379191546009	-0.206275672050778	-0.538026412525424	-0.284839719638164	0.598731762678074	-0.00175231846014607	0.67792469596839	-0.314345060214376	0.289996243962476	0.13818425370677	-0.208409376676379	0.17283555442357	0.144480825811211	0.269549292221603	-0.395185427051932	-0.278785562282251	-0.474541054684611	-0.256088916206653	-0.563777286477699	-0.262915023541173	0.714692592652129	-0.26957279244998	-0.251577263636253	-0.533601980729379	0.365719596744066	0.0666555088311106	0.691081321544524	-0.365814124588131	-0.21724725665793	-0.260176966874157	0.182780326502956	-0.115104109042689	-0.394055106104558	0.238787602544428	0.387005385289416	0.515448954590612	0.317118391204294	-0.438305777594981	0.431547784120583	-0.459692814146218	-0.547253275915218	-0.379597294235093	-0.181444996078199	-0.00972839153801575	0.381195056692484	0.335878756093977	-0.184338856305529	-0.0894157821410756	0.507499166557627	0.411225122190016	-0.559005851096436	0.398764467956705	-0.0797710761249869	-0.229930803571208	-0.241228414437024	-0.187332825167746	0.298770365654772	-0.398060584318424	-0.373014626451955	-0.467824061285869	0.454899128229473	0.00401594594882294	-0.347762294621638	0.572133056919296	-0.2723245520451	0.482581182852845	-0.524257103427007	0.144515593143476	-0.162915897362644	0.317722330964481	0.716196314283937	0.846309390524966	-0.0340044486393573	-0.462955353937372	-0.125446483157584	0.151780778128561	-0.2118742228298	0.102666947026757	0.223564604901488	-0.283223226068024	0.440000636524011	0.310412283929623	0.539577765577206	0.250280523325054	-0.314587190203237	0.636672875286665	0.214004819137428	-0.20599179885045	-0.103152161591649	0.0200419067224122
AKT_BAD.adap_multi.pathway_activity_testset.csv.bad	0.029282855026528	-0.124289414544743	0.171007583167847	-0.0934835106327404	-0.238032839690405	-0.0894730757087261	-0.246667619712839	0.249052094752581	0.185904840456665	-0.136777932234511	0.741978468158938	0.00709640134929064	0.439469114599835	0.188483845456334	0.413998412657602	0.218479592725183	0.142630855368518	0.266918141936544	0.258295131290402	0.420044924766107	-0.0748815529424014	0.234268129105257	-0.0852610944351687	0.266668959021977	-0.0217915964414881	-0.0626973737439992	-0.406130833171979	0.358107815826395	0.217726393425966	0.162815205628471	0.21703213944279	-0.166943738372947	0.0887934762648878	-0.238033184116241	-0.323792394099342	-0.256956523308699	-0.180139523571991	0.478888030072255	-0.211295110965045	0.445808617299292	0.207677164231773	0.488809713176874	0.487181966316247	0.27712014191296	-0.118316265317422	-0.327126308291613	-0.0391255214389696	0.197724545815681	0.0853507080939046	0.2010596249363	0.375514090098453	0.0540788402872301	0.218375321078021	-0.239268693875513	0.308640985264231	0.142515661289426	-0.0798390095756071	0.0593561443759315	0.646028714744188	0.351353396522495	0.191626325492565	0.168976639898118	-0.0205033925031789	-0.181321890578911	-0.00262882542433877	-0.432867783511421	0.220571586182596	-0.0793926089763575	-0.183857169273123	-0.285936261590622	-0.183983260976837	-0.030211352784292	0.507482799276691	0.14301118560661	0.328809010305989	-0.0736561765053684	0.10324906487622	0.266329328805919	-0.0327577882334193	0.486911250277387	0.15422030573318	0.0736913542767717	0.152370107602148	-0.294784300901116	0.444114434985328	0.115484162143785	0.416915865293607	0.200476630430924	0.55098275478053	0.109488216167109
AKT_BAD_HER2.adap_multi.pathway_activity_testset.csv.akt	0.120373588626761	-0.196786243205231	-0.46424810488672	-0.353275657656124	0.501944685654441	0.00684423463992852	0.533876204023024	-0.208596740211672	0.208023743205956	0.0308719274638971	-0.240009260188643	0.254186602381361	0.246376895239163	0.401920453266493	-0.347891898648954	-0.243531260908565	-0.372035677367786	-0.263479267845641	-0.520468739794635	-0.170114592029341	0.712244707032644	-0.172563568806032	-0.210717457679532	-0.398420510065839	0.30495054230213	0.205059991323648	0.608513363785251	-0.305333706941914	-0.133972074241987	-0.14422615160544	0.0289542418047954	0.0356239745154249	-0.352073753739956	0.235699844674334	0.396864037110934	0.451305343578675	0.388817121526957	-0.34995543656517	0.34794431441235	-0.476333093686914	-0.475948744429905	-0.291190537487164	-0.110268671005354	0.0952102173215132	0.388287271891811	0.40366561482179	-0.195552045884281	-0.0396474887271063	0.394804472205867	0.434529555419238	-0.437248042518109	0.396694664636037	-0.0510991833357441	-0.191111330501318	-0.17544293295228	-0.0784833249574155	0.319358318938863	-0.315973545422304	-0.351390348140189	-0.472209396908503	0.384700277420475	-0.00560289843967714	-0.251991121919846	0.534853902545168	-0.156206554846996	0.451833927196921	-0.520439739218945	0.111720283659594	-0.0804427935417893	0.253129920942856	0.67279318364729	0.796006545699279	-0.057078130817835	-0.398605452692797	-0.15890284317821	0.261321698508434	-0.101804975178234	0.168034592397892	0.186628059943957	-0.161828539810463	0.459880761219873	0.292296113196558	0.450675846932126	0.346188673042973	-0.186949357891303	0.524143397300045	0.299242781969337	-0.18858054337977	-0.0770818457325704	0.106169659006135
AKT_BAD_HER2.adap_multi.pathway_activity_testset.csv.bad	-0.00247387801730201	-0.0986369015706559	0.0150081373082317	0.0712477256964274	-0.0144287586456916	-0.053992097075141	0.0838297100605899	0.00965536240889327	0.32007529835151	0.0933967187203829	0.720727188172497	-0.151965208698286	0.182540528131863	-0.0889594172829216	0.252303355847462	0.112553472575008	-0.0964284979382605	0.229820560758309	0.138973521762037	0.171225228435863	-0.0630355413182781	-0.0125879063477338	-0.132580955542852	-0.0356164789437819	0.088421275055563	-0.322323231531494	-0.182057559004246	0.160641552524412	0.013838612323371	-0.0800836247251964	0.490978191569693	-0.427470396936198	-0.0383710375026352	-0.20523396969218	-0.305703450836297	-0.116121556248371	-0.281658176868639	0.241037926611517	-0.0226507185284643	0.440954480468597	0.00909154651389131	0.220513000310774	0.273620651156297	0.0243061122729867	-0.14338585147951	-0.408765644691771	0.00787290336185824	0.0645704513556559	0.283299079228972	0.105807535680492	0.0849430271524094	0.0576652368432486	0.107137044440456	-0.294943326902087	0.144928565055014	-0.0907334217972573	-0.0899394449135587	-0.100864549518552	0.519854698991242	0.312331102888269	0.299218579068773	0.156290289455744	-0.232883384977391	-0.0881693591302516	-0.244910790734643	-0.333154819071305	0.177232216720277	-0.0279648734878161	-0.322460159760495	-0.104415449037746	-0.0745196873239739	0.0612949263073389	0.504284881564593	-0.017988923555263	0.345460214968746	-0.2839280208258	-0.124512122021636	0.092697082323609	0.0115158255336876	0.180054237157354	0.108808838134799	0.0936955844263069	0.306127500295197	-0.437115092883114	0.108799528775239	0.329893283925269	0.176062943186931	0.122867754469182	0.41348658581283	-0.115970063194475
AKT_BAD_HER2.adap_multi.pathway_activity_testset.csv.her2	0.0997880990280592	0.116791837160496	0.360184256324127	-0.19298518526562	-0.435062948439034	0.0339522292034489	-0.687549002116773	0.511922175042411	-0.359237937608459	-0.430296608692473	-0.193589971626484	0.286523996077279	0.368722095113777	0.453082720832364	0.273014323968094	0.225448177873683	0.52794207476297	-0.055680316139491	0.28315203010989	0.40751462252943	-0.111205898089885	0.472021249493454	0.261303582706719	0.627853678670559	-0.276613594702524	0.592961151283372	-0.389129181179379	0.312688324744012	0.412899117398292	0.565156255127209	-0.706732596463638	0.676617690164158	0.280347420327335	0.0397854620282103	0.0763235798147169	-0.281984178390821	0.290522436658217	0.426666437354285	-0.381154249792547	0.00176175002277374	0.389911836889287	0.394774417977095	0.314042142371443	0.471960635188218	-0.0120260996632432	0.263257828795222	0.0166852862503856	0.218940171749136	-0.575190126747983	0.00627526602532402	0.585144742933636	-0.0888176175738292	0.130354556870869	0.238689307525103	0.264824786625513	0.497370452653266	0.0079248975495128	0.407514715785264	0.0357552916793066	0.0605675429697028	-0.406101504701497	-0.00284181060365599	0.500838464745461	-0.212392439298817	0.588156473698537	-0.115097522627968	0.103851585892272	-0.117403052683761	0.440912351471047	-0.227232872164961	-0.259562051246624	-0.324037045952342	-0.181707876583324	0.348626443829994	-0.0894678554618866	0.480797675014616	0.513105420215642	0.285758667008461	-0.213122198039298	0.524320085941999	-0.0275992235204792	-0.0926393452750729	-0.465317515878889	0.421454501224581	0.561726789679044	-0.552977484190363	0.261583387616286	0.132882910530151	0.0713870526438186	0.329117008265832
AKT_BAD_IGF1R.adap_multi.pathway_activity_testset.csv.akt	0.193088936335124	-0.104467863071875	-0.394923846424836	-0.294580281585842	0.53746092846012	0.13456156584806	0.583674271054315	-0.164510382605045	0.221116918269273	0.074516870051704	-0.216498847997083	0.192441017618797	0.233211416235992	0.421321486894361	-0.329006154963745	-0.239044588469859	-0.428387020833577	-0.272123712573289	-0.510318445710116	-0.152560018916048	0.745024373885131	-0.20864502399825	-0.138587849672606	-0.378608520687334	0.310029133340192	0.2090933577572	0.673601381126718	-0.354755172809137	-0.183350100260205	-0.0938817159076507	0.0649034054263876	0.0743633540273431	-0.413180057842722	0.25402510559809	0.416258911425135	0.387523478262438	0.432570904619916	-0.305225194222639	0.331677029634824	-0.396476414874708	-0.543260458330889	-0.382247277225845	-0.0935432485888448	0.0641604269654565	0.314236914557197	0.380349649065876	-0.125182947606119	-0.0425207468311882	0.386040678358933	0.374410707147444	-0.41877047837789	0.478777078264855	-0.113301448320397	-0.163239626087407	-0.145679472042992	-0.0665683917175332	0.401650491133097	-0.268704902561095	-0.341670410775987	-0.471597501218302	0.392089231843697	-0.0395101308158668	-0.339572733517743	0.503453429043725	-0.204279131865672	0.411473639726452	-0.542856845120941	0.0980678566137305	-0.116066131658926	0.304328134107029	0.655693805585468	0.760303916272565	-0.0112668050629336	-0.43096669877393	-0.152957267509059	0.225671545324707	-0.112434436567891	0.137703282792638	0.0833112416215003	-0.145986735099877	0.506263385350695	0.288056236929894	0.44533157483048	0.380085373418459	-0.256875974127311	0.572340092058893	0.263593194098629	-0.190520443798837	-0.0642129410842186	-0.0222492514504511
AKT_BAD_IGF1R.adap_multi.pathway_activity_testset.csv.bad	0.095126479804771	0.0126114984778685	0.372613443948863	-0.0869744873347551	-0.353587115736793	0.0671712812483227	-0.347670243470516	0.38812698795255	0.0547374473071331	-0.216731951907506	0.670133145610114	-0.0374879849251969	0.411245052158778	0.25152089390382	0.468132378449002	0.252996526994064	0.191846657249876	0.269433796643571	0.325075332741531	0.504175702548766	-0.132994314831517	0.268406060493105	0.028320488065797	0.450508889837178	-0.148022115074959	0.0628824490240712	-0.421202480514165	0.373229498179863	0.25040286729272	0.288695351507304	0.107431214225264	0.0497904301880238	0.113078080909662	-0.202317197572632	-0.339248037246387	-0.432431242041224	-0.114617335210423	0.606947483097975	-0.348873865231507	0.517602272437083	0.24305119289992	0.442911777048802	0.531478398797028	0.312417006988224	-0.244891175679904	-0.281415156126288	0.0285111903448179	0.26943516333075	-0.0842900328974976	0.132347153547558	0.492291431522294	0.0837666946803354	0.187856132587043	-0.169948087034024	0.341785882275409	0.266593172830593	-0.0488899962740353	0.224398607465457	0.614192422131951	0.379654141128881	0.0915217443331869	0.124878810368055	0.0303105913168532	-0.271572423689012	0.071832013158781	-0.558614503970511	0.259170973728274	-0.0916773835135431	-0.097404749366626	-0.311205071141141	-0.332758557429406	-0.18580063546123	0.510571435164563	0.22797102046704	0.248910335859101	-0.00590307984917132	0.212759034473879	0.225217141211055	-0.168268445533731	0.571000936138561	0.205358207730916	-0.0267148393654304	0.0124961124163497	-0.176319048400988	0.482308320075067	-0.0196810060067093	0.345459640997328	0.23717564468889	0.569860812852241	0.0389090064699064
AKT_BAD_IGF1R.adap_multi.pathway_activity_testset.csv.igf1r	-0.276571362354591	-0.382988443024768	-0.743633590300829	-0.00671440879800353	0.49626961635294	-0.490892728636004	0.508464399931708	-0.627710859382498	0.287453613031653	0.28670078186024	-0.168884706683639	0.111787924458631	-0.187724714815982	-0.373515694127882	-0.380397743027011	-0.204089963546916	-0.223143168104972	-0.148538426843131	-0.325997455909405	-0.506293475525081	0.162536764390908	-0.25150320275454	-0.381579238510883	-0.73606347094918	0.398637702276133	-0.375559768539437	0.284723620824552	-0.210885446646552	-0.178573011772028	-0.580593283773795	0.272146746479442	-0.637367230945578	-0.0740974829856414	0.0711715945120911	0.16926430598928	0.704036696419511	-0.150184909000946	-0.687116619123963	0.532623747575665	-0.456824073889412	-0.190536141292237	-0.133396558371534	-0.412921236586529	-0.247652069461996	0.432585346248607	0.0237218348895465	-0.223963969586708	-0.248468815203345	0.508478305496895	0.191224653036958	-0.612933002624574	-0.175452777185735	0.0659694201426353	-0.20222537911771	-0.356411475940655	-0.450667301339747	-0.193431840332787	-0.555684971773125	-0.315073473534212	-0.229937057927909	0.256365650793525	0.152550890430928	-0.0860628207736598	0.463893973685307	-0.212376551019746	0.590253103229702	-0.143493809480818	0.121321379937324	-0.133305056532912	0.247199329576191	0.555225743030495	0.550552222189355	-0.2183754545471	-0.276653220671895	0.0550614371317999	-0.130700853512979	-0.375002342092483	-0.0368825588050077	0.536858066498743	-0.560459295000184	-0.202468772139453	0.284792683529446	0.41759870510528	-0.250588629538351	-0.339047045550187	0.357373578187163	-0.0774570495778801	-0.176392812302865	-0.336051915532735	0.176137513686202
AKT_IGF1R.adap_multi.pathway_activity_testset.csv.akt	0.230389590755513	-0.176308049779948	-0.379351034420664	-0.403451396553371	0.425092211916009	0.103620918250093	0.535696316325547	-0.144662998733593	0.210449197242172	-0.0306259924446498	-0.0356869826314222	0.253512189089574	0.369483778854991	0.5271621050042	-0.276274354693441	-0.208101608492664	-0.402361349004475	-0.182220244617793	-0.508244526203307	-0.0747711840620733	0.718025601501459	-0.1663292837612	-0.221700192884607	-0.318486665729493	0.270286765422118	0.184393917956787	0.574341840381287	-0.28271088386477	-0.137520363529074	-0.0939609940459649	0.0928545352807719	0.0591069947084223	-0.426689233213647	0.124085750322807	0.287246616509608	0.306758322725798	0.340054157304043	-0.217591649088625	0.263298907684494	-0.338507073629103	-0.524442111349562	-0.26881411839536	-0.027683369768398	0.137198156002562	0.326739753617654	0.354659415993677	-0.214083223443305	-0.0166722838754176	0.412061717242328	0.429231800071062	-0.371476270436921	0.528748617951681	-0.0807669472571284	-0.279606238228856	-0.0630159846092769	-0.0768719698424541	0.418427111661739	-0.314788474657204	-0.155759830997912	-0.389987525095217	0.440993395064412	-0.0395677611534274	-0.376057619618779	0.443463749029178	-0.245310781421234	0.253186038009627	-0.527655846203664	0.0643414808674561	-0.178350993558439	0.170222909619859	0.597404031414454	0.788817694537264	0.140935551610643	-0.446801542776818	-0.103905763232489	0.198263706033822	-0.078422853541544	0.177879028866353	0.0938479704610705	-0.0153088004147963	0.585965061931366	0.268152600947725	0.524321253901026	0.293081835489967	-0.138497143833988	0.581820493741832	0.421251970263806	-0.178605047657824	0.0701821583433005	0.0590084822509966
AKT_IGF1R.adap_multi.pathway_activity_testset.csv.igf1r	-0.309854786576646	-0.407927532745927	-0.72339893870845	-0.0110844351154956	0.445587543521719	-0.531243969607246	0.459518647696825	-0.636289562812659	0.258897324234173	0.274700324825454	-0.176689617432346	0.0871421401573442	-0.226252921271534	-0.406922419447667	-0.361457529113332	-0.185199909408822	-0.188198475093662	-0.0940307502495835	-0.307902914972354	-0.491814480573519	0.106442894979808	-0.23095683601562	-0.413278821813287	-0.703120353524807	0.377211582682542	-0.408304963962455	0.239883924093145	-0.165304907645339	-0.179304219399836	-0.605293157159325	0.284192268156875	-0.658437107532617	-0.0188454953299107	0.0522139723770781	0.128612759303582	0.680119065486021	-0.217606979481114	-0.677218834755126	0.503950421961947	-0.442682469765273	-0.12767887861552	-0.100199567174616	-0.423061773527527	-0.266314972787688	0.432782435632203	-0.00237711662014932	-0.244760277282119	-0.22580444987711	0.496597195708367	0.182290316427132	-0.603536155254484	-0.198967421753256	0.0995904528977066	-0.194263765241044	-0.368372744647219	-0.468906975375151	-0.23337658531907	-0.560165871460354	-0.299969278493506	-0.186835299061651	0.231637205452084	0.153756059780245	-0.0531219427515062	0.422381171261952	-0.214123389654674	0.555101516274194	-0.102286677239804	0.151708397418484	-0.140119647582395	0.186319198178991	0.479763037477511	0.495364179824851	-0.217646095511672	-0.224365241143832	0.0600354711962819	-0.151841669860396	-0.375777955076848	-0.0749864140829594	0.566994678371169	-0.563523015278036	-0.239495088993569	0.24847398596898	0.381537697908314	-0.297507079601894	-0.313958663742857	0.291671531282557	-0.091872316185343	-0.139628042232129	-0.319137212433393	0.210131597906993
