	igf1r
IGF1R	3.95293493358333
CNTD2	2.94213487191667
BHLHA15	2.8814916635
CLGN	3.03506317566667
RND1	2.69483467541667
AGR2	2.54920223466667
CDH15	2.63481321608333
PTX3	2.4774653825
CBS	2.41831864233333
DERL3	2.53558709891667
RAB39B	2.696816793
CDC6	2.39026870216667
DNAJC12	2.42212952958333
C12orf39	2.4972744815
DDR2	2.25369298475
STC2	2.16398788125
MTUS2	2.35832165825
MUC4	2.51793545183333
PLA2G3	2.58276854441667
C17orf28	2.14227709041667
FUT3	2.18923609158333
OPRK1	2.43337307516667
IL21R	2.23202970833333
ERO1LB	2.12344562983333
AGT	2.17436341575
GDF15	2.07899460816667
TMPRSS3	2.00273582575
CHAC1	2.06838094091667
ALDH1L2	1.95986711066667
HSPA6	-1.91851126466667
PAPPA2	1.9474977945
MKX	2.127285482
BEND4	-2.01050726091667
HSPA5	1.30493631791667
LCN10	-2.08514433358333
SH3BGR	1.80411369458333
LPO	1.97995544208333
KCTD14	1.70362372091667
SV2B	1.84825526833333
ATF3	1.72307081641667
PDE1A	1.71080154008333
TRPV6	1.69168318308333
FLJ16779	1.70657178108333
CRELD2	1.70301990741667
KLHDC7B	1.70410519666667
OLAH	1.79106795733333
IDO1	1.73960682641667
GBP4	1.74742351675
CCL20	1.70974003791667
SDF2L1	1.66035103491667
CHST1	1.597745638
CCNO	1.62209373816667
NUCB2	1.62125543866667
MFSD6L	1.71677398458333
TTLL7	1.57155440216667
FBXO16	1.69036670525
RORC	1.42713756841667
EFR3B	1.4640767775
ARHGEF38	1.68291342683333
ECM2	1.51904023533333
ICAM1	1.45912840225
GDF6	-1.99710934233333
WARS	1.51225641058333
HSPA7	-1.57054793283333
NKAIN4	1.7672400205
IL6	1.47959449008333
FGG	2.0900036585
LAMP3	1.52652053975
ATP13A4	1.5684845405
SPRR2D	1.50146899
CALCA	1.5549919085
ATF7IP2	1.54274029491667
DDIT3	1.50822312716667
DMGDH	1.41294471991667
ADAMTS4	1.5117573695
HSPA1A	-1.491464324
SGPP2	1.55085459
PRSS16	1.45636999766667
CHI3L2	1.37740102116667
FAM129A	1.3949235765
BEX5	1.51037460458333
BATF3	1.37516195583333
SLC2A10	1.4026846265
SOX6	1.40341025566667
MSTO2P	1.40802730483333
DOC2B	1.49471573875
TACR1	1.50651565725
HERPUD1	1.37717749733333
FLJ45983	1.22370698375
CH25H	1.48757489833333
HYOU1	1.3606054265
IL32	1.26715720066667
HIST1H2BN	1.37726451866667
GIPC3	-1.4015124905
SLC7A11	1.36114581658333
TMC5	1.32206358325
IL23A	1.33077439366667
SEC11C	1.33352118325
ADM2	1.3373146725
SLC17A9	1.30699440475
