	4EBP1	4EBP1p37	AcCoAp	Akt	Aktp308	Aktp473	AMPKp	B.Catenin	Bcl2	Caveolin 1	CCNB1	CCND1	CD31	cJUN	cleaved.caspase.7	Collagen.VI	E.cadherin	EGFR	EGFRp1068	ER	ERK2	Fortilin	GSK3	GSK3p21.9	IGFR1	JNK	JNKp183.5	MAPKp	MEK1	mTor	p110alpha	p21	p38	p38p	p53	p70S6.Kinase	p70S6Kp389	PAI1	PDK1	PDK1p241	PKCalphap657	PKCalpha	PR	PTEN	Rab25	Rb	S6p235.236	S6p240.244	src	srcp416	srcp527	stat3	stat3p705	TSC2	VEGFR2	COMT	ERp118	Stathmin	Telomerase	YB1	CCNE1	AR	GATA3	NOTCH3	IGFBP2	FGFR1	HER2	HER2p1248	EN1	EIG121
X184A1	-0.514510779	-0.602367869	-0.537022031	0.51409191	-1.007595873	0.37585775	-0.448718138	1.321012072	-1.120051938	8.211049616	-0.664628654	0.02312927	-0.360976179	0.782828472	-0.515511249	0.75516427	1.680507608	1.107700395	0.427873957	-1.847881539	0.58540749	0.386408736	-0.4339858	0.788584863	0.385983599	-0.738169717	-0.690101081	-0.345586753	1.019063316	0.274907379	-0.537192394	0.264888949	-0.589198429	-0.152119551	-1.479098635	-0.117963413	0.270374731	2.391488288	-0.274207419	-0.243864414	0.626213734	0.251407269	-1.028257296	1.460755451	-0.148533126	-0.221375067	-2.856242289	-4.792626326	2.28598017	0.53333569	1.989037959	2.626182591	-0.067725817	0.179599812	1.654843232	-0.60528149	-0.758719717	-0.95136488	-0.058066839	-0.034024354	-0.89201704	-1.88976021	0.532104346	-0.803202738	2.312968043	-0.196500741	-1.553515884	-2.483346157	-0.241498732	-0.262739582
X184B5	0.865464622	0.021477957	0.170105988	-0.04166433	0.030732729	1.386861304	0.014485969	0.952219302	-0.505631562	5.547654268	0.695305916	-1.098524036	-0.0516243	1.865643906	-0.198817005	0.478436921	0.620213818	1.064593504	0.418556778	-1.594534009	0.293825162	0.032423187	0.141749331	0.645085685	1.314507853	0.875020063	-0.277820874	-0.533993514	1.445386793	0.404225772	0.473069748	0.761639931	0.150624352	-0.022087368	-0.345703479	-0.095515376	-1.819792144	2.050393336	-0.184243144	-0.125976878	-1.091328279	0.276480893	-0.769381137	0.611811197	-0.677621445	0.547057714	-2.405879891	-3.44158541	1.720668496	0.58809615	1.357770957	1.24543711	-0.31360529	0.009998053	1.06042895	-0.658510882	-0.489160825	-0.073086398	0.447510624	-0.870924404	-1.202649647	-1.954550119	-0.86702783	-0.971138641	2.912924012	-2.109254434	-2.499107959	-2.611806073	-0.60109908	0.618695941
X600MPE	0.189235242	-0.69107255	0.127395382	0.648638351	-0.994399146	-2.063607644	-0.567514943	1.222185438	-0.21705577	-4.182662156	0.305393579	1.150631985	0.183688781	0.45947823	-0.143525018	-0.080455436	1.923737899	-0.381058062	1.565843847	2.717744068	0.389111606	0.839330153	0.197460038	-0.730799028	1.614952245	0.645744299	0.188023834	2.426545384	-0.704952994	0.218705743	0.106901245	0.125537727	0.260890042	0.309756641	-1.991136033	0.748206768	0.155858765	-0.769154144	0.23145516	0.254409075	-1.655634529	-2.084040564	-0.228670421	0.898739452	0.943156307	0.447465453	-1.006867937	-0.958111997	1.331076992	0.065273071	0.470321548	-0.150252918	0.561325174	0.148050442	0.536877244	-1.078507319	-0.144540507	-0.307731481	0.586120703	0.275213476	0.126444957	0.69692033	0.816854297	0.623750669	1.473802695	-1.486277895	0.430695398	-0.880966049	-0.544556841	-0.951176139
AU565	-2.170980692	-0.711502515	-1.998975787	0.675826768	0.109368935	-0.809140854	-0.741850096	-3.916896522	0.056136906	-3.491093118	-1.098795672	-0.540840533	0.435408021	-0.665183282	0.630909364	-0.797179185	-2.062738614	-0.45073704	0.469875011	-1.35633357	-0.396694542	-0.048389602	-0.602812488	-0.647557751	-0.529334556	-0.479064222	0.05867814	1.188305081	-1.169640474	0.371604151	0.158029751	-0.733042871	-0.588564049	-0.522837851	-0.447352128	-0.633491896	0.614302472	-1.806078517	0.464399013	0.17127251	0.768123803	0.139840171	0.007674752	0.732431565	0.375085028	0.21733006	0.484659209	0.708645625	-1.117918396	-0.31660806	-1.447837372	0.972648277	0.96839735	0.029873981	0.175322917	1.791570019	0.675707964	-0.339566139	0.133194553	0.02519668	0.711984877	0.73894253	-0.592078496	-0.240388205	-0.491912866	-1.408847062	5.010290076	7.921374942	0.409983973	1.226529236
BT20	-0.174486894	0.050302121	-2.267040485	-1.710498618	1.881317874	1.972793491	-1.019570166	1.18725522	-0.187086643	1.4496853	1.171072892	-0.817082039	-0.605499037	0.220187715	0.031591623	-0.101565495	0.990431125	2.190881663	0.6599854	-1.051670743	-0.064672904	0.36287735	0.260238749	1.398362132	1.093953534	0.352395564	-0.101937035	2.463094295	1.739053801	0.501927886	-0.0654903	0.084533498	0.262171896	0.227109904	1.465621177	-1.478349902	-0.135340173	-2.001801373	0.25842994	0.156335105	0.049128866	0.161200545	-0.151210869	-0.545170453	-0.262401613	0.624570621	1.179762617	1.197302982	1.28337841	0.21502371	0.714662452	-0.858690969	0.793895072	0.051629298	0.605172256	0.29499362	-0.245667004	-0.313625749	0.325869939	0.268213261	-0.420323053	-1.688277722	0.167283237	0.074878401	0.479287426	-1.941793762	-0.783831215	-2.063076295	-0.608095304	-0.083213089
BT474	-0.601992586	-0.727637278	3.393150795	0.774296766	0.190089631	1.559213628	0.861602148	0.564034995	1.26682423	-4.907177334	-1.02283763	0.50037696	0.612892636	-2.136734879	0.021653713	-0.155514179	1.22741811	1.522635726	-1.315633053	2.811514427	-0.030207427	-0.741515223	0.460761044	0.476392957	-0.304825675	0.253467715	-0.324884552	-1.306956932	-0.818453996	-0.7612729	-0.28890889	-0.076665757	-0.826206665	-1.098493661	-0.087941478	2.449209855	0.377260937	-1.006186798	0.477772215	0.073420797	-0.539877071	-0.253215225	3.752392706	2.073801745	0.189827266	-0.153091234	0.16125036	0.612554034	-2.323391759	-1.908263905	-0.991661948	-0.972508389	-0.837346308	0.569005347	-0.716291739	0.87535998	0.204015444	0.393455128	-0.700166227	-0.184914597	-0.717729578	2.41798648	0.117896799	0.554539277	1.911018268	0.405144272	4.979382692	6.744464337	-0.248610273	0.755807973
BT483	1.873273287	1.860427778	-0.275874348	0.318280968	-0.823498235	-2.247864938	-0.665981188	-0.527565748	-1.647100077	-3.485499233	-0.989826026	1.209290092	0.064684937	-0.847732811	-0.018369395	-0.104967886	1.253144392	-1.282948646	-0.27934958	4.546618121	0.511849164	-0.127631795	0.199118283	-0.038813297	1.724384697	-0.84247866	0.599701841	-0.159047207	-0.74146662	0.021618755	-0.251961372	0.031550168	1.082857209	-0.240970589	-1.021055931	0.613400355	0.236074379	-0.854576183	1.210920041	0.653964537	-3.073248812	-1.511510152	3.339636678	1.027333875	0.705029805	-0.424555152	-0.048351701	-0.096673115	0.549643703	-0.598293657	-0.443730728	-0.461780427	-0.400246315	0.710162804	0.50186067	2.13587762	1.422333487	-0.520885936	-0.093885135	-1.180373825	-0.71578134	0.285239083	1.060731885	-0.279916387	3.228644156	0.370226663	0.108714805	-0.070546033	-0.164324352	0.478986798
BT549	1.291872833	0.902825769	-2.131664668	-1.096268085	1.370874185	1.804682374	-0.59257299	0.712315263	0.98870345	3.753521065	0.875926678	-1.185323497	-0.840839495	2.758834894	0.104364517	-0.82568697	-3.07642443	-0.114655257	-0.556264567	-1.351371761	-0.775128511	-0.226389312	-0.386124898	-0.307189863	0.388434762	-0.385440288	-0.376491007	-0.678725067	-0.890161626	-0.908636433	-0.768145436	-0.621127387	-1.578917964	0.269713372	2.343543533	-1.859839453	-0.968455179	-1.140987872	-0.940336793	-1.085894462	1.590888222	1.579170075	-0.261297484	-4.291156414	-1.599403193	-1.858949791	0.562220788	0.699207258	-0.357098163	-1.17356684	-1.095824938	-0.130510372	0.144487781	-0.576698703	-0.594128388	-1.307349824	-0.519276454	0.041466905	-0.165677893	0.125167186	-0.122758585	-0.4103804	-1.176341497	-0.479734755	-1.616674916	1.928416626	-2.830477566	-3.145174892	-0.878603856	-0.226494358
CAMA1	0.821711632	1.1846978	1.027005596	-0.08898824	-0.748850469	0.412369853	-0.387424693	-1.77807825	-0.088999967	-4.378762071	-0.257938733	0.494545914	1.185507487	-1.366412483	0.46796681	-0.253249178	0.301518878	-0.85645971	-0.238311842	3.797798576	0.250075671	0.196301645	0.478303368	1.446591038	-1.492127393	0.038446056	0.056994915	-2.209607033	0.240932565	0.053997271	0.256766792	-0.794751094	-0.116464027	-0.245794443	0.907503804	-0.004557339	0.273144482	-0.907821838	0.525507745	1.028147656	-2.712788369	-2.416841047	3.124761596	0.124669685	0.891973062	1.02641629	0.102227382	0.471209503	-0.327152984	-0.756058565	-1.2802217	-0.379994238	-0.486314572	0.633377597	-0.332850303	0.121250181	0.153212404	0.621996782	0.021599808	-0.167210465	0.037335863	3.402363673	2.231616149	0.651871148	1.182917503	1.013074554	0.265300053	-1.090394726	0.187721907	-0.517118799
HBL100	-0.470361041	0.229994088	-2.702076698	0.554867497	-3.321718403	-0.739490557	0.354159025	-0.002166102	-0.91851432	3.662266776	1.898265835	-2.249124138	-0.94067909	2.645286859	-0.677536379	-1.464787951	-2.161439089	-0.395225127	-0.860457041	-2.009906669	0.20598888	-0.100699009	0.052666006	-0.716480475	0.130565031	0.429395205	-0.328653322	-1.114331633	0.340717415	0.367029685	0.16393333	0.24618044	-0.051088757	-0.115478106	7.295282703	-0.255857453	0.269518719	1.794686106	-0.125348556	-0.556251428	2.693096431	2.353317905	-1.126495756	0.518783912	-1.232410986	-0.690654328	0.638693184	1.137610696	0.424083446	-0.700731496	-0.649435209	-0.008860356	1.394139763	0.247764727	0.421155954	-1.675176397	-0.366141908	0.159962738	0.670833497	0.562617886	-0.380628212	-1.662123582	-0.603758197	-0.702752442	-2.07257106	0.553702808	-1.93856704	-2.93438832	-0.536020197	-0.791613681
